Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
AEFES;16.73;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;16.75;16.70;16.42;16.01;15.68;17.09;17.86;18.84;670.0;0.67
ASTOR;111.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;112.40;109.82;110.48;107.86;105.75;114.70;119.57;125.76;670.0;1.19
CIMSA;49.02;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;49.04;48.99;48.27;47.47;46.83;49.56;51.05;52.93;660.0;0.67
TCELL;99.92;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;99.94;99.91;99.53;98.47;96.95;100.60;101.92;104.05;660.0;1.18
IZENR;11.12;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;11.18;11.02;10.84;10.51;10.17;11.26;11.94;12.72;650.0;0.6
ENKAI;80.75;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;80.78;80.70;79.10;77.15;75.58;82.25;85.88;90.50;640.0;0.6
EUPWR;31.18;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%37;31.32;31.08;30.68;29.99;29.30;31.54;32.92;34.51;640.0;1.4
TURSG;12.80;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%44;13.00;12.75;12.75;12.59;12.47;13.00;13.29;13.66;635.0;4.0
TRALT;37.50;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;37.67;37.26;35.95;33.80;31.65;38.62;42.92;47.88;630.0;0.71
EFOR;29.48;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%66;29.53;29.19;29.45;28.19;26.93;31.01;33.54;36.45;615.0;0.17
KLRHO;237.50;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%70;238.70;236.49;217.99;201.90;188.90;244.00;273.97;312.10;170.0;1.19
CCOLA;60.70;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;60.90;60.47;59.45;58.50;57.73;61.00;62.78;65.05;155.0;0.87
KRDMD;28.36;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%57;28.43;28.30;27.76;27.32;26.97;28.46;29.27;30.30;155.0;1.17
MAGEN;37.90;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%61;37.95;37.83;34.60;32.25;30.35;38.40;42.78;48.35;155.0;0.71
ARCLK;107.90;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;107.92;107.87;107.30;;;108.13;108.79;109.25;145.0;0.67
ENJSA;88.55;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%49;88.90;88.22;87.11;85.45;84.10;89.80;92.90;96.85;145.0;1.06
AGHOL;29.84;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%61;29.86;29.81;29.26;28.53;27.94;30.44;31.80;33.53;140.0;0.67
ALARK;98.75;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;98.82;98.67;96.30;93.20;90.70;101.30;107.07;114.40;140.0;0.87
CWENE;30.46;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%52;30.55;30.34;27.90;25.81;24.13;31.28;35.17;40.12;140.0;0.75
FROTO;97.40;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;97.61;97.29;96.06;94.88;93.69;97.53;99.90;102.63;140.0;1.91
TAVHL;300.75;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;301.07;300.57;294.74;284.68;276.55;311.00;329.74;353.58;140.0;1.78
PGSUS;207.60;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;207.78;207.44;207.53;207.08;206.50;207.85;208.17;208.56;135.0;1.13
BIMAS;561.50;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%45;562.70;559.92;560.88;557.78;554.68;564.72;570.92;578.06;130.0;0.76
DOAS;188.00;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%60;188.03;187.98;187.15;185.00;182.85;189.80;194.10;199.05;130.0;1.5
KUYAS;57.75;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%30;57.84;57.64;56.74;55.18;53.93;59.25;62.15;65.83;130.0;0.82
MAVI;40.74;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%40;41.01;40.46;40.39;40.15;39.95;40.78;41.23;41.81;130.0;0.96
MGROS;551.00;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%46;551.67;550.31;524.81;508.61;495.52;581.18;619.58;661.96;130.0;0.97
MPARK;360.00;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%38;360.63;358.50;356.13;351.56;347.88;363.50;372.00;382.81;130.0;0.42
SOKM;51.30;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%62;51.45;51.21;48.32;46.14;44.38;51.85;55.92;61.09;130.0;1.67
TOASO;245.90;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%45;246.10;245.71;245.11;243.94;243.00;247.00;249.18;251.94;130.0;1.05
RALYH;211.00;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%74;211.01;210.96;199.64;185.18;173.50;223.00;249.93;284.18;120.0;0.25
SAHOL;85.65;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%51;85.71;85.58;85.17;84.33;83.48;86.21;87.90;89.84;120.0;0.86
ASELS;209.30;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%44;209.39;209.26;208.94;205.68;203.05;214.20;220.27;227.98;115.0;2.25
KCHOL;175.80;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%51;175.82;175.77;175.46;173.82;172.50;178.10;181.15;185.02;115.0;0.67
PASEU;152.00;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%45;152.22;151.93;145.00;137.70;131.80;156.80;170.40;187.70;115.0;3.14
PETKM;16.99;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%50;17.02;16.96;16.98;;;17.17;17.33;17.44;110.0;1.0
TTKOM;55.70;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%40;55.77;55.65;55.55;54.85;53.86;56.25;57.11;58.50;110.0;1.4
AKBNK;71.30;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%54;71.32;71.28;68.41;66.57;65.08;71.40;74.84;79.22;105.0;1.0
BSOKE;16.37;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%43;16.38;16.36;16.27;16.15;15.97;16.39;16.54;16.79;105.0;1.0
DAPGM;12.85;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%65;12.88;12.81;12.81;12.72;12.62;12.93;13.13;13.36;105.0;0.75
MIATK;38.40;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%51;38.56;38.30;38.39;38.08;37.83;38.90;39.48;40.22;105.0;1.6
OYAKC;24.80;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%56;24.81;24.78;24.53;23.79;23.18;25.74;27.13;28.90;105.0;0.5
SISE;39.50;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%51;39.59;39.41;39.36;38.46;37.17;40.26;41.38;43.18;105.0;1.0
ULKER;112.70;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%50;112.91;112.43;112.05;110.53;108.36;113.57;115.46;118.50;105.0;0.78
AKSEN;60.80;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%47;60.86;60.71;57.69;53.73;50.53;64.10;71.48;80.87;95.0;0.67
ANSGR;24.10;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%43;24.14;24.09;23.68;23.40;23.17;24.14;24.67;25.34;95.0;4.0
BRSAN;495.00;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%46;495.05;494.95;493.54;486.49;477.50;498.50;503.46;509.59;95.0;1.0
DOHOL;17.85;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%48;17.90;17.84;17.74;17.61;17.48;17.90;18.16;18.46;95.0;5.0
EKGYO;20.40;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%43;20.43;20.37;20.18;19.67;;20.58;20.87;21.15;95.0;1.0
GARAN;139.70;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%44;139.80;139.64;139.60;138.15;136.70;141.40;144.30;147.65;95.0;1.67
