Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
BSOKE;14.63;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%71;14.66;14.61;14.54;14.32;14.03;14.70;14.86;15.05;685.0;1.5
GRSEL;336.75;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%49;338.45;334.32;331.80;320.54;311.44;350.00;370.98;397.66;660.0;0.7
AGHOL;29.32;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;29.35;29.29;28.68;27.96;26.93;29.40;30.30;31.74;650.0;1.0
PASEU;108.30;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;108.95;108.09;92.30;78.88;68.03;114.00;139.01;170.82;650.0;3.1
CIMSA;49.30;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%34;49.33;49.25;49.24;;;49.70;50.07;50.32;640.0;0.6
TCELL;97.76;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%44;97.79;97.74;97.71;96.59;95.68;99.53;101.63;104.29;640.0;1.06
ARCLK;142.40;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%68;142.58;142.18;140.18;135.66;132.00;147.50;155.93;166.66;635.0;0.82
ENERY;10.49;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%62;10.50;10.47;9.41;8.27;7.35;11.25;13.37;16.07;630.0;0.5
TURSG;9.52;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%44;9.53;9.51;9.48;9.17;8.86;9.86;10.48;11.19;625.0;1.0
BRYAT;2600.00;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;2607.26;2592.26;2459.77;2331.50;2203.23;2618.47;2875.00;3170.66;155.0;0.94
DAPGM;17.64;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%61;17.73;17.54;15.69;14.39;13.34;17.79;20.21;23.29;155.0;0.9
EGEEN;8360.00;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;8377.64;8347.98;8243.75;8114.25;7929.87;8373.26;8533.49;8792.50;155.0;1.47
ISMEN;44.50;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;44.62;44.45;42.66;41.11;39.86;45.16;48.04;51.71;155.0;2.4
