Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
SAHOL;76.60;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;76.65;76.53;73.26;70.36;68.01;77.95;83.36;90.24;660.0;0.75
ODAS;10.54;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%58;10.57;10.50;10.28;10.04;9.79;10.58;11.06;11.62;655.0;0.75
GARAN;61.19;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;61.26;61.16;59.62;56.78;54.50;64.19;69.46;76.17;650.0;2.03
TCELL;63.72;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%59;63.78;63.67;63.52;61.58;60.02;66.66;70.27;74.87;650.0;1.11
YEOTK;74.03;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;74.55;73.29;70.92;67.87;65.40;75.85;81.54;88.77;650.0;0.71
TTRAK;744.77;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%63;744.95;744.40;736.97;709.82;687.87;780.86;831.45;895.80;645.0;0.48
GRTHO;68.97;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;70.01;64.98;61.08;56.20;52.26;78.07;89.63;102.40;640.0;0.26
KLRHO;51.65;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%44;51.93;51.41;51.33;48.13;45.54;56.50;62.46;70.05;640.0;1.17
CANTE;2.57;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;2.61;2.57;2.55;2.50;2.45;2.61;2.71;2.83;630.0;21.47
GESAN;83.45;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;83.50;83.40;82.72;80.05;77.38;86.02;91.35;97.50;630.0;1.0
ASTOR;121.64;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%58;121.96;121.37;120.99;116.20;112.32;128.74;137.68;149.04;625.0;1.19
GSRAY;1.82;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%55;1.82;1.79;1.79;1.76;1.71;1.82;1.87;1.93;625.0;0.02
PGSUS;174.32;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%60;174.39;174.26;169.35;164.07;159.79;177.90;187.75;200.28;625.0;1.21
TSKB;8.15;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%42;8.17;8.11;7.73;7.15;;8.18;8.50;8.81;625.0;0.5
ENERY;2.46;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;2.47;2.44;2.42;2.36;2.30;2.50;2.62;2.76;620.0;0.34
EUPWR;61.43;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;61.48;61.41;59.63;56.95;53.53;61.52;63.40;65.73;610.0;2.0
EKGYO;11.32;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%55;11.40;11.25;10.72;10.10;9.60;11.71;12.86;14.32;155.0;1.04
