Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
FENER;4.29;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;4.33;4.25;3.75;3.35;3.02;4.41;5.17;6.14;670.0;1.02
BRSAN;949.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;949.07;948.94;816.26;674.94;560.73;1044.70;1307.98;1642.89;660.0;1.17
BRYAT;2312.55;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;2312.82;2312.29;2038.78;1805.42;1572.07;2327.51;2794.22;3332.12;650.0;1.01
YKBNK;17.08;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;17.12;17.05;17.07;15.70;14.59;19.28;21.83;25.08;650.0;1.46
KLRHO;46.50;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;46.62;46.40;39.94;34.95;30.92;48.00;57.29;69.11;640.0;1.2
GSRAY;2.07;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%52;2.07;2.05;2.05;2.00;1.94;2.09;2.12;2.16;625.0;0.11
CIMSA;38.72;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%55;39.00;38.27;38.64;38.33;37.89;38.95;39.34;39.96;155.0;0.63
MPARK;166.96;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;167.73;165.17;150.83;135.79;123.64;175.13;203.14;238.77;155.0;0.43
ISMEN;34.83;AL (TAKİP);YÜKSELİŞ;VOLATİLİTE;%54;34.93;34.79;34.33;33.73;32.88;34.92;35.66;36.86;140.0;2.19
SKBNK;5.31;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%63;5.36;5.25;5.01;4.41;3.92;5.99;7.11;8.55;140.0;0.71
ANSGR;14.26;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;14.30;14.19;12.75;11.05;9.68;15.49;18.66;22.69;135.0;0.54
DAPGM;11.33;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%61;11.44;11.20;9.93;8.68;7.68;11.94;14.26;17.21;135.0;0.83
MIATK;57.80;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%59;58.82;56.94;48.31;40.58;34.33;60.82;75.22;93.55;135.0;1.19
TURSG;4.56;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%59;4.57;4.56;4.10;3.54;3.10;4.99;6.03;7.34;135.0;1.02
YEOTK;66.82;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%53;67.83;65.39;66.50;65.83;64.89;67.16;67.98;69.31;135.0;0.7
ASELS;41.68;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%51;41.77;41.64;41.32;41.07;40.87;41.72;42.18;42.76;125.0;2.28
VAKBN;17.04;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%57;17.05;17.03;16.07;14.74;13.67;18.21;20.68;23.82;125.0;1.0
DOHOL;13.91;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%52;13.92;13.91;13.86;13.68;13.42;14.05;14.27;14.64;115.0;3.63
OTKAR;384.66;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%59;384.77;384.44;374.40;363.37;347.66;385.43;399.08;421.15;115.0;0.52
KTLEV;3.72;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%55;3.76;3.65;3.70;3.64;3.56;3.75;3.82;3.94;110.0;0.48
AEFES;10.19;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%51;10.29;10.05;10.05;9.88;9.71;10.29;10.60;;105.0;0.76
CCOLA;32.42;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%56;32.63;32.10;32.10;31.57;30.91;32.63;33.38;34.35;105.0;0.68
EGEEN;8880.78;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;8918.29;8855.46;8351.12;7593.12;6835.13;9288.97;10804.96;12552.20;105.0;1.48
