Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
EREGL;24.03;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;24.06;23.99;23.70;23.22;22.83;24.47;25.36;26.49;670.0;0.63
KCHOL;244.11;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;244.31;243.82;234.11;218.91;206.62;258.68;287.00;323.02;670.0;0.7
DOAS;259.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;259.11;258.93;258.75;257.19;255.20;259.85;260.94;262.30;660.0;1.5
SISE;52.64;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;52.65;52.63;51.66;50.76;49.86;52.78;54.58;56.65;660.0;0.72
TSKB;10.88;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;11.50;10.70;10.70;10.21;9.81;11.50;12.42;13.60;660.0;3.44
CCOLA;68.66;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%59;68.67;68.65;66.00;63.62;61.69;69.85;74.28;79.92;650.0;1.68
SAHOL;99.90;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;99.92;99.88;98.17;93.04;88.89;106.46;116.02;128.17;650.0;0.8
SKBNK;4.08;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%61;4.08;4.03;4.03;3.91;3.74;4.15;4.30;4.54;650.0;0.02
CIMSA;33.48;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;33.49;33.47;33.24;32.66;32.20;34.17;35.25;36.62;640.0;0.62
TRMET;50.60;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%51;50.68;50.54;50.20;;;50.63;50.96;51.20;640.0;1.33
TTRAK;918.82;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%59;919.19;918.03;890.18;833.75;788.14;981.40;1086.53;1220.27;635.0;0.48
ASTOR;106.07;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%57;106.15;106.00;104.56;103.08;101.59;106.40;109.38;112.81;625.0;1.15
AKBNK;65.10;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;65.21;65.00;61.74;57.13;53.40;69.21;77.81;88.74;155.0;1.15
ENKAI;38.89;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%56;38.99;38.72;38.33;37.47;36.78;39.71;41.31;43.35;155.0;0.55
MPARK;326.19;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%60;326.53;325.41;299.87;272.81;250.94;343.62;394.04;458.18;155.0;0.43
OTKAR;631.50;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%60;632.17;630.26;600.07;577.22;558.75;637.00;679.57;733.72;155.0;0.54
TSPOR;3.49;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;3.51;3.46;3.40;3.21;3.07;3.69;4.04;4.47;155.0;0.79
YKBNK;36.02;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%56;36.13;35.94;35.41;32.91;30.89;39.46;44.12;50.06;155.0;1.37
GSRAY;2.30;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%51;2.31;2.30;2.19;2.08;1.91;2.31;2.45;2.68;145.0;4.08
ISMEN;36.43;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%45;36.79;36.28;35.54;34.22;33.15;37.67;40.12;43.25;145.0;2.39
AKSEN;45.39;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;45.44;45.31;43.55;41.90;40.57;46.22;49.30;53.22;140.0;0.65
ALTNY;13.33;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%100;16.01;11.95;12.14;11.40;10.81;14.70;16.45;18.38;140.0;1.94
GARAN;96.43;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%60;96.78;96.24;91.67;85.50;80.52;101.64;113.13;127.75;140.0;1.78
HALKB;18.51;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%54;18.61;18.40;17.86;17.13;16.39;18.77;20.24;21.93;140.0;0.91
ISCTR;15.15;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%57;15.16;15.13;14.86;13.99;13.29;16.27;17.89;19.95;140.0;0.86
TCELL;86.42;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%61;86.57;86.29;82.70;78.54;75.19;89.41;97.14;106.98;140.0;1.1
TOASO;293.64;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%61;294.00;293.31;274.61;259.23;246.80;299.47;328.12;364.57;140.0;1.11
TTKOM;45.30;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%61;45.40;45.23;43.13;40.95;39.19;46.66;50.72;55.89;135.0;1.43
GUBRF;169.00;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%34;169.60;168.01;168.05;166.32;163.85;169.78;171.93;175.40;130.0;0.61
PETKM;21.24;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;21.25;21.03;21.03;20.76;;21.25;21.40;21.55;130.0;0.05
GRSEL;131.11;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;131.28;130.87;126.94;117.22;109.37;142.64;160.75;183.77;125.0;0.68
TUPRS;162.52;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;162.60;162.45;158.85;150.41;143.58;172.49;188.22;208.22;125.0;1.15
AGHOL;35.27;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%63;35.29;35.25;34.54;32.76;31.32;37.41;40.73;44.94;120.0;0.65
ANSGR;26.73;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%62;26.74;26.70;24.68;23.22;22.04;27.04;29.76;33.22;120.0;0.51
BIMAS;469.22;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%52;469.50;468.85;455.37;438.86;425.52;482.05;512.81;551.93;120.0;0.75
DOHOL;15.40;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%51;15.41;15.40;14.92;14.47;14.12;15.63;16.45;17.50;120.0;1.9
ECILC;54.65;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%58;54.66;54.64;54.01;52.95;51.89;55.32;57.44;59.88;120.0;0.7
KRDMD;29.52;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;29.53;29.06;29.06;28.24;27.57;30.40;31.94;33.90;120.0;0.02
TAVHL;244.00;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%65;244.05;243.97;214.70;195.40;179.80;245.90;281.86;327.60;120.0;1.67
BSOKE;6.51;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%59;6.52;6.49;6.49;6.41;6.31;6.54;6.59;6.66;115.0;0.77
TUREX;6.88;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%60;6.89;6.84;6.14;5.53;5.04;7.13;8.26;9.70;115.0;0.43
ULKER;126.79;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%50;126.81;126.77;121.92;117.47;113.88;129.11;137.39;147.92;115.0;0.85
VAKBN;21.92;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%57;21.93;21.90;21.48;20.03;18.85;23.84;26.55;30.01;115.0;0.5
AEFES;19.88;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%59;19.91;19.84;19.28;18.33;17.55;20.82;22.60;24.87;105.0;0.63
AKSA;9.71;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%51;9.73;9.70;9.61;9.26;8.98;10.17;10.82;11.65;105.0;1.23
ARCLK;190.40;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%61;190.43;190.37;187.11;181.55;177.05;196.10;206.46;219.65;105.0;1.0
ASELS;60.32;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%55;60.50;60.24;59.65;58.37;56.73;60.55;61.45;62.56;105.0;2.08
ENJSA;65.75;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%57;65.78;65.71;65.28;63.34;61.78;68.42;72.03;76.62;105.0;0.98
FENER;3.45;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%46;3.49;3.45;3.38;3.26;3.10;3.49;3.63;3.86;105.0;35.0
FROTO;106.29;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%57;106.43;106.22;103.12;96.60;91.33;113.66;125.82;141.27;105.0;1.87
MAVI;46.69;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%57;46.82;46.56;42.52;38.93;36.02;48.33;55.03;63.55;105.0;0.95
MGROS;464.33;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%53;464.93;463.71;456.91;449.05;437.86;464.76;474.49;490.21;105.0;0.96
ODAS;9.23;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%50;9.28;9.18;9.22;;;9.38;9.50;9.59;105.0;1.0
OYAKC;16.02;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%51;16.03;16.02;15.97;15.70;15.48;16.40;16.91;17.55;105.0;1.24
PGSUS;215.90;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%60;216.14;215.71;210.67;201.81;194.65;225.00;241.51;262.52;105.0;1.26
RALYH;37.27;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%64;40.11;37.26;34.21;30.56;27.61;40.11;46.91;55.56;105.0;276.51
SOKM;63.50;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%61;63.72;63.37;63.21;62.35;61.49;64.27;65.98;67.96;105.0;1.78
TKFEN;55.29;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%57;55.40;55.13;54.13;52.22;50.67;57.23;60.80;65.34;105.0;0.7
ZOREN;6.01;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%52;6.02;6.00;;;;6.10;6.17;6.23;105.0;1.0
