Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
AKBNK;62.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%59;62.11;61.90;59.97;58.19;56.75;62.85;66.17;70.39;660.0;1.1
TSKB;11.46;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%39;11.47;11.45;11.45;11.39;11.34;11.54;11.65;11.79;660.0;1.0
VAKBN;24.48;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%49;24.50;24.45;24.30;23.79;23.05;24.81;25.45;26.48;650.0;0.67
TUKAS;2.58;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%46;2.62;2.56;2.56;2.49;;2.62;2.66;2.69;635.0;2.0
EFOR;19.16;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%68;19.18;19.04;17.96;17.10;16.40;19.35;20.95;22.98;625.0;0.15
ARCLK;120.10;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%52;120.48;119.65;119.55;118.83;117.81;120.27;121.16;122.60;155.0;0.84
ENKAI;62.10;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%53;62.14;62.02;61.95;61.69;61.33;62.20;62.52;63.04;155.0;0.57
GRSEL;284.20;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;288.15;278.54;282.95;280.77;277.67;285.13;287.82;292.17;155.0;0.7
HALKB;23.36;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;23.57;23.11;23.03;22.53;22.03;23.65;24.66;25.82;155.0;0.84
EKGYO;16.74;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%48;16.81;16.67;16.06;15.48;15.00;17.00;18.09;19.47;145.0;1.0
GARAN;122.80;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%40;122.94;122.72;119.13;116.43;114.25;123.50;128.53;134.93;145.0;1.75
ISCTR;12.15;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;12.16;12.13;11.94;11.72;11.55;12.28;12.68;13.18;145.0;0.5
YKBNK;28.82;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%48;28.87;28.78;27.94;27.31;26.80;28.96;30.14;31.63;145.0;1.25
MAGEN;13.50;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%61;13.57;13.39;13.21;12.79;12.37;13.72;14.56;15.52;140.0;0.7
SISE;34.54;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;34.62;34.47;34.45;34.35;34.25;34.58;34.78;35.01;140.0;1.14
ENJSA;55.15;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%37;55.21;55.09;54.82;54.35;53.75;55.48;55.89;56.55;135.0;1.0
SAHOL;81.50;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%38;81.52;81.48;81.33;80.33;79.32;82.58;84.60;86.93;135.0;1.0
SKBNK;6.00;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%60;6.03;5.95;5.79;5.64;5.51;6.04;6.33;6.69;135.0;0.6
QUAGR;6.06;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;6.31;6.05;5.64;5.22;4.88;6.31;7.09;8.08;130.0;25.0
TAVHL;254.00;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%35;255.24;253.32;251.23;248.28;245.90;256.00;261.49;268.48;130.0;1.82
KUYAS;63.90;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%58;63.92;63.88;59.16;54.62;50.95;66.50;74.96;85.72;125.0;1.0
TABGD;174.40;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%49;175.25;173.12;172.63;169.45;;175.12;176.87;178.63;125.0;0.66
GENIL;159.28;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%54;159.91;158.23;153.57;149.11;145.50;160.78;169.09;179.67;115.0;0.6
ANSGR;22.20;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%36;22.23;22.14;22.15;22.06;21.98;22.30;22.47;22.69;110.0;0.5
ASELS;146.31;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%54;146.37;146.29;145.47;143.92;142.36;147.40;150.51;154.09;105.0;2.39
KLRHO;77.35;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%57;77.97;76.83;66.81;59.11;52.89;79.25;93.59;111.84;105.0;1.19
PGSUS;240.00;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%55;242.90;236.63;236.63;231.71;228.25;242.90;;;105.0;0.86
TUPRS;130.78;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%52;131.13;130.34;126.95;121.64;;131.12;134.05;136.98;105.0;0.8
AEFES;14.15;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%42;14.23;13.25;13.25;12.12;10.69;14.23;14.83;15.32;95.0;0.09
DOHOL;14.72;SAT;DÜŞÜŞ;COŞKULU RALLİ;%56;14.80;14.57;14.57;14.34;14.06;14.80;15.13;15.55;95.0;0.51
ECILC;42.68;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%43;42.69;42.15;42.15;41.48;40.40;42.69;43.23;44.00;95.0;0.02
EREGL;25.58;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;25.62;25.52;25.57;24.85;24.26;26.75;28.10;29.82;95.0;0.72
GRTHO;343.25;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%61;343.36;342.81;333.47;313.25;;349.35;360.50;371.65;95.0;0.25
HEKTS;3.06;SAT;DÜŞÜŞ;COŞKULU RALLİ;%36;3.11;3.05;3.05;3.01;2.97;3.11;3.19;;95.0;5.0
MAVI;35.30;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%32;35.34;35.26;35.03;34.41;33.62;35.46;35.89;36.43;95.0;1.0
TTKOM;55.80;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%53;55.85;55.22;55.22;54.45;53.20;55.85;56.48;57.37;95.0;0.09
ALARK;79.10;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%48;81.51;79.08;79.08;75.15;70.62;81.51;83.48;85.44;85.0;120.5
ALTNY;19.21;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%52;19.95;18.83;18.08;;;19.43;20.49;21.23;85.0;1.93
CANTE;1.52;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%29;1.54;1.51;1.51;1.48;1.44;1.54;1.56;1.59;85.0;2.0
CCOLA;47.90;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%29;48.27;47.60;47.60;46.78;45.44;48.27;48.94;49.89;85.0;1.23
ODAS;4.85;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%35;4.90;4.82;4.82;4.76;4.69;4.90;5.01;;85.0;1.67
OYAKC;19.79;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%58;21.21;18.95;18.95;16.34;13.03;21.21;22.61;23.74;85.0;1.69
PASEU;82.10;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%58;82.71;81.90;77.10;66.58;58.08;94.10;113.69;138.62;85.0;3.05
PATEK;19.27;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%51;19.80;19.07;18.81;17.76;16.41;19.56;20.30;21.22;85.0;2.65
RALYH;96.45;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%64;96.71;91.40;91.40;85.28;77.50;96.71;100.00;102.65;85.0;0.05
SASA;2.90;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%56;3.02;2.76;2.76;2.46;2.07;3.02;3.19;3.32;85.0;0.86
THYAO;265.02;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%43;268.02;259.86;259.86;246.66;231.45;268.02;274.62;281.22;85.0;0.58
TOASO;184.80;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%43;186.30;183.95;183.95;181.60;178.70;186.30;189.64;193.90;85.0;1.76
TURSG;7.96;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%42;8.08;7.90;7.90;7.69;7.35;8.08;8.25;8.49;85.0;1.87
AGHOL;24.51;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%28;24.77;23.88;23.88;22.86;21.56;24.77;25.31;25.76;75.0;0.41
AKSEN;32.60;SAT;DÜŞÜŞ;COŞKULU RALLİ;%28;32.69;32.48;32.48;32.27;32.00;32.69;32.99;33.38;75.0;0.75
BIMAS;460.58;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%43;464.88;459.98;459.98;453.91;444.11;464.88;469.79;476.77;75.0;7.16
ENERY;6.70;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%46;6.74;6.63;6.52;5.93;5.46;7.46;8.55;9.94;75.0;0.53
FENER;3.90;SAT;DÜŞÜŞ;COŞKULU RALLİ;%45;3.90;3.86;3.86;3.82;3.77;3.90;3.97;4.04;75.0;0.1
KONTR;10.34;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%16;11.77;10.26;10.26;8.52;6.31;11.77;12.70;13.46;75.0;18.54
KTLEV;8.06;SAT;DÜŞÜŞ;COŞKULU RALLİ;%47;8.37;7.97;7.97;7.66;7.44;8.37;;;75.0;3.44
SOKM;32.82;SAT;DÜŞÜŞ;COŞKULU RALLİ;%36;33.14;31.64;31.64;29.92;27.72;33.14;34.06;34.81;75.0;0.27
TCELL;87.65;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%40;87.80;86.80;86.80;85.18;83.32;87.80;88.60;89.41;75.0;0.17
VESTL;32.86;SAT;DÜŞÜŞ;COŞKULU RALLİ;%0;37.32;31.32;31.32;24.40;15.60;37.32;41.03;44.04;75.0;2.9
BRSAN;311.50;SAT;DÜŞÜŞ;DÜZELTME;%36;318.33;297.50;297.50;273.50;242.96;318.33;331.21;341.63;70.0;0.49
BRYAT;1751.00;SAT;DÜŞÜŞ;VOLATİLİTE;%45;1777.14;1724.72;1724.72;1640.00;1542.35;1777.14;1819.50;1861.86;70.0;0.99
DAPGM;8.61;SAT;DÜŞÜŞ;VOLATİLİTE;%52;8.64;8.50;8.50;8.34;8.14;8.64;8.73;8.80;70.0;0.27
FROTO;78.97;SAT;DÜŞÜŞ;DÜZELTME;%53;79.12;77.16;77.16;73.99;70.34;79.12;80.70;82.29;70.0;0.09
GSRAY;1.20;SAT;DÜŞÜŞ;DÜZELTME;%50;1.23;1.14;1.14;1.04;0.92;1.23;1.29;1.33;70.0;0.39
ISMEN;34.56;SAT;DÜŞÜŞ;VOLATİLİTE;%57;35.37;34.09;34.09;32.02;29.63;35.37;36.41;37.45;70.0;1.72
MGROS;466.09;SAT;DÜŞÜŞ;DÜZELTME;%38;470.19;464.13;464.13;456.63;444.50;470.19;476.25;484.88;70.0;2.08
ZOREN;2.95;SAT;DÜŞÜŞ;DÜZELTME;%33;3.03;2.80;2.80;2.54;2.20;3.03;3.17;3.29;70.0;0.53
TUREX;18.63;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%80;20.22;18.29;18.29;15.91;12.06;20.22;22.15;24.89;65.0;4.68
AKSA;8.88;SAT;DÜŞÜŞ;VOLATİLİTE;%50;9.25;8.57;8.57;7.79;6.79;9.25;9.67;10.01;60.0;1.19
CIMSA;44.78;SAT;DÜŞÜŞ;DÜZELTME;%39;45.26;44.70;44.70;44.01;42.90;45.26;45.82;46.61;60.0;6.0
DOAS;168.80;SAT;DÜŞÜŞ;VOLATİLİTE;%45;169.64;164.00;164.00;157.50;149.23;169.64;173.13;175.95;60.0;0.17
KCHOL;143.00;SAT;DÜŞÜŞ;VOLATİLİTE;%43;143.38;141.00;141.00;138.25;134.76;143.38;144.86;146.05;60.0;0.19
KRDMD;22.72;SAT;DÜŞÜŞ;VOLATİLİTE;%46;23.23;21.16;21.16;18.77;15.73;23.23;24.51;25.55;60.0;0.33
MIATK;27.78;SAT;DÜŞÜŞ;VOLATİLİTE;%42;30.18;26.78;26.78;22.86;17.87;30.18;32.29;33.99;60.0;2.4
MPARK;325.00;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%48;325.97;320.26;320.26;316.25;312.24;325.97;333.25;;60.0;0.2
ULKER;100.90;SAT;DÜŞÜŞ;VOLATİLİTE;%47;101.55;100.65;100.65;99.74;98.62;101.55;102.84;104.49;60.0;2.6
OBAMS;7.76;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%46;8.33;7.35;7.35;6.23;4.80;8.33;8.93;9.42;55.0;1.39
