Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
TKFEN;128.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%62;128.05;127.92;127.75;126.13;124.81;130.38;133.42;137.27;660.0;0.71
EFOR;18.45;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%64;18.46;18.35;17.65;16.75;16.02;19.11;20.80;22.94;615.0;0.14
GENIL;149.30;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%53;150.45;147.36;146.08;143.05;140.03;149.83;155.89;162.87;145.0;0.6
KUYAS;60.85;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;60.90;60.78;58.78;54.31;50.70;66.00;74.32;84.91;140.0;0.71
TUPRS;139.05;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;139.52;138.46;134.94;132.40;130.35;143.78;149.80;156.45;140.0;0.8
ALTNY;20.95;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%54;21.41;20.72;20.49;19.43;18.08;21.23;21.97;22.89;135.0;1.96
PASEU;89.00;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;90.07;88.65;73.20;63.43;55.53;107.21;130.37;155.94;135.0;3.06
BTCIM;5.34;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%47;5.35;5.33;5.33;5.26;5.19;5.41;5.54;5.69;130.0;1.0
EREGL;26.11;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;26.17;26.03;25.57;24.85;24.26;26.75;28.10;29.82;130.0;0.68
ASELS;146.11;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%55;146.27;146.04;145.47;143.92;142.36;147.40;150.51;154.09;125.0;2.12
ENERY;6.99;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%49;7.06;6.85;6.16;5.64;5.22;7.95;9.18;10.53;125.0;0.48
MAGEN;12.54;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%59;12.56;12.52;12.37;11.77;11.02;12.79;13.21;13.72;120.0;0.67
TUREX;20.24;SAT;DÜŞÜŞ;COŞKULU RALLİ;%75;22.15;20.22;20.22;18.29;15.91;22.15;24.89;28.38;120.0;95.5
DAPGM;8.85;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;8.86;8.84;8.60;8.14;7.56;8.92;9.24;9.64;115.0;1.0
QUAGR;6.03;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%55;6.31;6.02;5.64;5.22;4.88;6.31;7.09;8.08;115.0;28.0
VAKBN;23.90;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%45;23.93;23.86;23.64;22.97;22.12;24.11;24.58;25.16;115.0;0.75
