Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
CCOLA;29.59;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;29.70;29.46;28.31;26.96;25.86;30.49;33.01;36.22;670.0;0.89
TTRAK;668.60;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;669.77;666.12;594.63;526.44;471.32;704.86;831.90;993.51;670.0;0.47
THYAO;255.75;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;256.56;254.61;230.32;209.75;193.13;263.56;301.88;350.62;650.0;0.71
FENER;2.46;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%55;2.47;2.45;2.37;2.23;2.11;2.60;2.87;3.21;645.0;0.83
TRALT;28.24;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;28.25;28.23;27.89;26.62;25.58;29.96;32.34;35.37;620.0;1.0
BIMAS;221.71;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%61;222.30;220.93;209.15;197.64;188.34;227.75;249.19;276.46;155.0;0.76
ISMEN;26.11;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%62;26.77;25.84;22.14;19.50;17.38;26.39;31.29;37.52;155.0;2.41
PGSUS;188.85;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%66;190.18;187.75;169.64;154.92;143.01;193.45;220.88;255.78;155.0;1.22
CIMSA;25.68;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%60;25.68;25.67;23.72;21.49;19.69;27.31;31.46;36.73;145.0;0.77
MPARK;119.80;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%59;121.42;116.00;110.39;103.08;97.18;122.20;135.81;153.13;145.0;0.42
TCELL;49.12;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;49.17;49.08;45.69;42.74;40.36;50.45;55.93;62.91;145.0;1.22
TSPOR;3.35;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%52;3.39;3.32;3.19;2.97;2.74;3.47;3.91;4.43;145.0;1.25
DOAS;192.34;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%50;192.83;192.03;175.46;158.39;144.60;203.05;234.85;275.30;140.0;1.55
ECILC;40.34;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;40.38;40.29;38.99;36.83;35.08;42.48;46.50;51.61;140.0;0.72
GARAN;44.47;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%51;44.79;44.30;40.85;38.02;35.74;45.41;50.68;57.37;140.0;1.85
OTKAR;317.59;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%60;318.30;316.27;294.54;270.82;251.65;332.88;377.06;433.27;140.0;0.54
TURSG;2.29;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%54;2.31;2.27;2.05;1.89;1.76;2.32;2.62;3.01;140.0;1.25
AGHOL;15.90;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%54;16.05;15.74;15.04;13.95;13.07;16.79;18.82;21.39;135.0;0.95
ANSGR;7.83;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%35;8.01;7.50;6.92;6.33;5.86;7.86;8.96;10.34;135.0;0.54
DAPGM;7.80;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%65;7.91;7.67;7.01;6.32;5.77;8.12;9.39;11.02;135.0;0.79
MGROS;317.32;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%60;318.54;316.06;286.92;264.33;246.06;323.45;365.55;419.10;135.0;0.97
AEFES;10.19;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;10.23;10.13;9.51;8.85;8.32;10.58;11.81;13.37;130.0;0.68
EKGYO;8.71;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%53;8.73;8.70;8.57;8.28;8.05;9.04;9.57;10.26;130.0;1.12
MAVI;21.96;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;21.97;21.94;20.05;18.61;17.44;22.38;25.07;28.49;130.0;0.54
SOKM;42.86;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;42.90;42.84;40.13;37.70;35.73;44.05;48.58;54.34;130.0;1.77
ULKER;39.33;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%55;39.49;39.15;39.06;37.52;36.27;41.55;44.43;48.09;130.0;0.86
GUBRF;327.00;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%50;327.22;326.63;307.85;290.43;276.35;336.00;368.45;409.73;125.0;0.59
AKBNK;26.40;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;26.41;26.39;24.82;23.20;21.90;27.43;30.44;34.26;120.0;1.74
BSOKE;1.15;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%58;1.16;1.14;1.13;1.08;1.04;1.20;1.29;1.40;120.0;0.83
ISCTR;6.24;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;6.24;6.22;6.02;5.77;5.57;6.42;6.88;7.46;120.0;0.32
MIATK;16.45;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%60;16.95;16.02;14.45;13.19;12.17;16.49;18.84;21.84;120.0;1.18
OYAKC;15.23;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%58;15.27;15.16;14.26;13.06;12.10;16.18;18.41;21.23;120.0;0.59
PETKM;18.32;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%57;18.33;18.31;17.94;17.19;16.59;19.14;20.53;22.29;120.0;1.0
TAVHL;112.60;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%53;112.65;112.57;108.48;102.03;96.83;118.90;130.91;146.18;120.0;1.67
ALARK;106.45;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%62;106.47;106.42;99.68;91.93;85.66;112.21;126.64;145.01;115.0;0.88
BRSAN;314.00;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%53;314.07;313.93;282.99;243.58;211.73;346.70;420.13;513.53;115.0;1.0
CWENE;40.31;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%63;40.65;39.85;34.40;30.51;27.35;40.70;47.97;57.20;110.0;0.72
GRTHO;36.94;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%58;39.67;26.52;35.73;32.45;29.79;41.04;47.15;54.93;110.0;0.26
PASEU;16.06;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%57;17.09;15.76;14.79;13.28;12.06;17.24;20.06;23.64;110.0;3.4
AKSA;6.61;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;6.61;6.60;6.41;6.08;5.81;6.94;7.55;8.34;105.0;0.4
ASELS;37.82;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%59;37.92;37.77;35.77;33.42;31.51;39.58;43.98;49.56;105.0;2.12
BRYAT;1864.91;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%44;1865.14;1864.68;1726.46;1552.59;1412.06;2007.50;2331.42;2743.46;105.0;0.97
DOHOL;12.66;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%51;12.67;12.64;12.02;11.33;10.78;13.13;14.41;16.03;105.0;0.84
EGEEN;6352.13;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;6364.60;6343.71;6039.67;5722.76;5466.62;6551.95;7142.37;7893.42;105.0;1.48
ENJSA;44.92;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%52;45.27;44.58;44.03;40.72;38.04;49.38;55.55;63.39;105.0;1.05
ENKAI;29.91;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;30.01;29.72;28.84;27.82;26.80;30.09;32.12;34.47;105.0;0.53
EREGL;20.05;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;20.08;20.01;19.64;18.97;18.44;20.71;21.94;23.51;105.0;0.65
FROTO;79.94;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%54;80.06;79.87;75.15;69.89;65.63;83.66;93.47;105.95;105.0;1.91
KONTR;42.73;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%57;43.03;42.11;37.46;34.20;31.56;48.81;56.54;65.08;105.0;0.48
KRDMD;23.50;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%54;23.58;23.43;23.49;22.19;21.13;25.59;28.01;31.09;105.0;1.24
KUYAS;9.86;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%60;9.87;9.85;9.55;9.18;8.80;10.01;10.75;11.61;105.0;1.0
RALYH;16.72;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;16.74;16.68;14.98;13.27;11.90;17.74;20.91;24.96;105.0;0.35
SKBNK;2.50;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%52;2.56;2.50;2.39;2.29;2.20;2.56;2.75;2.99;105.0;171.41
TKFEN;43.59;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%58;43.68;43.46;42.47;40.02;38.03;46.44;51.02;56.84;105.0;0.64
