Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
KUYAS;14.89;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;15.01;14.83;14.76;;;15.01;15.20;15.34;660.0;2.13
EGEEN;10035.29;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%55;10074.64;10008.72;9288.97;8351.12;7593.12;10804.96;12552.20;14774.79;155.0;1.48
OTKAR;430.03;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%61;430.54;429.07;407.00;391.83;379.58;431.51;459.76;495.69;155.0;0.54
SOKM;62.20;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;62.57;61.99;61.85;61.39;60.93;62.43;63.35;64.42;155.0;1.7
BTCIM;4.24;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;4.25;4.23;3.57;3.10;2.71;4.34;5.22;6.35;145.0;0.68
AEFES;11.08;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;11.11;11.03;11.04;10.98;10.90;11.11;11.18;11.30;140.0;0.64
CCOLA;36.93;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;37.10;36.74;36.81;36.18;35.66;37.84;39.02;40.52;140.0;0.91
AGHOL;21.09;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%54;21.10;21.09;20.92;;;21.42;21.81;22.08;135.0;5.13
ASELS;42.97;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;43.03;42.95;42.90;42.31;41.72;43.63;44.80;46.16;130.0;2.42
DOAS;205.53;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%49;206.06;205.18;205.11;204.24;203.13;205.72;206.33;207.08;130.0;1.5
TUPRS;118.49;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;118.51;118.47;117.60;116.10;114.20;118.65;119.70;121.00;130.0;0.98
