Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
EGEEN;13353.25;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;13370.92;13341.32;11852.16;10424.48;9270.60;14159.92;16819.71;20203.12;670.0;1.48
KUYAS;21.50;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;21.72;21.39;20.02;19.01;18.20;21.64;23.51;25.89;670.0;2.0
EKGYO;7.21;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%49;7.25;7.16;7.06;;;7.21;7.32;7.40;660.0;1.0
KLRHO;40.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%57;41.12;39.04;39.66;38.64;37.34;40.38;41.10;41.99;650.0;1.17
THYAO;243.24;AL (GÜÇLÜ);YÜKSELİŞ;PANİK/SESSİZ;%41;243.28;243.19;241.36;236.25;228.97;246.48;252.80;263.03;615.0;0.67
AEFES;11.61;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;11.63;11.57;11.47;11.31;11.15;11.66;11.98;12.35;155.0;0.57
BRYAT;2795.36;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%51;2804.06;2786.66;2766.69;2672.09;2595.63;2919.60;3095.85;3320.04;155.0;1.0
ENKAI;31.11;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;31.18;30.98;30.90;30.70;30.54;31.22;31.58;32.05;155.0;0.57
MAVI;26.42;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%54;26.52;26.31;26.35;25.85;25.44;27.17;28.12;29.31;155.0;0.96
AKBNK;34.91;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%47;34.97;34.86;34.01;33.03;32.25;35.58;37.40;39.71;145.0;1.25
BIMAS;297.75;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;298.29;297.05;297.37;292.36;287.35;303.56;313.58;325.12;130.0;0.76
YKBNK;19.40;AL (TAKİP);YÜKSELİŞ;VOLATİLİTE;%58;19.41;19.39;19.05;18.74;18.42;19.44;20.07;20.79;130.0;1.59
CCOLA;38.78;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%53;38.82;38.73;38.18;37.28;36.39;39.28;41.07;43.13;125.0;0.82
TTKOM;24.68;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%50;24.88;24.53;24.65;23.85;23.05;25.65;27.26;29.12;125.0;1.33
ISCTR;8.61;AL (TAKİP);YÜKSELİŞ;VOLATİLİTE;%59;8.62;8.60;8.58;8.50;8.38;8.66;8.76;8.92;120.0;0.52
GARAN;54.78;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%50;54.88;54.73;54.33;52.51;51.04;57.27;60.66;64.98;115.0;1.82
GRTHO;41.05;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%42;43.01;33.55;40.56;40.25;40.00;41.62;42.35;43.15;115.0;0.26
OTKAR;437.92;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%59;437.96;437.83;419.72;402.14;384.56;441.47;476.63;517.15;115.0;0.48
TCELL;50.95;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%56;50.96;50.94;49.92;48.57;;50.98;51.73;52.47;115.0;1.0
SAHOL;56.85;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%47;56.89;56.81;56.62;55.64;54.66;57.83;59.79;62.05;105.0;0.83
SASA;5.97;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%50;5.98;5.97;5.81;5.53;;6.03;6.18;6.33;105.0;1.0
TKFEN;44.77;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;44.78;44.75;43.99;42.74;;44.98;45.67;46.37;105.0;0.6
ASELS;45.69;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%45;45.81;45.63;44.81;43.33;41.44;45.85;46.89;48.17;95.0;2.16
BTCIM;4.09;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%60;4.12;4.06;3.61;3.02;2.17;4.20;4.94;6.13;95.0;0.79
ENERY;2.34;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%56;2.35;2.30;2.30;2.25;;2.34;2.37;2.40;95.0;0.24
KTLEV;4.99;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%54;5.03;4.91;4.63;4.40;4.22;5.41;5.94;6.53;95.0;0.51
ENJSA;42.54;SAT;DÜŞÜŞ;VOLATİLİTE;%50;43.46;42.05;42.05;40.41;38.33;43.46;44.34;45.05;90.0;1.88
AGHOL;18.92;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%49;19.20;18.85;18.85;18.43;17.74;19.20;19.55;20.04;85.0;3.78
BSOKE;3.05;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%63;3.12;2.99;2.99;2.61;2.24;3.45;4.21;5.07;85.0;1.02
DOHOL;11.06;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%50;11.57;10.97;10.97;10.27;9.39;11.57;11.94;12.24;85.0;5.89
BRSAN;645.50;SAT;DÜŞÜŞ;VOLATİLİTE;%54;686.39;634.00;634.00;573.62;496.80;686.39;718.80;745.00;80.0;3.56
FENER;3.45;SAT;DÜŞÜŞ;DÜZELTME;%50;3.48;3.45;3.36;3.22;3.03;3.48;3.56;3.62;80.0;26.0
SISE;45.42;SAT;DÜŞÜŞ;VOLATİLİTE;%53;45.49;44.80;44.80;44.01;43.00;45.49;45.92;46.26;80.0;0.11
TAVHL;113.50;SAT;DÜŞÜŞ;VOLATİLİTE;%40;113.70;111.10;111.10;108.11;104.30;113.70;115.30;116.60;80.0;0.08
HALKB;12.83;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%44;13.03;12.30;12.30;11.46;10.38;13.03;13.48;13.85;75.0;0.38
QUAGR;5.86;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%15;5.88;5.84;5.84;5.80;5.75;5.88;5.94;6.01;75.0;1.0
RALYH;14.37;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%42;14.58;14.30;14.30;14.10;13.91;14.58;14.94;;75.0;3.06
ALARK;86.07;SAT;DÜŞÜŞ;VOLATİLİTE;%53;93.47;84.96;84.96;75.16;62.68;93.47;98.74;102.99;70.0;6.65
DOAS;178.67;SAT;DÜŞÜŞ;VOLATİLİTE;%40;180.66;177.07;177.07;171.27;164.58;180.66;183.57;186.47;70.0;1.24
KRDMD;22.08;SAT;DÜŞÜŞ;DÜZELTME;%50;23.33;21.94;21.94;20.34;18.31;23.33;24.19;24.88;70.0;8.93
OYAKC;13.65;SAT;DÜŞÜŞ;VOLATİLİTE;%50;14.62;13.61;13.61;12.45;10.98;14.62;15.25;15.75;70.0;23.41
PETKM;18.89;SAT;DÜŞÜŞ;VOLATİLİTE;%53;19.34;18.79;18.79;18.16;17.35;19.34;19.68;19.96;70.0;4.5
TTRAK;580.02;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%56;613.67;559.64;559.64;497.37;418.15;613.67;647.10;674.12;70.0;1.65
TUPRS;116.90;SAT;DÜŞÜŞ;VOLATİLİTE;%53;116.93;116.18;116.18;115.32;114.22;116.93;117.40;117.77;70.0;0.04
AKSA;6.06;SAT;DÜŞÜŞ;DÜZELTME;%46;6.19;6.00;6.00;5.77;5.49;6.19;6.31;6.41;60.0;2.36
ARCLK;126.20;SAT;DÜŞÜŞ;VOLATİLİTE;%47;132.37;124.20;124.20;114.79;102.82;132.37;137.42;141.50;60.0;3.09
CIMSA;29.35;SAT;DÜŞÜŞ;VOLATİLİTE;%47;30.23;29.14;29.14;27.88;26.28;30.23;30.91;31.45;60.0;4.2
ECILC;40.19;SAT;DÜŞÜŞ;VOLATİLİTE;%52;40.89;40.12;40.12;38.89;37.47;40.89;41.50;42.12;60.0;9.81
EUPWR;53.87;SAT;DÜŞÜŞ;VOLATİLİTE;%52;57.39;52.23;52.23;46.29;38.74;57.39;60.57;63.15;60.0;2.15
GSRAY;1.90;SAT;DÜŞÜŞ;VOLATİLİTE;%49;1.92;1.90;1.90;1.88;1.85;1.92;1.95;1.98;60.0;5.4
GUBRF;337.75;SAT;DÜŞÜŞ;VOLATİLİTE;%42;341.41;335.75;335.75;329.22;320.92;341.41;344.92;347.75;60.0;1.83
HEKTS;7.66;SAT;DÜŞÜŞ;VOLATİLİTE;%37;7.67;7.63;7.63;7.58;7.51;7.67;7.71;7.77;60.0;0.48
ISMEN;25.27;SAT;DÜŞÜŞ;DÜZELTME;%49;26.48;24.69;24.69;22.62;19.99;26.48;27.59;28.49;60.0;2.08
KCAER;10.19;SAT;DÜŞÜŞ;DÜZELTME;%47;10.20;9.99;9.99;9.83;9.71;10.20;;;60.0;0.02
MGROS;322.49;SAT;DÜŞÜŞ;VOLATİLİTE;%60;329.17;314.80;314.80;305.02;294.22;329.17;333.29;336.63;60.0;0.87
TSPOR;2.88;SAT;DÜŞÜŞ;VOLATİLİTE;%42;2.88;2.85;2.85;2.70;2.51;2.98;3.06;3.12;60.0;0.02
TUKAS;2.37;SAT;DÜŞÜŞ;VOLATİLİTE;%58;2.45;2.35;2.35;2.24;2.09;2.45;2.51;2.56;60.0;5.45
ULKER;75.38;SAT;DÜŞÜŞ;VOLATİLİTE;%47;76.24;75.36;75.36;74.48;73.39;76.24;77.49;79.08;60.0;41.19
VAKBN;13.54;SAT;DÜŞÜŞ;VOLATİLİTE;%54;13.75;13.21;13.21;12.59;11.79;13.75;14.08;14.36;60.0;0.64
VESTL;50.40;SAT;DÜŞÜŞ;DÜZELTME;%40;53.86;50.30;50.30;46.19;40.97;53.86;56.07;57.85;60.0;34.6
EREGL;18.79;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%44;18.87;18.74;18.74;18.59;18.40;18.87;18.95;19.02;50.0;1.6
KCHOL;127.52;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%50;127.93;127.24;127.24;126.14;124.86;127.93;128.48;129.04;50.0;1.5
MPARK;151.06;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%58;153.43;150.69;150.69;146.27;141.17;153.43;155.64;157.85;50.0;6.36
PGSUS;137.80;SAT;DÜŞÜŞ;DÜZELTME;%46;139.76;136.57;136.57;132.90;128.22;139.76;141.73;143.32;50.0;1.6
REEDR;24.74;SAT;DÜŞÜŞ;VOLATİLİTE;%56;25.98;24.11;24.11;23.61;23.26;;;;50.0;1.96
SKBNK;5.27;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%57;5.27;5.21;5.21;5.13;5.03;5.28;5.33;5.36;50.0;0.05
SOKM;52.31;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%53;53.76;51.88;51.88;49.71;46.94;53.76;54.93;55.87;50.0;3.4
TSKB;6.92;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%56;6.97;6.87;6.87;6.81;6.71;6.97;7.04;7.13;50.0;1.0
AKSEN;31.35;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%33;32.63;30.84;30.84;28.78;26.17;32.63;33.73;34.62;40.0;2.52
FROTO;70.04;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%36;70.49;69.90;69.90;68.94;67.85;70.49;70.96;71.44;40.0;3.16
GESAN;72.35;SAT;DÜŞÜŞ;VOLATİLİTE;%45;77.98;72.15;72.15;65.43;56.89;77.98;81.59;84.50;40.0;28.15
KONTR;35.57;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%44;38.20;35.00;35.00;31.31;26.62;38.20;40.18;41.78;40.0;4.6
ODAS;9.40;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%44;10.31;8.35;8.35;7.01;5.53;10.31;10.88;11.34;40.0;0.87
TOASO;191.44;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%48;202.98;189.28;189.28;173.49;153.41;202.98;211.45;218.30;40.0;5.34
TRALT;21.06;SAT;DÜŞÜŞ;VOLATİLİTE;%45;21.17;20.64;20.64;20.03;19.26;21.17;21.50;21.76;40.0;0.26
TRMET;47.38;SAT;DÜŞÜŞ;VOLATİLİTE;%44;51.29;46.88;46.88;41.80;35.34;51.29;54.01;56.22;40.0;7.82
YEOTK;55.79;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%48;56.53;54.23;54.23;50.51;46.23;56.53;58.38;60.24;40.0;0.48
ZOREN;4.59;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%50;4.87;4.27;4.27;3.86;3.41;4.87;5.04;5.18;40.0;0.88
ANSGR;13.63;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%55;13.78;13.60;13.60;13.39;13.13;13.78;13.90;13.99;30.0;5.75
ASTOR;99.26;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%50;104.96;96.44;96.44;86.62;74.12;104.96;110.23;114.49;30.0;2.02
DAPGM;4.51;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%58;5.54;4.25;4.25;2.76;0.87;5.54;6.33;6.98;30.0;3.95
GRSEL;62.28;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%61;63.27;61.88;61.88;60.27;58.22;63.27;64.14;64.84;30.0;2.5
MIATK;38.50;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%51;39.35;36.86;36.86;33.99;30.33;39.35;40.89;42.14;30.0;0.52
TABGD;135.63;SAT;DÜŞÜŞ;VOLATİLİTE;%38;137.77;131.43;131.43;124.12;114.82;137.77;141.69;144.86;30.0;0.51
TURSG;3.98;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%53;4.03;3.97;3.97;3.90;3.81;4.03;4.07;4.10;30.0;3.67
CANTE;2.45;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%39;2.46;2.45;2.45;2.44;2.44;2.46;;;20.0;2.99
CWENE;32.21;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%50;33.69;31.79;31.79;29.59;26.80;33.69;34.86;35.82;20.0;3.48
GENIL;48.33;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%43;51.82;47.44;47.44;42.39;35.97;51.82;54.53;56.72;20.0;3.94
IZENR;7.01;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%59;8.15;7.00;7.00;5.67;3.99;8.15;8.87;9.44;20.0;96.75
MAGEN;5.54;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%49;6.08;5.52;5.52;4.86;4.03;6.08;6.44;6.72;20.0;27.0
PASEU;14.10;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%52;15.15;13.75;13.75;12.13;10.07;15.15;16.02;16.73;20.0;3.0
TRENJ;34.90;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%46;37.05;34.16;34.16;30.83;26.60;37.05;38.84;40.28;20.0;2.91
TUREX;3.05;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%38;3.07;3.04;3.04;3.00;2.95;3.07;3.09;3.12;20.0;1.14
