Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
HALKB;20.02;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;20.12;19.90;19.59;18.81;18.18;20.86;22.32;24.18;670.0;0.83
QUAGR;3.42;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;3.43;3.38;3.30;3.19;3.07;3.45;3.68;3.95;670.0;0.25
TCELL;101.81;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;101.84;101.79;100.19;97.04;94.50;105.28;111.14;118.60;660.0;1.0
TABGD;158.08;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%61;158.74;157.09;156.04;151.71;147.39;161.39;170.04;180.01;650.0;0.66
GRSEL;200.53;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;200.96;199.92;200.13;199.24;198.34;201.24;203.03;205.09;640.0;0.7
MPARK;371.00;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%53;371.58;369.63;368.25;;;376.86;383.63;388.38;635.0;0.42
EFOR;10.81;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%66;10.84;10.65;9.10;7.83;6.79;11.16;13.54;16.56;625.0;0.17
VAKBN;26.74;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;26.80;26.66;26.08;25.46;24.84;26.84;28.08;29.51;155.0;0.75
AKBNK;63.48;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%48;63.61;63.38;61.69;59.62;57.55;64.24;68.37;73.14;145.0;1.22
YEOTK;52.90;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;53.08;52.66;51.85;;;52.94;53.80;54.40;145.0;0.75
AKSA;11.02;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;11.03;11.00;10.97;10.91;10.82;11.02;11.10;11.22;140.0;0.71
GRTHO;175.50;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%55;177.60;167.04;169.09;158.14;149.29;186.80;207.21;233.17;135.0;0.25
TSKB;12.88;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%43;12.89;12.61;12.61;;;12.89;13.10;13.26;135.0;0.04
TOASO;200.67;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%37;201.03;200.34;198.34;194.46;188.95;202.21;207.01;214.76;130.0;1.08
KTLEV;5.48;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%39;5.59;5.26;5.37;5.27;5.17;5.50;5.70;5.94;125.0;0.52
KUYAS;22.40;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%55;22.41;22.38;21.82;20.97;20.29;23.20;24.79;26.80;125.0;0.5
MGROS;571.27;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;571.67;570.86;544.14;521.31;502.85;581.06;623.61;677.73;125.0;0.98
RALYH;77.95;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%62;77.98;77.85;73.48;69.37;66.05;80.12;87.78;97.51;125.0;0.35
ASELS;86.09;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%54;86.11;86.08;82.63;77.76;73.83;90.48;99.54;111.06;115.0;1.91
BSOKE;13.90;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%41;13.93;13.88;13.71;13.53;13.39;14.00;14.33;14.76;115.0;1.5
CIMSA;51.46;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%56;51.46;51.45;51.16;47.74;44.97;56.69;63.07;71.18;115.0;0.24
EKGYO;13.94;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%56;13.95;13.93;13.91;13.25;12.72;14.96;16.19;17.74;115.0;0.58
OYAKC;23.74;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%58;23.74;23.73;22.94;21.32;20.02;25.55;28.56;32.39;115.0;0.15
ULKER;113.83;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%46;114.03;113.60;113.17;111.62;110.36;115.69;118.58;122.26;115.0;0.83
OBAMS;10.41;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%50;10.58;10.26;10.13;9.81;9.55;10.65;11.24;12.00;110.0;1.09
BIMAS;532.76;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%44;532.84;532.65;530.09;523.63;517.16;538.10;551.03;565.94;105.0;0.71
