Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
ASELS;47.66;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;48.02;47.49;46.59;45.61;44.81;48.18;50.01;52.34;670.0;2.09
ENKAI;31.25;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;31.29;31.19;31.17;30.86;30.56;31.55;32.16;32.87;660.0;0.59
MGROS;355.08;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%61;355.36;354.79;352.69;348.85;;355.71;357.83;359.95;650.0;0.98
RALYH;17.03;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%38;17.07;16.91;16.72;16.27;15.91;17.44;18.28;19.34;645.0;0.37
CCOLA;35.61;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%53;35.67;35.53;35.48;34.60;33.49;36.09;36.71;37.46;635.0;0.83
BSOKE;3.03;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%67;3.04;3.01;2.81;2.47;2.19;3.37;4.00;4.81;630.0;0.95
AEFES;11.15;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%52;11.16;11.12;11.11;10.90;10.64;11.25;11.39;11.57;155.0;0.46
AKBNK;29.87;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%51;29.97;29.77;29.81;29.64;29.47;30.03;30.37;30.77;155.0;1.09
GARAN;47.64;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%51;47.97;47.45;47.21;46.75;46.38;47.96;48.82;49.91;155.0;1.8
TKFEN;47.10;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%56;47.38;46.68;46.69;46.09;45.50;47.42;48.61;49.98;155.0;0.68
ECILC;47.48;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%54;47.59;47.30;47.27;46.88;46.50;47.75;48.52;49.40;145.0;0.63
KUYAS;19.75;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;19.85;19.70;18.85;18.07;17.44;20.11;21.57;23.42;140.0;2.0
ANSGR;16.23;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%60;16.31;16.08;13.55;11.70;10.20;16.55;20.00;24.39;135.0;0.59
TURSG;4.64;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%59;4.66;4.61;4.60;4.54;4.49;4.67;4.79;4.93;135.0;0.73
BIMAS;303.51;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%52;303.84;303.06;298.98;293.66;289.36;307.58;317.49;330.10;130.0;0.75
BTCIM;5.07;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%60;5.08;5.05;4.26;3.65;3.16;5.24;6.36;7.80;130.0;0.69
EREGL;19.80;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;19.83;19.75;19.78;19.67;19.55;19.92;20.14;20.40;130.0;0.66
SAHOL;57.04;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%50;57.12;56.95;56.48;55.52;54.75;58.02;59.80;62.06;130.0;0.88
TUREX;3.60;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%44;3.79;3.11;3.49;3.40;3.34;3.62;3.78;3.97;125.0;0.38
KCAER;11.03;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%53;11.16;10.87;10.91;10.71;10.42;11.12;11.37;11.78;120.0;0.81
TTKOM;22.60;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%45;22.66;22.56;22.38;22.01;21.71;22.98;23.67;24.55;120.0;1.5
FENER;3.96;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%53;3.96;3.94;3.94;3.90;;3.97;3.99;4.01;115.0;0.14
TCELL;53.10;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%59;53.13;53.07;53.08;52.22;51.52;54.47;56.08;58.12;115.0;1.03
BRYAT;2262.09;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%50;2262.97;2261.22;2260.70;2213.36;;2297.87;2323.98;2350.08;105.0;1.0
EGEEN;9879.87;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%51;9883.57;9877.38;9288.97;8351.12;7593.12;10804.96;12552.20;14774.79;105.0;1.48
EKGYO;7.13;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%50;7.17;7.09;7.06;;;7.16;7.24;7.29;105.0;1.16
MPARK;174.81;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%60;175.69;172.73;164.39;146.77;132.52;192.88;225.72;267.50;105.0;0.43
