Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
TOASO;311.75;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;312.15;311.37;300.88;289.06;279.50;320.00;342.03;370.06;670;1.05
KRDMD;29.46;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;29.47;29.28;29.28;28.74;28.30;30.16;31.17;32.46;660;0.06
TUREX;8.03;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%31;8.11;7.82;7.89;7.77;7.65;8.04;8.29;8.57;660;0.38
YEOTK;43.40;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;43.81;42.87;42.60;41.55;40.50;43.90;46.00;48.42;660;0.77
AKSA;10.52;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;10.53;10.51;10.48;10.39;10.29;10.60;10.80;11.03;650;1.0
ENERY;10.40;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;10.46;10.28;10.39;10.30;10.17;10.47;10.58;10.76;650;0.5
MGROS;613.50;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;613.83;613.14;604.27;572.88;547.52;655.00;713.47;787.85;650;0.92
TURSG;11.51;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%43;11.75;11.50;11.50;;;11.75;11.94;12.08;650;24.0
ZOREN;3.16;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%14;3.17;3.15;3.15;3.12;;3.17;3.19;3.21;650;1.0
SKBNK;8.10;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%57;8.11;8.09;8.03;7.92;;8.11;8.17;8.23;635;1.0
REEDR;7.16;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%23;7.20;7.12;7.11;7.07;7.04;7.17;7.24;7.34;625;1.0
CIMSA;49.08;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%57;49.17;48.94;48.87;48.43;48.08;49.58;50.40;51.43;155;0.64
CWENE;32.12;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%55;32.28;31.90;29.16;26.83;24.95;32.92;37.26;42.78;155;0.73
DOHOL;21.18;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;21.20;21.16;20.45;19.92;19.49;21.32;22.32;23.59;155;1.0
ECILC;128.90;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%62;129.25;128.39;121.15;114.07;108.35;132.60;145.79;162.57;155;0.69
FROTO;109.20;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%54;109.28;109.16;106.77;103.54;100.93;112.00;118.02;125.69;155;2.0
SAHOL;100.70;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%60;100.79;100.58;96.37;93.39;90.98;101.20;106.76;113.84;155;0.75
AKSEN;71.00;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;71.03;70.95;66.02;60.47;55.98;75.00;85.35;98.51;145;0.6
ANSGR;27.86;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%40;27.88;27.83;26.98;26.31;25.77;28.06;29.31;30.89;145;0.67
ENKAI;84.40;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;84.46;84.31;83.50;82.42;81.55;85.25;87.27;89.83;145;0.67
ISMEN;45.08;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%40;45.22;45.02;45.02;44.23;43.60;46.28;47.74;49.59;145;2.33
PASEU;175.00;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%42;177.15;157.29;166.72;161.59;157.45;184.55;196.69;210.10;145;0.12
PETKM;17.94;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;17.97;17.91;17.90;17.70;17.55;18.22;18.59;19.05;145;1.0
AEFES;17.90;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;17.91;17.88;17.78;17.43;17.15;18.35;19.01;19.84;140;0.5
ASTOR;161.10;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%60;161.75;160.56;151.58;141.11;132.65;168.50;188.00;212.81;140;1.2
KLRHO;447.50;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%70;447.66;447.36;386.84;338.48;299.40;465.00;555.09;669.68;140;1.14
OYAKC;27.14;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%60;27.16;27.12;26.65;26.06;25.58;27.60;28.70;30.10;140;1.0
SOKM;62.90;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%69;63.41;62.61;57.41;53.49;50.33;63.75;71.05;80.34;140;1.76
TCELL;114.40;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%52;114.61;114.22;111.45;108.70;106.48;115.90;121.03;127.55;140;1.17
HALKB;47.08;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%53;47.20;46.93;42.81;39.55;36.91;48.08;54.16;61.89;135;0.8
TKFEN;73.55;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%25;73.66;73.37;73.26;72.85;;73.58;73.80;74.02;135;0.61
VESTL;30.52;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%42;30.55;30.48;30.36;;;30.53;30.67;30.76;135;0.75
ALARK;106.60;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;106.62;106.58;104.55;99.88;96.10;112.10;120.80;131.88;130;1.0
CCOLA;73.10;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%57;73.12;73.08;69.84;66.90;64.53;74.60;80.08;87.05;130;1.0
EREGL;27.44;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%51;27.49;27.36;26.98;26.46;26.04;27.82;28.79;30.02;130;0.62
MPARK;447.50;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%65;447.68;447.10;422.59;405.33;391.38;450.50;482.66;523.58;130;0.45
