Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
ASELS;161.69;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;161.97;161.57;159.22;155.04;151.66;165.99;173.78;183.70;670.0;2.23
ZOREN;3.26;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;3.27;3.25;3.22;3.18;3.14;3.28;3.36;3.46;670.0;1.0
ARCLK;128.20;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;128.22;128.17;127.04;125.03;123.40;130.30;134.05;138.83;660.0;0.67
DOAS;187.30;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;187.44;187.21;184.82;181.29;176.80;189.78;192.84;197.80;660.0;1.56
TUKAS;2.84;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;2.86;2.79;2.79;2.73;2.67;2.86;2.97;3.10;660.0;0.4
TURSG;8.75;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;8.76;8.74;8.57;8.43;8.32;8.79;9.04;9.36;660.0;2.2
DAPGM;9.44;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%54;9.52;9.35;9.41;9.31;9.23;9.57;9.75;9.99;655.0;0.89
CANTE;1.62;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%32;1.63;1.61;1.60;1.59;1.58;1.63;1.66;1.70;650.0;1.0
IZENR;7.25;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;7.31;7.14;7.03;6.89;6.78;7.26;7.52;7.85;650.0;0.55
PASEU;93.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%59;93.84;92.72;77.10;66.58;58.08;94.10;113.69;138.62;650.0;3.0
PATEK;24.80;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;25.86;24.41;22.96;21.71;20.70;24.98;27.31;30.28;650.0;2.72
SASA;3.21;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;3.23;3.20;3.20;3.17;3.14;3.23;3.26;3.31;650.0;2.0
ULKER;111.70;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;111.72;111.67;110.73;109.60;108.47;112.13;114.40;117.01;650.0;0.67
ANSGR;23.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%43;23.03;22.95;22.68;22.23;21.65;23.32;23.71;24.35;640.0;0.6
DOHOL;15.36;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%59;15.37;15.35;15.31;15.16;14.94;15.47;15.66;15.97;640.0;0.67
GUBRF;247.80;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%35;247.99;247.48;246.98;245.36;244.05;249.60;252.62;256.46;640.0;0.59
KUYAS;64.25;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%56;64.26;64.24;63.36;58.02;53.70;72.00;81.96;94.62;635.0;1.0
BIMAS;487.88;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%42;488.02;487.68;483.30;475.09;;489.74;494.27;498.80;625.0;0.73
ODAS;5.19;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%41;5.21;5.14;5.14;5.09;5.04;5.21;5.32;5.45;625.0;0.4
GENIL;173.76;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;174.99;171.71;168.37;161.08;155.19;180.15;193.74;211.01;145.0;0.6
HEKTS;3.58;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%47;3.61;3.54;3.54;3.45;3.38;3.69;3.86;4.08;145.0;0.75
SOKM;36.50;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%45;36.71;36.38;36.01;35.68;35.41;36.54;37.15;37.94;145.0;1.75
TAVHL;275.25;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%56;275.30;275.22;269.38;262.96;257.78;279.75;291.70;306.91;145.0;1.67
QUAGR;6.64;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%58;6.67;6.57;6.03;5.54;5.14;6.83;7.75;8.92;140.0;0.43
TUPRS;151.26;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;151.47;151.00;145.45;140.90;137.22;152.80;161.27;172.05;140.0;0.8
ALTNY;20.35;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%51;20.58;20.24;19.43;18.08;;20.49;21.23;21.97;135.0;2.01
EFOR;21.89;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%72;21.92;21.74;20.43;19.24;18.27;22.36;24.58;27.41;135.0;0.18
AKSEN;36.40;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%44;36.45;36.33;35.52;34.94;34.47;36.46;37.54;38.92;130.0;0.71
OTKAR;461.75;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%50;462.56;460.36;448.02;439.37;432.38;462.00;478.12;498.62;130.0;0.58
ENJSA;64.90;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%52;65.20;64.62;62.42;60.76;59.43;65.10;68.19;72.11;125.0;1.07
EUPWR;33.14;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%33;34.01;32.56;32.49;31.27;30.28;34.46;36.73;39.63;125.0;1.5
ISMEN;41.36;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%63;41.51;41.30;39.76;38.76;37.96;43.21;45.56;48.16;125.0;2.5
MAGEN;14.22;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%57;14.26;14.17;13.62;13.12;12.63;14.24;15.23;16.38;125.0;0.67
ECILC;45.28;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%44;45.29;45.27;43.88;;;46.24;48.09;49.39;120.0;1.0
FROTO;88.58;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%53;88.61;88.57;87.62;86.43;84.74;88.81;90.29;92.67;120.0;1.84
KCHOL;168.30;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%43;168.41;168.15;164.99;162.70;160.85;168.70;172.97;178.40;120.0;0.73
PGSUS;260.75;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%50;260.82;260.69;260.38;258.28;255.30;262.47;265.06;269.25;120.0;1.17
EKGYO;19.16;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%54;19.18;19.14;17.84;16.91;16.17;19.33;21.05;23.24;115.0;1.0
FENER;5.20;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;5.21;5.20;5.15;4.92;4.73;5.52;5.95;6.49;115.0;1.33
GESAN;49.36;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%35;50.05;48.67;48.75;47.27;46.08;51.15;53.91;57.42;115.0;1.0
SISE;36.26;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%56;36.27;36.25;36.16;35.73;35.30;36.69;37.54;38.52;115.0;1.0
TTRAK;600.50;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%54;600.55;600.40;597.50;592.66;585.77;602.34;608.32;618.00;115.0;0.5
VESTL;36.76;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%40;36.77;36.75;36.40;35.94;35.28;36.86;37.43;38.36;110.0;1.0
ALARK;87.50;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%51;87.55;87.44;86.64;85.41;83.85;88.36;89.43;91.15;105.0;0.83
ENKAI;63.28;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%50;63.31;63.24;62.42;60.86;;63.64;64.49;65.35;105.0;0.67
GSRAY;1.30;SAT;DÜŞÜŞ;COŞKULU RALLİ;%50;1.33;1.29;1.29;1.23;1.14;1.33;1.37;1.43;105.0;3.0
HALKB;26.30;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%56;26.34;26.25;25.93;24.87;24.02;27.64;29.61;32.11;105.0;0.8
ISCTR;14.64;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%54;14.65;14.63;14.16;13.52;13.01;15.19;16.38;17.89;105.0;1.0
KRDMD;25.90;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%51;25.91;25.89;25.55;25.26;24.97;25.91;26.50;27.17;105.0;1.0
MGROS;494.64;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%35;494.85;494.42;493.64;488.55;481.29;498.74;505.04;515.24;105.0;0.99
MPARK;368.75;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%51;368.90;368.41;364.73;359.76;355.75;372.75;382.00;393.76;105.0;0.44
OYAKC;22.75;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;22.76;22.73;22.51;22.09;21.56;22.80;23.10;23.46;105.0;0.83
RALYH;113.00;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%61;113.09;112.76;109.10;;;113.87;117.62;120.25;105.0;0.38
TOASO;207.70;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%52;207.94;207.48;205.15;202.57;198.89;207.73;210.93;216.10;105.0;1.09
VAKBN;28.00;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%54;28.01;27.98;26.96;26.04;25.29;28.46;30.18;32.38;105.0;0.5
YEOTK;38.82;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;38.85;38.78;38.69;38.57;38.45;38.83;39.06;39.33;105.0;0.75
YKBNK;33.30;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%53;33.37;33.25;32.45;30.96;29.75;34.86;37.64;41.18;105.0;1.4
AEFES;15.18;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%40;15.20;15.15;14.98;14.61;;15.27;15.47;15.67;95.0;0.67
AGHOL;26.82;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%39;26.85;26.80;26.69;26.22;25.63;27.01;27.34;27.75;95.0;1.0
AKBNK;67.85;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%60;67.97;67.75;67.08;63.94;61.40;72.15;78.00;85.44;95.0;1.2
BRSAN;333.50;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%37;333.55;333.45;332.40;330.13;327.85;335.21;339.75;344.99;95.0;1.0
BRYAT;1873.00;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%45;1873.46;1872.51;1860.50;1843.39;1819.03;1877.61;1898.78;1933.00;95.0;0.94
CCOLA;49.66;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%34;49.71;49.60;49.59;48.36;;50.55;51.23;51.91;95.0;0.83
