Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
BSOKE;12.11;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%65;12.12;12.10;10.73;9.86;9.16;12.14;13.76;15.82;670.0;0.66
TUKAS;3.14;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%45;3.15;3.13;2.98;2.89;2.81;3.14;3.33;3.56;660.0;0.83
GRTHO;83.95;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;85.43;78.32;81.40;77.72;74.74;87.35;94.21;102.94;650.0;0.26
RALYH;43.31;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%62;43.32;43.26;38.31;33.88;30.29;45.48;53.74;64.25;645.0;0.32
TSPOR;4.05;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%47;4.09;4.00;3.95;3.85;3.70;4.05;4.18;4.38;645.0;0.99
ENERY;3.10;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;3.12;3.05;3.07;3.04;3.00;3.11;3.18;3.25;640.0;0.33
TRALT;24.50;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%45;24.65;24.28;23.89;23.31;22.85;24.82;25.89;27.25;640.0;0.68
TRENJ;46.90;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%44;47.10;46.70;45.48;44.07;42.93;47.76;50.39;53.73;640.0;1.0
TRMET;66.95;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%49;67.63;66.42;63.07;60.52;58.45;67.20;71.96;78.02;640.0;1.28
MPARK;403.25;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%57;403.87;401.79;363.94;324.64;292.87;427.48;500.71;593.87;155.0;0.42
ENKAI;44.29;AL (TAKİP);YÜKSELİŞ;VOLATİLİTE;%55;44.33;44.21;42.74;41.04;39.66;45.49;48.65;52.68;140.0;0.6
EKGYO;10.73;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;10.74;10.72;10.55;10.17;9.61;10.94;11.42;12.20;135.0;1.08
GENIL;75.98;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;77.03;74.21;72.07;69.34;67.14;76.47;81.55;88.01;135.0;0.6
PASEU;19.84;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%55;20.37;19.68;19.04;18.33;17.62;19.92;21.34;22.97;135.0;3.38
ENJSA;64.17;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;64.46;63.90;63.79;62.69;61.12;64.89;66.26;68.46;125.0;1.06
KUYAS;13.06;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%50;13.13;13.03;12.91;12.66;12.30;13.16;13.47;13.98;125.0;2.08
TUREX;8.10;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%58;8.14;8.00;7.75;7.51;7.31;8.15;8.60;9.18;125.0;0.4
GUBRF;163.50;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%25;163.99;162.69;159.01;152.20;;164.35;168.10;171.85;115.0;0.6
OYAKC;17.97;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%52;17.97;17.97;17.97;17.36;16.75;18.72;19.94;21.34;115.0;0.0
EFOR;4.52;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%70;4.60;4.09;4.06;3.75;3.50;4.57;5.15;5.89;110.0;0.17
DOHOL;16.31;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%51;16.32;16.15;16.15;16.02;15.92;16.32;;;105.0;0.08
TCELL;98.73;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%60;99.48;97.16;97.16;95.34;94.07;99.48;;;105.0;0.48
OBAMS;6.45;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%47;6.66;6.28;6.35;6.26;6.18;6.49;6.66;6.87;100.0;1.2
BTCIM;5.26;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%48;5.27;5.25;5.24;5.04;4.77;5.43;5.66;6.05;95.0;0.77
ISMEN;34.41;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%43;36.13;33.72;33.72;33.17;32.79;;;;95.0;2.49
