Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
TUREX;45.30;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%75;45.40;45.02;38.53;34.23;30.76;45.48;53.49;63.67;685.0;0.36
BTCIM;5.38;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;5.39;5.37;5.19;5.00;4.85;5.50;5.86;6.31;660.0;1.0
RALYH;118.70;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%64;118.77;118.51;107.39;96.80;88.24;124.50;144.23;169.32;655.0;0.37
TABGD;171.41;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;172.02;170.49;169.12;167.46;166.12;171.80;174.89;178.83;650.0;0.66
DAPGM;8.08;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%68;8.10;8.06;8.03;7.92;7.76;8.14;8.28;8.50;645.0;1.0
CANTE;1.62;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%35;1.63;1.61;1.59;1.53;1.45;1.63;1.67;1.73;640.0;1.0
KLRHO;29.60;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%36;30.44;28.89;29.39;28.84;28.40;30.28;31.30;32.60;640.0;1.18
GSRAY;1.54;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%46;1.54;1.51;1.51;1.47;;1.55;1.57;1.59;635.0;0.15
ECILC;46.35;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%51;46.47;46.16;45.72;45.06;44.53;46.79;48.03;49.60;155.0;0.64
TUKAS;2.74;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%57;2.75;2.73;2.64;2.53;2.44;2.82;3.03;3.30;155.0;1.0
TTKOM;54.00;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;54.04;53.97;53.39;52.54;51.33;54.24;55.30;57.00;145.0;1.33
KUYAS;40.20;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;40.24;40.15;39.68;38.86;38.20;41.00;42.52;44.46;140.0;0.8
QUAGR;5.57;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;5.59;5.53;5.18;4.85;4.59;5.72;6.34;7.12;140.0;0.5
OBAMS;13.93;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%52;14.27;13.63;12.84;12.15;11.59;13.96;15.25;16.90;135.0;1.15
BIMAS;467.09;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%42;467.91;466.01;466.70;465.86;;467.37;467.83;468.30;130.0;0.76
BSOKE;21.20;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%61;21.26;21.15;19.51;18.31;17.34;21.46;23.70;26.56;130.0;1.2
EREGL;23.58;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%51;23.65;23.46;23.51;23.21;22.79;23.80;24.17;24.77;130.0;0.62
TOASO;204.40;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;204.75;204.07;203.05;199.68;196.95;208.50;214.78;222.78;130.0;1.06
PASEU;63.40;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;63.98;63.21;54.64;48.41;43.38;64.70;76.30;91.05;120.0;3.05
ENKAI;62.92;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%56;62.93;62.90;60.98;58.81;57.05;64.49;68.54;73.68;115.0;0.69
TKFEN;131.48;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%63;131.49;131.46;126.68;115.08;103.48;141.03;164.23;190.96;115.0;0.53
ENERY;4.18;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%32;4.21;4.14;4.10;3.94;3.73;4.25;4.43;4.73;110.0;0.56
ASELS;137.23;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%58;137.29;137.20;127.31;118.76;111.86;141.12;157.04;177.29;105.0;2.57
BRYAT;2035.00;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%50;2037.40;2032.44;1954.55;1830.00;;2052.32;2121.00;2189.68;105.0;0.94
FENER;3.72;SAT;DÜŞÜŞ;COŞKULU RALLİ;%52;3.82;3.72;3.72;3.64;3.57;3.82;3.96;;105.0;0.0
MAGEN;10.99;SAT;DÜŞÜŞ;COŞKULU RALLİ;%57;11.16;10.99;10.99;10.85;10.75;11.16;;;105.0;84.0
GRSEL;303.64;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%46;305.02;301.67;297.57;285.79;276.27;316.60;338.55;366.46;95.0;0.7
KTLEV;7.34;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%40;7.48;7.05;7.27;6.92;6.64;7.84;8.49;9.32;95.0;0.49
MAVI;31.74;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%39;32.05;31.53;31.53;30.88;29.83;32.05;32.58;33.32;95.0;1.48
MPARK;324.00;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%39;324.26;323.38;320.67;315.75;;324.54;327.25;329.96;95.0;0.42
SASA;3.99;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%52;4.05;3.98;3.98;3.90;3.78;4.05;4.15;4.31;95.0;6.0
SOKM;37.88;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%28;37.92;37.86;37.58;36.94;;38.09;38.44;38.79;95.0;2.0
KCAER;12.98;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;12.99;12.97;12.68;12.29;11.90;13.16;13.94;14.84;90.0;1.4
DOHOL;15.03;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%50;15.03;14.89;14.89;14.71;14.51;15.15;15.23;15.29;85.0;0.02
EFOR;14.92;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%64;14.93;14.83;14.01;13.35;12.82;15.07;16.29;17.84;85.0;0.15
EGEEN;9025.00;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%50;9069.82;8995.36;8995.36;8875.00;8736.28;9069.82;9130.00;9190.18;85.0;1.51
ENJSA;55.50;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%36;55.88;55.34;55.34;54.67;53.60;55.88;56.41;57.18;85.0;2.38
IZENR;6.30;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%54;6.34;6.23;6.05;5.65;5.15;6.33;6.60;6.95;85.0;0.57
SKBNK;5.00;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%59;5.12;5.00;4.88;4.69;4.49;5.12;5.50;5.94;85.0;36.04
TRENJ;69.15;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%49;69.16;69.14;69.09;66.95;65.23;72.55;76.53;81.60;85.0;1.0
ZOREN;3.27;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%48;3.28;3.13;3.13;2.96;2.73;3.28;3.37;3.45;85.0;0.07
