Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
AKSEN;41.50;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;41.57;41.40;40.82;39.55;38.53;42.86;45.22;48.21;670.0;0.7
GESAN;49.98;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%40;50.79;49.17;49.87;49.48;49.16;50.50;51.23;52.16;660.0;1.0
MAGEN;9.46;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;9.56;9.34;9.29;8.99;8.74;9.78;10.35;11.07;660.0;0.77
GRTHO;174.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;174.83;170.66;169.09;158.14;149.29;186.80;207.21;233.17;650.0;0.25
ULKER;107.54;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%38;107.63;107.43;106.57;105.04;;107.76;108.61;109.45;650.0;0.79
TUREX;16.91;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%62;16.95;16.81;16.61;15.21;14.08;18.88;21.49;24.82;640.0;0.4
ASTOR;126.28;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%56;126.92;125.74;116.25;108.45;102.16;128.84;143.36;161.83;635.0;1.19
ASELS;85.74;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%55;85.92;85.66;79.88;75.54;72.04;86.89;94.97;105.25;155.0;2.22
BSOKE;13.50;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%51;13.60;13.43;13.40;13.30;13.19;13.54;13.75;14.00;155.0;1.43
CIMSA;55.80;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;55.97;55.54;50.74;47.40;44.70;56.15;62.38;70.30;155.0;0.63
FENER;4.07;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%53;4.09;4.06;4.04;3.93;3.83;4.22;4.44;4.71;155.0;1.63
GENIL;118.71;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%53;120.65;115.46;117.37;115.46;113.02;120.05;121.71;124.39;155.0;0.6
DAPGM;7.90;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%74;7.94;7.86;7.30;6.89;6.57;7.95;8.70;9.66;150.0;1.0
PGSUS;231.20;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%43;231.79;230.67;229.85;228.03;226.55;232.80;236.20;240.53;145.0;1.11
KUYAS;22.80;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;22.84;22.75;21.82;20.97;20.29;23.20;24.79;26.80;140.0;0.8
OYAKC;25.44;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%61;25.47;25.40;22.90;21.29;19.99;25.49;28.49;32.30;140.0;0.89
TCELL;102.01;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%53;102.19;101.83;98.94;96.03;93.68;103.64;109.06;115.95;140.0;1.03
THYAO;299.41;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%45;299.50;299.29;295.85;292.94;290.03;299.45;305.28;311.99;135.0;0.68
TTKOM;48.90;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%31;49.17;48.70;48.80;48.24;47.79;49.70;50.74;52.06;135.0;1.35
RALYH;78.37;AL (RİSKLİ);YÜKSELİŞ;COŞKULU RALLİ;%59;78.61;77.72;73.37;69.28;65.98;79.98;87.60;97.28;130.0;0.37
TAVHL;278.00;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%51;278.06;277.97;275.50;;;278.66;281.13;282.88;120.0;2.0
BTCIM;4.58;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%26;4.61;4.57;4.57;4.51;4.43;4.61;4.65;4.71;115.0;3.0
MPARK;386.75;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;386.92;386.34;385.56;380.47;374.00;389.13;392.69;397.11;115.0;0.41
