Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
GESAN;62.60;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;63.12;62.09;62.44;61.54;60.81;63.90;65.58;67.72;650.0;1.02
MGROS;136.60;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;136.85;136.34;135.03;131.98;;137.42;139.10;140.79;650.0;0.94
ASELS;30.33;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%42;30.44;30.28;29.16;25.74;22.98;34.68;41.05;49.15;645.0;2.25
TRENJ;38.80;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%42;38.94;38.66;38.72;37.89;36.82;39.31;39.90;40.62;640.0;1.0
BIMAS;126.85;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%33;127.25;126.33;125.24;;;127.05;128.46;129.46;635.0;0.77
ANSGR;4.23;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%35;4.24;4.20;3.99;3.50;3.10;4.79;5.72;6.89;630.0;0.49
MPARK;89.85;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%25;89.98;89.55;89.03;87.74;86.10;89.93;90.84;91.96;625.0;0.42
VESTL;69.45;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%25;69.48;69.41;69.32;68.65;67.98;70.15;71.50;73.05;625.0;0.75
ASTOR;23.39;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%100;34.07;14.52;21.00;19.51;18.32;26.16;29.67;33.55;140.0;1.2
FROTO;42.43;AL (TAKİP);YÜKSELİŞ;VOLATİLİTE;%50;42.53;42.39;40.91;38.31;36.21;45.11;49.96;56.12;140.0;2.21
