Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
GUBRF;393.50;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;393.95;392.76;383.03;376.24;370.75;394.00;406.65;422.74;660.0;0.61
TTKOM;24.18;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;24.44;23.99;23.59;22.99;22.50;24.56;25.68;27.11;660.0;1.37
SAHOL;57.88;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;57.90;57.86;57.30;56.19;55.29;59.09;61.16;63.80;650.0;0.93
ENERY;2.33;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;2.34;2.29;2.31;2.30;2.29;2.33;2.35;2.38;640.0;0.39
TUREX;3.40;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%42;3.43;3.32;3.26;3.05;;3.42;3.53;3.64;620.0;0.38
EGEEN;12477.50;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%54;12589.16;12402.12;10566.79;9384.75;8429.39;14679.67;17480.96;20573.71;155.0;1.48
SASA;6.54;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;6.57;6.49;6.41;6.24;6.11;6.68;6.99;7.39;155.0;0.68
BTCIM;5.81;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%61;5.82;5.78;4.69;4.00;3.45;7.09;8.72;10.52;145.0;0.51
HEKTS;8.16;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%22;8.19;8.12;8.13;8.07;;8.18;8.21;8.25;145.0;0.74
KCHOL;130.64;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;130.67;130.61;130.23;129.68;128.89;130.78;131.47;132.58;145.0;0.78
MAVI;24.58;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%52;24.61;24.55;24.37;24.08;23.70;24.58;24.78;25.04;145.0;1.18
YKBNK;19.00;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%56;19.12;18.90;18.96;18.66;18.42;19.44;19.99;20.69;140.0;1.31
BSOKE;3.96;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%67;4.07;3.85;3.45;2.99;2.61;4.21;5.07;6.17;135.0;1.02
FROTO;73.16;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%37;73.23;73.12;72.88;72.19;;73.42;73.79;74.17;135.0;1.91
AKBNK;32.68;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;32.81;32.56;32.15;31.53;31.03;33.15;34.30;35.77;130.0;1.12
GARAN;52.06;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%48;52.36;51.90;50.88;49.72;48.78;52.75;54.92;57.67;130.0;1.83
SISE;47.34;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%51;47.35;47.33;47.09;;;47.53;47.88;48.12;120.0;1.28
TCELL;53.51;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%57;53.53;53.50;53.39;52.47;51.73;54.88;56.60;58.78;120.0;1.67
CCOLA;37.22;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%54;37.25;37.17;36.71;36.09;35.48;37.46;38.69;40.11;115.0;0.77
ENKAI;31.69;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%54;31.72;31.64;31.51;31.13;30.76;31.96;32.71;33.56;115.0;0.64
OTKAR;433.97;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%59;434.04;433.84;432.62;412.56;396.35;465.04;502.41;549.95;115.0;0.51
TUPRS;121.91;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%56;121.94;121.89;121.32;119.96;118.60;123.01;125.73;128.86;115.0;1.53
ASELS;48.36;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%47;48.38;48.35;47.76;46.55;45.58;49.72;51.97;54.83;105.0;2.25
EKGYO;7.16;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%50;7.16;7.15;7.06;;;7.16;7.24;7.29;105.0;0.58
EREGL;19.87;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%47;19.87;19.86;19.86;19.70;19.48;20.02;20.22;20.53;105.0;0.52
FENER;3.89;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%52;3.89;3.88;3.85;3.78;;3.91;3.95;3.99;105.0;0.53
ISCTR;8.47;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%60;8.48;8.47;8.46;8.40;8.33;8.51;8.57;8.67;105.0;1.05
KUYAS;19.54;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%50;19.55;19.53;18.89;18.10;17.46;20.16;21.63;23.50;105.0;1.67
PETKM;21.70;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%54;21.72;21.68;21.59;21.32;20.93;21.86;22.20;22.74;105.0;1.0
SKBNK;5.57;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%58;5.58;5.56;5.13;4.50;3.99;6.14;7.30;8.79;105.0;0.55
TKFEN;44.39;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;44.54;44.18;43.57;;;44.65;45.50;46.09;105.0;0.71
TSKB;7.23;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%60;7.24;7.21;7.11;;;7.24;7.34;7.41;105.0;0.5
AEFES;10.94;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%49;10.95;10.93;10.90;10.64;;11.11;11.25;11.39;95.0;0.73
BIMAS;292.96;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%48;293.63;292.07;291.16;286.44;279.71;295.88;301.73;311.18;95.0;0.76
ECILC;44.50;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%52;44.57;44.37;44.36;;;45.25;45.95;46.44;95.0;0.59
RALYH;15.07;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%38;15.19;14.75;15.03;14.38;;15.55;15.91;16.27;95.0;0.38
ANSGR;15.36;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%58;15.40;15.31;13.55;11.70;10.20;16.55;20.00;24.39;85.0;0.7
CANTE;2.51;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%45;2.51;2.51;2.51;2.48;2.45;2.53;2.54;2.57;85.0;0.0
