Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
CCOLA;42.15;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;42.27;42.02;40.93;39.51;38.36;43.23;45.88;49.25;670.0;0.91
ASELS;47.38;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%45;47.51;47.32;46.89;45.85;44.81;48.17;50.25;52.65;660.0;2.06
ISCTR;9.47;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%59;9.52;9.41;9.47;9.23;9.04;9.85;10.29;10.85;660.0;0.73
QUAGR;5.89;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%23;5.95;5.88;5.87;;;5.95;6.02;6.06;630.0;6.0
ENKAI;32.85;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%52;32.95;32.67;32.80;32.24;31.79;33.70;34.75;36.07;155.0;0.55
EREGL;20.45;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%40;20.53;20.34;20.26;20.04;19.82;20.54;20.98;21.49;145.0;0.67
HEKTS;8.60;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%44;8.63;8.56;8.44;8.29;8.15;8.61;8.90;9.23;145.0;0.8
KCHOL;133.04;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%47;133.23;132.75;132.30;;;133.32;134.13;134.69;145.0;0.68
SAHOL;61.80;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%47;62.09;61.45;59.94;58.32;57.02;62.55;65.56;69.39;145.0;0.82
KUYAS;22.36;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;22.42;22.33;21.09;19.88;18.91;23.05;25.30;28.17;140.0;1.77
YKBNK;20.41;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%58;20.52;20.33;20.30;19.75;19.30;21.20;22.23;23.54;140.0;1.27
AKBNK;36.93;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;37.14;36.75;35.43;34.18;33.17;37.44;39.76;42.71;130.0;1.12
GARAN;57.27;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%48;57.61;57.09;55.81;53.71;52.01;59.21;63.13;68.11;130.0;1.84
BSOKE;3.39;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%65;3.40;3.37;2.99;2.61;2.24;3.45;4.21;5.07;120.0;0.75
GRTHO;42.93;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%42;44.64;36.41;41.42;38.96;;43.36;44.72;46.09;115.0;0.26
KTLEV;4.91;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%52;4.91;4.90;4.76;4.51;4.31;5.16;5.62;6.21;115.0;0.96
AEFES;11.40;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%52;11.42;11.38;11.31;11.15;10.93;11.47;11.66;11.98;105.0;0.79
BIMAS;304.94;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%46;305.03;304.83;303.56;297.37;292.36;313.58;325.12;339.80;105.0;0.74
BRYAT;2456.10;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;2461.17;2451.03;2439.97;2271.65;;2572.10;2664.91;2757.72;105.0;1.0
EGEEN;12850.00;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%54;12855.28;12846.44;11852.16;10424.48;9270.60;14159.92;16819.71;20203.12;105.0;1.48
MAVI;26.16;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%51;26.17;26.14;25.96;25.53;25.10;26.50;27.36;28.36;105.0;0.68
TSKB;7.18;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%55;7.54;7.05;7.05;6.96;6.86;7.18;7.35;;105.0;2.76
TTRAK;609.32;SAT;DÜŞÜŞ;COŞKULU RALLİ;%52;609.78;554.54;554.54;490.88;409.90;609.78;643.95;671.57;105.0;0.01
ALARK;87.67;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%50;92.96;84.29;84.29;74.30;61.59;92.96;98.32;102.65;95.0;1.57
DOAS;180.03;SAT;DÜŞÜŞ;COŞKULU RALLİ;%38;180.66;177.07;177.07;171.27;164.58;180.66;183.57;186.47;95.0;0.21
KRDMD;23.30;SAT;DÜŞÜŞ;COŞKULU RALLİ;%47;23.77;22.81;22.81;21.26;19.48;23.77;24.54;25.31;95.0;0.96
TTKOM;23.94;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%49;24.16;23.78;23.85;23.05;21.90;24.65;25.65;27.26;95.0;1.37
AKSA;6.14;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%43;6.23;6.09;6.09;5.86;5.61;6.23;6.34;6.45;85.0;2.06
BRSAN;601.50;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%53;660.80;600.50;600.50;531.00;442.60;660.80;698.10;728.25;85.0;59.3
ISMEN;25.67;SAT;DÜŞÜŞ;COŞKULU RALLİ;%47;26.25;24.38;24.38;22.23;19.49;26.25;27.40;28.34;85.0;0.45
KLRHO;38.28;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;38.71;37.91;37.59;36.00;;38.83;39.71;40.59;85.0;1.16
OTKAR;416.71;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%58;421.25;411.48;411.48;404.83;397.48;421.25;424.06;426.33;85.0;0.87
SOKM;52.74;SAT;DÜŞÜŞ;COŞKULU RALLİ;%50;53.60;52.12;52.12;49.73;46.97;53.60;54.79;55.99;85.0;1.39
THYAO;240.02;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%39;240.12;239.88;236.25;228.97;219.70;241.36;246.48;252.80;85.0;0.71
TKFEN;39.55;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%52;40.59;39.31;39.31;37.84;35.97;40.59;41.38;42.02;85.0;4.26
TOASO;191.18;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%44;201.46;187.29;187.29;170.96;150.19;201.46;210.22;217.31;85.0;2.64
VAKBN;14.35;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%53;14.56;14.28;14.28;13.99;13.63;14.56;14.98;15.50;85.0;3.0
RALYH;14.85;SAT;DÜŞÜŞ;DÜZELTME;%43;15.00;14.63;14.63;14.34;14.14;15.00;;;80.0;0.67
SISE;45.83;SAT;DÜŞÜŞ;DÜZELTME;%50;46.09;45.70;45.70;45.23;44.46;46.09;46.48;47.03;80.0;2.02
AKSEN;29.79;SAT;DÜŞÜŞ;COŞKULU RALLİ;%31;31.65;29.56;29.56;27.15;24.09;31.65;32.94;33.98;75.0;8.0
ECILC;40.12;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%49;40.77;39.98;39.98;38.70;37.23;40.77;41.41;42.05;75.0;4.82
ENJSA;41.31;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%48;42.18;40.36;40.36;38.27;35.61;42.18;43.30;44.21;75.0;0.91
TAVHL;111.00;SAT;DÜŞÜŞ;COŞKULU RALLİ;%42;112.40;109.40;109.40;105.95;101.55;112.40;114.25;115.75;75.0;0.88
