Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
BSOKE;18.35;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%67;18.37;18.34;15.71;13.89;12.42;18.65;22.04;26.36;670.0;1.59
GRSEL;148.93;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;150.11;147.24;147.63;144.80;142.51;152.21;157.49;164.21;650.0;0.7
DAPGM;5.42;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%50;5.49;5.34;5.36;5.10;;5.56;5.70;5.84;635.0;0.88
BRSAN;490.00;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%100;493.83;486.28;485.11;476.50;467.89;495.77;513.00;532.86;170.0;1.03
TUREX;9.50;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;9.62;9.17;8.78;8.34;7.99;10.32;11.37;12.53;155.0;0.36
VAKBN;21.18;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%63;21.28;21.05;21.10;20.99;20.83;21.21;21.35;21.58;155.0;0.77
AKBNK;59.28;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;59.31;59.25;58.92;58.45;;59.29;59.55;59.81;145.0;1.17
BRYAT;2049.15;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%0;2060.01;2038.28;2039.46;;;2100.21;2147.90;2181.40;145.0;1.0
HEKTS;4.40;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%14;4.41;4.38;4.38;4.35;4.32;4.41;4.44;4.49;145.0;0.5
TSKB;12.13;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;12.14;12.12;12.10;12.00;11.92;12.26;12.44;12.68;145.0;1.0
YKBNK;31.94;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%53;31.97;31.92;31.71;31.27;30.65;32.15;32.69;33.56;145.0;1.5
EKGYO;12.37;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%51;12.43;12.30;12.11;11.86;11.66;12.52;12.99;13.59;140.0;0.99
ENKAI;49.24;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%52;49.29;49.14;45.64;43.38;41.56;49.29;53.49;58.83;140.0;0.54
GENIL;94.35;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%54;96.57;90.62;85.72;80.39;76.08;104.29;116.93;130.89;140.0;0.6
KUYAS;15.65;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;15.78;15.59;15.12;14.70;14.35;15.81;16.61;17.62;140.0;2.17
RALYH;64.70;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%64;64.82;64.40;53.87;46.46;40.47;65.84;79.64;97.19;140.0;0.39
TAVHL;261.75;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;262.32;261.44;260.96;259.39;258.13;263.50;266.42;270.14;140.0;1.84
ENERY;3.41;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%53;3.43;3.34;3.30;3.22;3.16;3.42;3.56;3.75;135.0;0.35
BTCIM;7.77;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%58;7.78;7.76;7.00;6.51;6.11;7.80;8.72;9.89;125.0;0.41
PASEU;21.60;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%53;21.67;21.58;20.52;19.53;18.73;22.13;23.97;26.33;125.0;3.5
