Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
AEFES;13.19;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;13.26;13.08;12.61;12.23;11.93;13.22;13.92;14.81;155.0;0.69
CCOLA;44.16;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;44.30;43.99;42.48;40.76;39.37;45.26;48.46;52.53;140.0;0.87
TTKOM;25.08;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;25.35;24.88;24.65;23.85;23.05;25.65;27.26;29.12;140.0;1.35
ENKAI;32.43;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%52;32.50;32.32;32.14;31.61;30.84;32.68;33.34;34.41;125.0;0.59
KTLEV;6.11;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%55;6.37;5.58;5.54;5.14;4.82;6.18;6.92;7.86;125.0;0.5
AKBNK;36.71;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%47;36.79;36.64;35.99;34.63;33.54;38.17;40.69;43.89;115.0;1.18
EREGL;20.55;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%40;20.61;20.46;20.47;20.21;19.95;20.79;21.31;21.92;115.0;0.64
GARAN;55.61;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%47;55.76;55.53;53.71;52.01;50.31;55.81;59.21;63.13;115.0;1.76
BIMAS;299.74;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%46;299.83;299.62;297.37;292.36;287.35;303.56;313.58;325.12;105.0;0.76
EGEEN;10970.24;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;11026.42;10932.31;10424.48;9270.60;8116.72;11852.16;14159.92;16819.71;105.0;1.48
ISCTR;9.14;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%56;9.14;9.13;9.04;8.85;8.58;9.23;9.47;9.85;105.0;0.77
MAVI;24.88;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%50;24.95;24.82;24.49;23.70;;25.10;25.53;25.96;105.0;1.02
MPARK;160.32;SAT;DÜŞÜŞ;COŞKULU RALLİ;%57;165.33;159.85;159.85;155.55;152.53;165.33;;;105.0;10.66
SAHOL;59.33;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%47;59.34;59.31;58.32;57.02;55.71;59.94;62.55;65.56;105.0;0.69
TCELL;51.32;SAT;DÜŞÜŞ;COŞKULU RALLİ;%55;51.56;50.97;50.97;50.39;49.66;51.56;52.40;53.47;105.0;0.67
YKBNK;19.61;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%55;19.62;19.60;19.30;18.85;18.22;19.75;20.30;21.20;105.0;1.33
ARCLK;125.70;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%47;130.76;122.10;122.10;112.12;99.42;130.76;136.12;140.45;95.0;1.41
ASELS;45.47;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%45;45.56;45.42;44.81;43.33;41.44;45.85;46.89;48.17;95.0;1.94
KCHOL;129.26;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%47;129.29;129.23;;;;130.94;132.25;133.17;95.0;0.79
OYAKC;13.77;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%45;14.15;13.00;13.00;11.68;9.99;14.15;14.87;15.44;95.0;0.49
TUPRS;115.15;SAT;DÜŞÜŞ;VOLATİLİTE;%52;116.03;114.12;114.12;111.91;109.10;116.03;117.21;118.17;90.0;0.85
AKSA;6.18;SAT;DÜŞÜŞ;VOLATİLİTE;%40;6.23;6.09;6.09;5.86;5.61;6.23;6.34;6.45;80.0;0.48
GRTHO;42.49;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%38;42.80;41.30;41.42;38.96;;43.36;44.72;46.09;75.0;0.26
AGHOL;19.22;SAT;DÜŞÜŞ;VOLATİLİTE;%45;19.55;19.20;19.20;18.85;18.43;19.55;20.04;20.66;70.0;13.23
ANSGR;13.75;SAT;DÜŞÜŞ;DÜZELTME;%51;13.77;13.58;13.58;13.39;13.16;13.77;14.03;14.37;70.0;0.14
BRYAT;2218.13;SAT;DÜŞÜŞ;VOLATİLİTE;%50;2238.85;2193.29;2193.29;2140.78;2073.98;2238.85;2267.03;2289.81;70.0;0.83
EKGYO;6.89;SAT;DÜŞÜŞ;VOLATİLİTE;%44;6.93;6.81;6.81;6.66;6.47;6.93;7.01;7.08;70.0;0.44
FENER;3.18;SAT;DÜŞÜŞ;DÜZELTME;%50;3.22;3.01;3.01;2.78;2.48;3.22;3.34;3.45;70.0;0.21
KONTR;31.87;SAT;DÜŞÜŞ;DÜZELTME;%44;35.42;31.36;31.36;26.68;20.73;35.42;37.93;39.96;70.0;6.96
KUYAS;15.18;SAT;DÜŞÜŞ;VOLATİLİTE;%51;15.38;15.11;15.11;14.81;14.42;15.38;15.54;15.67;70.0;3.15
MGROS;324.89;SAT;DÜŞÜŞ;VOLATİLİTE;%54;326.93;321.29;321.29;312.19;301.70;326.93;331.48;336.03;70.0;0.57
SKBNK;4.94;SAT;DÜŞÜŞ;VOLATİLİTE;%56;5.06;4.91;4.91;4.75;4.55;5.06;5.14;5.21;70.0;4.36
TAVHL;108.70;SAT;DÜŞÜŞ;VOLATİLİTE;%41;111.86;105.06;105.06;100.42;95.30;111.86;113.82;115.40;70.0;0.87
TSKB;7.11;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%54;7.18;7.05;7.05;6.96;6.86;7.18;7.35;;70.0;1.17
TURSG;4.08;SAT;DÜŞÜŞ;VOLATİLİTE;%52;4.14;4.07;4.07;4.01;3.96;4.14;4.24;;70.0;4.15
AKSEN;29.19;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%35;30.79;28.43;28.43;25.72;22.27;30.79;32.24;33.42;60.0;2.11
CIMSA;27.36;SAT;DÜŞÜŞ;VOLATİLİTE;%43;28.68;27.11;27.11;25.30;23.00;28.68;29.65;30.44;60.0;5.26
DOAS;177.54;SAT;DÜŞÜŞ;VOLATİLİTE;%37;179.54;175.69;175.69;169.46;162.27;179.54;182.66;185.77;60.0;1.08
ENJSA;41.09;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%50;41.95;40.07;40.07;37.90;35.14;41.95;43.12;44.06;60.0;0.84
GUBRF;212.90;SAT;DÜŞÜŞ;VOLATİLİTE;%42;247.62;172.89;172.89;121.99;65.80;247.62;269.09;286.45;60.0;0.87
ISMEN;26.20;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%43;26.25;24.38;24.38;22.23;19.49;26.25;27.40;28.34;60.0;0.03
KRDMD;23.30;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%49;23.77;22.81;22.81;21.26;19.48;23.77;24.54;25.31;60.0;0.96
ODAS;8.13;SAT;DÜŞÜŞ;VOLATİLİTE;%40;9.28;8.05;8.05;6.63;4.82;9.28;10.04;10.66;60.0;14.37
PGSUS;136.37;SAT;DÜŞÜŞ;VOLATİLİTE;%45;137.10;133.09;133.09;128.47;122.60;137.10;139.58;141.58;60.0;0.22
RALYH;13.82;SAT;DÜŞÜŞ;VOLATİLİTE;%43;13.97;13.70;13.70;13.27;12.78;13.97;14.18;14.39;60.0;1.24
SISE;44.88;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%50;45.23;44.46;44.46;43.57;42.43;45.23;45.70;46.09;60.0;0.83
TOASO;183.83;SAT;DÜŞÜŞ;VOLATİLİTE;%46;198.55;183.48;183.48;166.12;144.03;198.55;207.87;215.40;60.0;42.25
YEOTK;43.27;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%46;48.69;37.02;37.02;29.06;20.28;48.69;52.05;54.76;55.0;0.87
ALARK;84.87;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%47;92.26;83.37;83.37;73.13;60.10;92.26;97.75;102.20;50.0;4.94
ASTOR;88.07;SAT;DÜŞÜŞ;VOLATİLİTE;%50;98.04;87.39;87.39;75.10;59.48;98.04;104.63;109.96;50.0;14.73
BRSAN;531.00;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%53;593.18;512.00;512.00;418.43;299.41;593.18;643.41;684.00;50.0;3.27
DOHOL;10.81;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%46;11.24;10.54;10.54;9.73;8.69;11.24;11.68;12.03;50.0;1.57
GRSEL;56.91;SAT;DÜŞÜŞ;VOLATİLİTE;%60;59.48;53.95;53.95;50.18;46.02;59.48;61.07;62.35;50.0;0.87
GSRAY;1.62;SAT;DÜŞÜŞ;VOLATİLİTE;%47;1.71;1.62;1.62;1.52;1.40;1.71;1.76;1.80;50.0;17.3
KLRHO;35.70;SAT;DÜŞÜŞ;VOLATİLİTE;%53;35.77;35.43;35.43;35.09;34.66;35.77;36.26;36.88;50.0;0.26
MIATK;31.16;SAT;DÜŞÜŞ;VOLATİLİTE;%51;35.00;26.74;26.74;21.11;14.90;35.00;37.37;39.29;50.0;0.87
OTKAR;409.31;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%56;410.89;403.15;403.15;394.23;382.88;410.89;415.68;419.55;50.0;0.26
SOKM;50.83;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%50;52.08;49.68;49.68;46.91;43.38;52.08;53.57;54.77;50.0;1.1
TKFEN;36.49;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%52;37.99;35.91;35.91;33.51;30.46;37.99;39.28;40.32;50.0;2.6
TRALT;20.20;SAT;DÜŞÜŞ;VOLATİLİTE;%44;20.67;19.99;19.99;19.20;18.20;20.67;21.09;21.44;50.0;2.24
TTRAK;574.08;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%50;609.78;554.54;554.54;490.88;409.90;609.78;643.95;671.57;50.0;1.83
BTCIM;3.77;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%59;3.87;3.66;3.66;3.42;3.11;3.87;4.00;4.10;40.0;0.89
DAPGM;4.21;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%56;5.18;3.78;3.78;2.17;0.12;5.18;6.05;6.75;40.0;2.23
FROTO;65.52;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%33;67.28;63.49;63.49;60.91;58.06;67.28;68.37;69.25;40.0;0.87
GENIL;46.75;SAT;DÜŞÜŞ;DÜZELTME;%36;50.65;45.91;45.91;40.44;33.49;50.65;53.59;55.96;40.0;4.61
GESAN;64.55;SAT;DÜŞÜŞ;VOLATİLİTE;%44;71.98;64.30;64.30;55.45;44.18;71.98;76.73;80.58;40.0;29.72
HEKTS;7.51;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%38;7.55;7.47;7.47;7.38;7.27;7.55;7.60;7.64;40.0;0.85
