Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
ALARK;122.19;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%62;122.36;121.98;113.98;103.50;95.02;130.92;150.45;175.29;670.0;0.83
CIMSA;26.47;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%61;26.52;26.38;23.72;21.49;19.69;27.31;31.46;36.73;670.0;0.6
EREGL;21.81;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;21.89;21.70;20.80;19.92;19.20;22.23;23.89;25.98;670.0;0.67
RALYH;17.36;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;17.42;17.20;15.14;13.40;12.00;17.94;21.18;25.29;670.0;0.39
TTRAK;737.72;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%61;738.14;736.85;627.78;553.25;493.02;748.25;887.10;1063.72;670.0;0.48
EKGYO;8.67;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;8.68;8.65;8.57;8.28;8.05;9.04;9.57;10.26;660.0;0.94
TSPOR;3.28;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;3.29;3.26;3.19;2.97;2.74;3.47;3.91;4.43;660.0;0.91
TTKOM;23.84;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;24.10;23.65;23.27;22.87;22.55;23.92;24.67;25.61;660.0;1.37
BSOKE;1.10;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;1.11;1.09;1.09;1.08;1.07;1.11;1.14;1.17;650.0;0.46
GUBRF;317.80;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;317.91;317.62;307.85;290.43;276.35;336.00;368.45;409.73;650.0;0.61
TSKB;6.89;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%57;7.30;6.54;6.54;6.08;5.70;7.30;8.17;9.28;645.0;1.17
TRENJ;45.88;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;45.92;45.84;42.21;39.24;36.26;45.90;51.85;58.71;640.0;1.0
BIMAS;240.70;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%59;241.47;239.67;238.82;221.64;207.76;266.59;298.59;339.30;635.0;0.76
MIATK;17.92;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%59;17.96;17.89;16.84;15.12;13.73;19.62;22.82;26.89;630.0;1.12
SAHOL;54.75;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%48;54.90;54.58;53.77;50.60;48.03;58.91;64.82;72.35;625.0;0.85
THYAO;249.01;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%51;249.17;248.78;230.32;209.75;193.13;263.56;301.88;350.62;625.0;0.71
ARCLK;155.31;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%53;155.45;155.16;147.42;138.47;131.23;161.90;178.58;199.81;155.0;0.88
DOAS;220.39;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%52;220.74;220.17;188.71;169.11;153.27;256.91;303.36;354.64;155.0;1.56
DOHOL;14.21;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%56;14.26;14.14;13.44;12.48;11.71;14.99;16.78;19.05;155.0;0.8
ECILC;46.95;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%59;47.08;46.74;42.85;39.95;37.61;47.53;52.92;59.78;155.0;0.62
EGEEN;7117.46;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%55;7196.42;7064.15;6688.08;6247.26;5890.97;7400.66;8221.92;9266.63;155.0;1.48
