Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
KUYAS;16.40;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;16.48;16.36;16.18;15.91;15.69;16.61;17.12;17.76;660.0;2.0
MIATK;54.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;54.53;53.55;46.21;38.89;31.56;55.28;69.93;86.82;650.0;1.18
SAHOL;54.61;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;54.66;54.55;54.17;53.66;53.14;54.80;55.83;57.01;650.0;0.74
REEDR;29.70;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%69;30.19;29.13;25.67;22.72;20.34;30.44;35.94;42.93;625.0;0.86
EKGYO;7.34;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%56;7.46;7.24;7.31;7.26;;7.35;7.37;7.40;155.0;1.17
TUPRS;122.55;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%56;122.68;122.43;121.61;120.19;119.05;123.90;126.54;129.89;140.0;1.16
BSOKE;3.14;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%69;3.19;3.10;2.74;2.42;2.15;3.28;3.89;4.67;135.0;1.08
DAPGM;13.11;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%62;13.24;12.96;10.95;9.51;8.34;13.27;15.96;19.37;135.0;0.86
THYAO;238.65;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%41;239.14;237.97;234.18;231.41;229.18;243.81;250.36;257.60;135.0;0.71
ENKAI;30.05;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%51;30.10;29.98;29.91;29.56;;30.19;30.38;30.57;125.0;0.62
GRTHO;39.85;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%55;42.27;30.60;39.65;38.63;37.18;40.66;41.92;43.95;125.0;0.26
KTLEV;4.44;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%60;4.49;4.33;4.21;4.07;3.95;4.45;4.72;5.06;125.0;0.51
PETKM;21.84;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%55;21.87;21.81;21.66;21.43;21.24;22.04;22.48;23.03;125.0;1.0
GRSEL;74.16;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%63;76.70;70.52;62.79;53.82;46.58;77.28;93.98;115.23;120.0;0.7
KCAER;10.21;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%54;10.39;9.98;10.15;10.05;;10.24;10.30;10.36;120.0;0.79
BTCIM;4.66;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%60;5.10;4.66;4.15;3.57;3.09;5.10;6.19;7.57;115.0;340.09
EGEEN;9541.91;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%53;9548.15;9537.70;9288.97;8351.12;7593.12;10804.96;12552.20;14774.79;115.0;1.48
RALYH;15.66;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%36;15.70;15.57;15.54;15.32;15.14;15.90;16.32;16.84;115.0;0.37
SKBNK;5.60;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%59;5.61;5.60;5.08;4.47;3.97;6.08;7.23;8.70;115.0;1.37
AEFES;10.83;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;10.86;10.80;10.70;;;10.95;11.14;11.28;105.0;0.78
BIMAS;289.12;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%52;289.24;288.97;288.62;285.29;281.95;292.75;299.43;307.13;105.0;0.78
CCOLA;37.59;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%58;37.61;37.56;37.46;36.71;36.09;38.69;40.11;41.91;105.0;0.68
GUBRF;361.50;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%46;361.69;361.19;359.75;356.86;352.74;362.64;366.22;372.00;105.0;0.61
MPARK;180.80;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%61;180.85;180.67;164.39;146.77;132.52;192.88;225.72;267.50;105.0;0.43
OTKAR;416.71;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%63;417.26;415.70;412.56;396.35;380.13;432.62;465.04;502.41;105.0;0.54
TCELL;50.22;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%57;50.23;50.21;49.95;49.34;48.57;50.38;50.80;51.33;105.0;1.42
DOAS;193.89;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%48;194.35;193.58;190.75;;;197.11;202.11;205.62;95.0;1.51
KCHOL;132.39;SAT;DÜŞÜŞ;COŞKULU RALLİ;%50;133.59;131.43;131.43;129.91;128.39;133.59;136.35;;95.0;1.25
SASA;5.53;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%51;5.64;5.12;5.12;4.51;3.75;5.64;5.96;6.22;95.0;0.28
TAVHL;118.40;SAT;DÜŞÜŞ;COŞKULU RALLİ;%52;118.92;115.66;115.66;110.40;104.33;118.92;121.55;124.18;95.0;0.19
TTKOM;21.86;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%47;21.95;21.79;21.71;21.41;20.98;22.01;22.38;22.98;95.0;1.29
FENER;3.93;SAT;DÜŞÜŞ;VOLATİLİTE;%54;3.97;3.88;3.88;3.81;3.76;3.97;;;90.0;0.64
