Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
DOAS;209.41;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;209.71;209.22;206.91;203.21;198.51;209.51;212.10;215.31;670.0;1.54
SKBNK;5.72;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;5.74;5.70;5.01;4.41;3.92;5.99;7.11;8.55;670.0;0.83
GUBRF;364.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;364.20;363.68;361.25;358.62;356.50;365.50;370.40;376.62;660.0;0.62
SAHOL;53.26;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;53.33;53.17;53.12;;;53.59;53.96;54.22;650.0;0.79
GRSEL;67.84;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%64;68.60;66.76;62.79;53.82;46.58;77.28;93.98;115.23;630.0;0.7
MPARK;183.95;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%62;185.31;180.77;159.73;143.00;129.47;186.79;217.97;257.63;155.0;0.43
TCELL;50.31;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%59;50.61;50.04;50.04;49.69;49.20;50.38;50.81;51.50;155.0;1.11
BTCIM;4.71;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%60;4.73;4.67;3.91;3.37;2.94;4.78;5.78;7.06;145.0;0.65
RALYH;15.31;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%38;15.41;15.03;15.24;15.07;14.94;15.50;15.81;16.20;145.0;0.38
TTKOM;22.16;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;22.58;21.85;22.08;21.83;21.52;22.25;22.42;22.64;145.0;1.35
ULKER;77.32;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%54;77.61;76.99;76.68;;;77.64;78.39;78.92;145.0;0.85
AEFES;11.59;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;11.61;11.55;11.45;11.32;11.20;11.61;11.86;12.16;140.0;0.55
