Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
MAGEN;42.14;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%62;42.23;42.03;38.16;35.13;32.68;43.06;48.71;55.89;670.0;0.82
ANSGR;24.84;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%38;24.86;24.80;24.61;24.39;24.22;24.96;25.36;25.87;660.0;0.5
BRYAT;2340.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%34;2341.21;2338.72;2334.16;2306.42;2284.00;2379.00;2430.68;2496.42;660.0;0.95
GESAN;51.05;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%35;51.50;50.62;50.26;49.18;48.31;52.00;54.01;56.56;660.0;1.05
TUKAS;2.75;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;2.76;2.72;2.72;2.68;2.64;2.76;2.83;2.91;660.0;0.33
GRSEL;329.50;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%36;329.90;328.93;329.16;324.58;318.75;332.38;335.59;339.57;650.0;0.7
ULKER;122.20;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%42;122.24;122.15;121.37;119.87;118.65;123.80;126.60;130.17;650.0;0.8
TUPRS;208.40;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%57;208.42;208.38;205.63;203.54;201.85;209.00;212.89;217.84;645.0;1.0
EGEEN;7805.00;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%37;7820.72;7794.40;7791.25;7682.40;7527.42;7900.11;8034.79;8252.50;625.0;1.48
ASELS;289.75;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;290.09;289.59;270.48;255.46;243.33;294.75;322.73;358.31;155.0;2.12
ASTOR;141.10;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;144.11;138.73;131.56;124.92;119.55;142.30;154.68;170.42;155.0;1.27
