Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
TCELL;89.27;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;89.40;89.15;83.09;78.86;75.45;89.92;97.79;107.81;670.0;1.14
ULKER;127.99;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%51;128.17;127.79;127.72;122.16;117.68;136.69;147.04;160.20;670.0;0.86
ENJSA;58.83;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;59.43;58.28;57.98;55.14;;60.21;61.78;63.34;650.0;1.08
DAPGM;5.30;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%50;5.31;5.29;5.28;5.24;5.18;5.32;5.35;5.39;625.0;0.94
ENERY;2.81;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%52;2.83;2.77;2.80;2.71;2.62;2.91;3.08;3.29;605.0;0.41
ALTNY;18.81;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%88;20.80;17.79;16.71;15.10;13.80;19.32;22.32;26.14;140.0;1.95
GARAN;98.94;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%59;99.20;98.80;91.67;85.50;80.52;101.64;113.13;127.75;140.0;1.82
TRMET;50.40;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;50.56;50.28;50.11;49.24;;50.79;51.27;51.75;135.0;1.33
AEFES;19.36;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%58;19.36;19.35;19.28;18.33;17.55;20.82;22.60;24.87;130.0;0.49
TAVHL;242.00;AL (TAKİP);YÜKSELİŞ;VOLATİLİTE;%64;242.25;241.86;216.38;196.76;180.90;248.10;284.66;331.16;130.0;1.79
AKBNK;64.27;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%52;64.33;64.21;61.74;57.13;53.40;69.21;77.81;88.74;125.0;1.13
ALARK;119.17;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%52;119.28;119.04;118.98;118.59;118.20;119.46;120.24;121.14;125.0;0.84
ISCTR;15.65;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%57;15.67;15.62;14.86;13.99;13.29;16.27;17.89;19.95;125.0;0.74
MGROS;461.12;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%52;461.56;460.66;456.91;449.05;437.86;464.76;474.49;490.21;125.0;0.97
SKBNK;4.06;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%58;4.06;4.05;4.03;3.91;3.74;4.15;4.30;4.54;125.0;0.89
TOASO;295.50;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%60;295.82;295.21;274.96;259.51;247.03;299.94;328.72;365.33;125.0;1.08
TSKB;10.86;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%52;10.87;10.84;10.74;10.24;9.83;11.55;12.49;13.68;125.0;0.5
TUREX;7.01;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%60;7.04;6.96;6.31;5.67;5.15;7.35;8.55;10.07;125.0;0.45
VAKBN;21.94;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%58;21.97;21.90;21.48;20.03;18.85;23.84;26.55;30.01;125.0;0.75
ISMEN;34.80;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%43;34.82;34.79;34.22;33.15;32.09;35.54;37.67;40.12;120.0;2.21
SOKM;57.42;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%59;57.77;57.22;57.04;;;58.95;60.46;61.51;120.0;1.7
AKSA;9.63;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%51;9.64;9.63;9.61;9.26;8.98;10.17;10.82;11.65;115.0;1.48
AKSEN;44.44;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%54;44.45;44.41;42.93;41.40;39.87;44.83;47.90;51.43;115.0;0.56
BIMAS;459.78;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%52;460.14;459.30;455.37;438.86;425.52;482.05;512.81;551.93;115.0;0.76
ENKAI;38.80;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%57;38.83;38.74;37.92;37.14;36.36;38.88;40.44;42.23;115.0;0.51
EREGL;24.24;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;24.26;24.21;23.98;23.45;23.02;24.84;25.83;27.09;115.0;0.62
FENER;3.71;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%47;3.71;3.70;3.64;3.50;3.35;3.81;4.10;4.42;115.0;0.69
KCHOL;237.90;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%57;237.97;237.80;234.11;218.91;206.62;258.68;287.00;323.02;115.0;0.74
KRDMD;28.78;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;28.79;28.77;28.39;27.69;26.99;29.25;30.64;32.24;115.0;1.0
MAVI;46.07;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%56;46.11;46.03;42.82;39.16;36.21;48.72;55.52;64.18;115.0;1.2
OTKAR;607.00;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%60;607.09;606.84;600.07;577.22;558.75;637.00;679.57;733.72;115.0;0.56
PETKM;20.74;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%54;20.75;20.73;20.58;;;20.89;21.14;21.31;115.0;1.0
SISE;51.48;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;51.49;51.47;50.76;49.86;48.58;51.66;52.78;54.58;115.0;0.92
TKFEN;53.55;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%56;53.56;53.53;52.22;50.67;49.12;54.13;57.23;60.80;115.0;0.73
AGHOL;32.09;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%61;32.14;32.05;31.32;29.89;27.84;32.76;34.54;37.41;105.0;1.01
ANSGR;26.39;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%61;26.40;26.38;25.06;23.53;22.29;27.54;30.40;34.03;105.0;0.79
ARCLK;181.80;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%58;181.88;181.70;181.55;177.05;172.55;187.11;196.10;206.46;105.0;0.8
BSOKE;6.66;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%60;6.67;6.65;6.63;6.54;6.46;6.73;6.90;7.09;105.0;1.22
CCOLA;66.50;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%57;66.54;66.45;64.19;62.16;60.12;66.71;70.77;75.46;105.0;0.82
DOAS;258.37;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%53;258.42;258.33;257.84;255.82;252.95;259.86;262.35;266.39;105.0;1.33
DOHOL;14.46;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%50;14.47;14.45;14.22;13.84;13.30;14.60;15.07;15.84;105.0;0.73
ECILC;49.65;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;49.73;49.53;48.47;;;50.39;51.89;52.95;105.0;0.68
GRSEL;130.92;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%51;131.63;129.89;126.94;117.22;109.37;142.64;160.75;183.77;105.0;0.7
HALKB;17.68;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%52;17.69;17.67;17.13;16.39;15.34;17.86;18.77;20.24;105.0;1.0
MPARK;303.05;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%59;303.59;301.79;299.87;272.81;250.94;343.62;394.04;458.18;105.0;0.43
OYAKC;15.33;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%50;15.34;15.31;15.26;14.95;14.56;15.48;15.70;15.97;105.0;0.74
RALYH;36.12;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%63;36.15;36.02;34.21;30.56;27.61;40.11;46.91;55.56;105.0;0.35
SAHOL;95.85;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%53;95.88;95.82;93.04;88.89;84.75;98.17;106.46;116.02;105.0;0.87
TTRAK;895.23;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%56;895.28;895.13;890.18;833.75;788.14;981.40;1086.53;1220.27;105.0;0.46
YKBNK;34.22;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%54;34.23;34.21;32.91;30.89;28.86;35.41;39.46;44.12;105.0;1.0
GUBRF;155.50;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%28;155.93;154.80;155.40;;;159.68;163.04;165.40;95.0;0.61
PGSUS;206.30;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%58;206.55;206.10;201.81;194.65;187.48;210.67;225.00;241.51;95.0;1.25
SASA;5.74;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%41;5.74;5.73;5.65;5.45;5.18;5.84;6.09;6.48;95.0;0.33
TSPOR;3.30;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%46;3.32;3.28;3.21;3.07;2.92;3.40;3.69;4.04;95.0;1.38
TTKOM;45.52;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%60;45.59;45.47;43.13;40.95;39.19;46.66;50.72;55.89;95.0;1.4
EKGYO;8.88;SAT;DÜŞÜŞ;DÜZELTME;%51;8.94;8.81;8.81;8.65;8.38;8.94;9.07;9.26;90.0;0.87
CIMSA;31.37;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%48;31.43;31.27;31.15;30.22;;31.88;32.40;32.91;85.0;0.62
GENIL;59.92;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;60.21;59.43;59.41;57.81;;60.68;61.56;62.45;85.0;0.6
MAGEN;9.56;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%50;9.61;9.49;9.04;8.44;7.85;9.77;10.96;12.33;85.0;0.71
ASELS;59.93;SAT;DÜŞÜŞ;VOLATİLİTE;%55;60.32;59.66;59.66;59.14;58.78;60.32;;;80.0;1.49
TABGD;167.97;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%46;168.09;167.81;161.64;155.27;148.91;169.51;182.24;196.91;75.0;0.7
TURSG;8.23;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%46;8.23;8.22;7.98;7.54;7.18;8.70;9.52;10.57;75.0;0.31
CANTE;2.25;SAT;DÜŞÜŞ;DÜZELTME;%58;2.28;2.23;2.23;2.17;2.09;2.28;2.32;2.34;70.0;1.33
FROTO;98.47;SAT;DÜŞÜŞ;VOLATİLİTE;%55;98.54;97.56;97.56;96.42;94.97;98.54;99.16;99.65;70.0;0.08
ZOREN;5.72;SAT;DÜŞÜŞ;VOLATİLİTE;%52;5.82;5.70;5.70;5.56;5.39;5.82;5.89;5.95;70.0;5.0
MIATK;50.35;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%52;53.66;48.52;48.52;42.60;35.06;53.66;56.84;59.41;65.0;1.81
BRSAN;501.50;SAT;DÜŞÜŞ;VOLATİLİTE;%44;546.33;495.00;495.00;435.84;360.59;546.33;578.09;603.75;60.0;6.9
BTCIM;4.26;SAT;DÜŞÜŞ;VOLATİLİTE;%38;4.28;4.26;4.26;4.24;4.21;4.28;4.31;4.35;60.0;0.0
EGEEN;12836.23;SAT;DÜŞÜŞ;VOLATİLİTE;%46;13264.24;12699.52;12699.52;12048.66;11220.72;13264.24;13613.60;13895.96;60.0;3.13
KONTR;33.34;SAT;DÜŞÜŞ;DÜZELTME;%45;34.11;33.11;33.11;31.50;29.65;34.11;34.92;35.72;60.0;3.39
KUYAS;12.04;SAT;DÜŞÜŞ;VOLATİLİTE;%44;12.07;11.90;11.90;11.70;11.45;12.07;12.18;12.26;60.0;0.26
QUAGR;3.49;SAT;DÜŞÜŞ;VOLATİLİTE;%48;3.59;3.42;3.42;3.22;2.97;3.59;3.70;3.79;60.0;1.43
TUKAS;2.41;SAT;DÜŞÜŞ;VOLATİLİTE;%46;2.41;2.40;2.40;2.33;2.23;2.46;2.50;2.53;60.0;0.24
VESTL;86.50;SAT;DÜŞÜŞ;VOLATİLİTE;%44;86.77;85.35;85.35;83.72;81.64;86.77;87.64;88.35;60.0;0.23
GRTHO;62.88;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%46;65.15;62.78;62.78;58.93;54.50;65.15;67.07;69.00;55.0;23.02
ODAS;9.01;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%50;9.09;8.97;8.97;8.84;8.67;9.09;9.16;9.22;50.0;2.0
TRALT;21.54;SAT;DÜŞÜŞ;VOLATİLİTE;%48;21.76;21.54;21.54;21.26;20.82;21.76;21.98;22.30;50.0;0.0
TRENJ;39.22;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%50;39.31;39.12;39.12;38.82;38.47;39.31;39.46;39.61;50.0;0.9
BRYAT;2391.16;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%48;2676.81;2370.81;2370.81;2018.13;1569.51;2676.81;2866.12;3019.12;40.0;14.04
HEKTS;5.37;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%27;5.41;5.33;5.33;5.24;5.12;5.41;5.46;5.50;40.0;1.16
KTLEV;4.74;SAT;DÜŞÜŞ;VOLATİLİTE;%52;6.28;4.32;4.32;2.08;;6.28;7.48;8.46;40.0;3.62
THYAO;298.93;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%46;300.05;297.46;297.46;294.47;290.67;300.05;301.66;302.96;40.0;0.77
ASTOR;96.53;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%52;96.57;96.10;96.10;95.55;94.86;96.57;96.86;97.09;30.0;0.08
GSRAY;2.00;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%48;2.10;1.98;1.98;1.96;1.95;2.00;2.04;;30.0;4.63
KCAER;17.17;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%56;17.68;17.16;17.16;16.55;15.78;17.68;18.00;18.27;30.0;40.47
KLRHO;33.12;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%51;36.64;33.02;33.02;28.85;23.54;36.64;38.88;40.69;30.0;35.2
PASEU;14.07;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%46;14.37;13.95;13.95;13.47;12.86;14.37;14.62;14.83;30.0;2.36
TUPRS;154.58;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%45;155.36;154.41;154.41;153.30;151.90;155.36;155.96;156.43;30.0;4.74
CWENE;25.84;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%42;27.24;25.78;25.78;24.10;21.97;27.24;28.14;28.87;20.0;23.34
EUPWR;38.80;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%48;43.63;38.70;38.70;33.02;25.78;43.63;46.68;49.15;20.0;48.3
GESAN;59.70;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%40;62.16;58.70;58.70;54.72;49.65;62.16;64.30;66.03;20.0;2.46
IZENR;5.74;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%50;6.03;5.41;5.41;4.99;4.53;6.03;6.20;6.35;20.0;0.87
PATEK;15.79;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%61;18.52;15.41;15.41;11.83;7.27;18.52;20.44;22.00;20.0;7.19
REEDR;37.22;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%55;41.47;36.60;36.60;30.98;23.84;41.47;44.49;46.93;20.0;6.85
YEOTK;48.32;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%39;50.53;47.59;47.59;44.21;39.91;50.53;52.35;53.81;20.0;3.0
OBAMS;5.64;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%47;6.17;5.59;5.59;4.91;4.06;6.17;6.53;6.82;10.0;10.3
