Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
RALYH;6.92;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;6.97;6.81;6.83;6.68;6.56;7.06;7.34;7.69;660.0;0.4
EREGL;21.77;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%0;21.90;21.58;21.61;21.39;21.22;21.97;22.38;22.90;650.0;0.64
BSOKE;1.41;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;1.43;1.39;1.37;1.26;1.14;1.52;1.76;2.03;640.0;0.96
CIMSA;15.75;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%40;16.27;14.93;14.80;14.22;13.75;16.84;18.23;19.76;145.0;0.63
FROTO;45.75;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;45.84;45.71;43.74;40.60;38.06;48.81;54.66;62.11;140.0;2.15
SISE;43.08;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%21;43.18;43.00;42.73;42.19;41.50;43.10;43.48;43.95;130.0;1.13
TUPRS;63.47;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;63.64;63.33;57.00;52.42;48.73;64.39;72.91;83.75;120.0;1.15
OYAKC;7.37;AL (RİSKLİ);YÜKSELİŞ;COŞKULU RALLİ;%26;7.61;7.00;6.88;6.58;6.33;7.94;8.66;9.46;100.0;0.63
BIMAS;127.04;SAT;DÜŞÜŞ;COŞKULU RALLİ;%22;127.50;123.47;123.47;120.65;117.82;127.50;132.63;;95.0;0.13
ECILC;24.35;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;25.05;24.04;24.04;23.02;21.77;25.05;26.50;28.34;95.0;2.29
TOASO;133.87;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%47;134.35;130.58;130.58;127.93;125.29;134.35;139.15;;85.0;0.14
ASTOR;24.16;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%66;24.46;23.92;23.49;21.53;19.57;25.91;29.83;34.34;75.0;1.21
GENIL;47.26;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%40;48.22;45.64;44.81;41.45;;47.44;49.29;51.15;75.0;0.6
GSRAY;1.07;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%40;1.08;1.05;1.03;;;1.11;1.18;1.22;75.0;0.54
HEKTS;12.10;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;12.45;11.93;11.93;11.56;11.19;12.45;13.12;;75.0;2.06
KRDMD;19.04;SAT;DÜŞÜŞ;COŞKULU RALLİ;%20;19.99;18.03;18.03;17.23;16.67;;;;75.0;0.94
