Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
EKGYO;14.74;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;14.81;14.68;14.54;14.35;14.20;14.85;15.20;15.65;670.0;1.13
MAGEN;10.58;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;10.83;10.24;10.06;9.61;9.25;10.79;11.63;12.70;670.0;0.76
CIMSA;50.96;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;50.98;50.94;47.74;44.97;42.20;51.16;56.69;63.07;650.0;0.65
ENJSA;58.40;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%45;58.45;58.36;58.24;58.08;57.95;58.50;58.80;59.18;650.0;1.08
AKSA;11.39;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%53;11.39;11.33;11.33;11.20;11.09;11.54;11.79;12.10;645.0;0.01
GENIL;115.42;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%51;115.69;114.96;114.59;114.08;113.67;116.37;117.57;118.91;645.0;0.6
FENER;3.91;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;3.92;3.89;3.90;;;3.96;4.01;4.04;155.0;0.88
KUYAS;25.34;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%57;25.39;25.28;23.49;22.32;21.38;25.38;27.56;30.33;155.0;0.83
AEFES;17.32;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;17.36;17.28;17.26;17.19;17.09;17.34;17.43;17.57;140.0;0.82
AGHOL;31.31;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%52;31.35;31.27;31.22;31.11;31.00;31.36;31.58;31.83;140.0;0.99
