Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
SKBNK;4.32;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;4.35;4.28;4.25;4.14;3.99;4.33;4.41;4.51;670.0;0.77
GUBRF;163.80;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%17;164.66;162.39;159.01;152.20;;164.35;168.10;171.85;660.0;0.61
OYAKC;19.17;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;19.19;19.13;18.72;17.97;17.36;19.94;21.34;23.13;660.0;0.57
RALYH;43.31;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%65;43.31;43.29;38.31;33.88;30.29;45.48;53.74;64.25;660.0;0.3
TKFEN;56.88;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%43;57.05;56.64;56.41;55.26;54.12;57.83;60.12;62.76;660.0;0.7
GRTHO;78.31;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%51;80.45;70.08;76.40;73.67;71.47;80.80;85.88;92.35;650.0;0.26
TUKAS;2.83;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%42;2.83;2.80;2.80;2.74;2.69;2.91;3.02;3.18;650.0;0.12
ASELS;62.52;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%44;62.62;62.47;62.46;61.52;60.32;63.12;63.78;64.59;645.0;2.12
YEOTK;58.19;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%30;58.67;57.51;57.17;55.96;54.75;58.67;61.09;63.88;640.0;0.69
MGROS;531.16;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%52;531.34;530.97;512.92;495.86;478.81;534.02;568.13;607.44;635.0;0.96
MIATK;62.10;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%35;62.18;62.03;61.48;59.25;;63.22;64.45;65.68;620.0;1.14
TTKOM;48.00;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%59;48.16;47.88;44.99;42.46;39.93;48.13;53.20;59.04;615.0;1.33
BSOKE;11.54;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%65;11.56;11.51;10.29;9.50;8.87;11.55;13.01;14.87;155.0;0.98
DOHOL;17.03;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%52;17.04;17.00;16.78;16.34;15.98;17.49;18.31;19.35;140.0;0.59
EKGYO;11.87;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%51;11.94;11.81;11.42;10.94;10.55;12.20;13.09;14.23;140.0;1.21
ENKAI;44.53;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%54;44.66;44.31;42.20;40.60;39.31;44.78;47.76;51.54;140.0;0.57
PETKM;25.98;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;26.06;25.91;24.62;23.75;23.05;26.02;27.64;29.69;140.0;1.14
BTCIM;5.75;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%48;5.77;5.74;5.46;5.26;5.10;5.77;6.14;6.61;130.0;1.02
ARCLK;183.00;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%50;183.33;182.60;181.56;178.37;174.30;183.80;186.04;188.82;125.0;0.83
EFOR;3.96;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%69;4.15;2.93;3.81;3.55;3.33;4.24;4.74;5.36;125.0;0.18
ENJSA;66.32;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%55;66.80;65.86;66.03;64.84;63.89;67.94;70.14;72.95;125.0;1.05
GARAN;121.70;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%59;121.84;121.63;115.91;105.11;96.38;133.37;153.49;179.08;125.0;2.0
