Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
PETKM;23.70;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;23.73;23.67;22.96;22.30;21.77;24.02;25.24;26.80;670.0;1.0
SOKM;67.66;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%64;68.12;67.39;64.13;61.74;59.81;67.99;72.44;78.10;670.0;1.75
TAVHL;153.50;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;154.25;153.09;145.25;139.22;134.35;155.00;166.23;180.52;670.0;1.83
AKSA;7.36;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%45;7.36;7.35;7.35;7.22;7.11;7.57;7.81;8.12;650.0;0.31
EREGL;22.25;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;22.27;22.23;21.60;21.12;20.74;22.37;23.26;24.39;650.0;0.63
GESAN;86.40;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;87.32;85.50;86.02;82.72;80.05;91.35;97.50;105.32;650.0;1.02
OYAKC;15.83;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%51;15.84;15.81;15.72;15.43;15.19;16.20;16.74;17.44;650.0;0.6
BRYAT;2852.70;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%52;2853.27;2852.13;2720.76;2639.14;2573.17;3004.77;3198.21;3411.78;645.0;0.98
KLRHO;44.80;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%41;45.86;43.88;43.30;41.64;40.29;46.00;49.11;53.06;640.0;1.15
MAGEN;5.66;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;5.67;5.64;5.62;5.45;5.32;5.88;6.19;6.58;640.0;0.88
YEOTK;67.88;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;68.28;67.30;66.28;64.12;61.95;68.96;73.28;78.27;640.0;0.7
SASA;4.91;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%50;4.91;4.90;4.90;4.84;4.77;4.95;5.01;5.12;635.0;0.33
TTRAK;715.05;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%55;715.26;714.61;698.04;678.33;662.40;729.91;766.64;813.36;635.0;0.48
TUPRS;125.49;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%50;125.56;125.42;123.91;122.14;120.72;126.76;130.05;134.23;635.0;1.05
ZOREN;4.88;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%53;4.89;4.83;4.83;4.76;4.66;4.89;4.98;5.12;635.0;0.2
ANSGR;16.30;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%49;16.32;16.26;16.24;15.75;15.05;16.73;17.34;18.32;630.0;0.63
BSOKE;3.23;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;3.26;3.20;3.23;3.19;;3.25;3.27;3.29;630.0;1.2
CANTE;2.54;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;2.54;2.53;2.49;2.45;2.41;2.54;2.61;2.70;630.0;0.79
FENER;3.63;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%45;3.64;3.62;3.53;;;3.68;3.79;3.87;625.0;1.35
AKSEN;37.18;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;37.22;37.13;36.39;35.35;34.51;38.08;40.02;42.49;155.0;0.73
ALARK;113.48;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;113.55;113.39;108.40;104.66;101.63;114.44;121.41;130.28;155.0;0.83
ARCLK;158.90;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%53;159.19;158.56;154.57;149.36;145.15;163.00;172.71;185.06;155.0;0.85
CCOLA;53.32;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;53.44;53.19;49.38;46.35;43.89;54.29;59.95;67.15;155.0;0.9
EGEEN;13535.80;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%52;13586.67;13501.46;13221.15;12701.43;12281.39;14061.24;15029.48;16261.14;155.0;1.48
