Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
TAVHL;219.90;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%65;221.01;219.29;202.48;185.51;171.80;229.90;261.51;301.71;670.0;1.82
TUKAS;2.98;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;2.98;2.97;2.92;2.87;2.83;3.01;3.10;3.23;670.0;0.36
ASELS;60.57;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;60.61;60.55;60.03;59.40;58.77;60.81;62.07;63.52;660.0;1.53
EREGL;21.33;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;21.34;21.30;21.31;21.20;;21.40;21.47;21.53;660.0;0.41
AEFES;17.89;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;18.42;17.89;17.45;16.84;16.35;18.42;19.55;20.98;650.0;191.03
MAGEN;9.85;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;10.09;9.53;9.73;9.00;8.41;10.90;12.26;13.98;650.0;0.76
SISE;48.77;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;48.80;48.74;48.54;48.16;47.63;48.91;49.38;50.13;650.0;0.94
KUYAS;12.66;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%52;12.67;12.66;12.65;12.56;12.43;12.74;12.85;13.04;645.0;3.0
EGEEN;17268.19;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;17270.51;17266.62;17001.89;16666.21;16394.92;17544.48;18169.84;18965.34;640.0;1.48
GRSEL;108.15;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;110.99;104.10;103.62;98.36;94.11;112.13;121.93;134.40;640.0;0.7
