Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
SISE;44.46;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%23;44.57;44.35;44.43;43.74;42.76;45.12;45.97;47.35;660.0;1.09
ASTOR;27.82;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%72;28.32;27.41;25.91;23.49;21.53;29.83;34.34;40.08;655.0;1.2
TOASO;134.21;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%42;134.26;134.16;133.83;132.89;131.56;134.77;135.93;137.81;640.0;1.06
ARCLK;113.54;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%23;113.71;113.34;112.16;110.98;109.80;113.63;115.99;118.72;145.0;0.88
EREGL;24.40;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;24.61;24.07;24.01;23.33;22.66;24.85;26.20;27.76;145.0;0.65
HEKTS;13.63;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%0;13.69;13.54;13.59;13.52;13.41;13.67;13.76;13.91;145.0;0.64
SASA;6.14;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%14;6.16;6.10;6.12;;;6.21;6.28;6.33;145.0;0.67
TUREX;2.75;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;2.80;2.64;2.72;2.68;2.65;2.76;2.83;2.92;135.0;0.43
CIMSA;20.96;AL (RİSKLİ);YÜKSELİŞ;COŞKULU RALLİ;%62;21.59;19.96;18.79;17.44;16.35;23.47;26.66;30.18;130.0;0.63
KRDMD;24.83;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%29;25.32;24.43;23.35;22.44;21.70;26.53;28.70;31.10;125.0;1.23
QUAGR;6.37;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%0;6.39;6.33;6.33;6.20;;6.43;6.51;6.58;125.0;0.4
BIMAS;127.23;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%20;127.31;127.12;126.76;;;127.65;128.35;128.84;120.0;0.73
FROTO;44.51;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;44.59;44.47;43.74;40.60;38.06;48.81;54.66;62.11;120.0;1.98
KCAER;6.83;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%0;7.05;6.55;6.81;6.74;6.64;6.87;6.96;7.10;115.0;0.81
TUPRS;60.82;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%44;60.90;60.74;57.00;52.42;48.73;64.39;72.91;83.75;115.0;1.1
RALYH;6.75;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%43;6.76;6.74;6.68;6.56;6.44;6.83;7.06;7.34;105.0;0.42
OYAKC;9.81;AL (RİSKLİ);YÜKSELİŞ;COŞKULU RALLİ;%38;10.04;9.44;8.74;8.08;7.54;11.04;12.60;14.33;100.0;0.64
BSOKE;1.61;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%52;1.61;1.60;1.58;1.57;1.56;1.63;1.67;1.71;95.0;0.41
EKGYO;8.41;SAT;DÜŞÜŞ;COŞKULU RALLİ;%42;8.83;7.93;7.93;7.55;7.29;;;;95.0;0.88
HALKB;11.02;SAT;DÜŞÜŞ;COŞKULU RALLİ;%0;11.37;10.89;10.89;10.40;9.81;11.37;12.05;12.93;95.0;2.69
VAKBN;9.51;SAT;DÜŞÜŞ;COŞKULU RALLİ;%0;9.71;9.28;9.28;8.76;7.92;9.71;10.13;10.73;95.0;0.87
BTCIM;1.33;SAT;DÜŞÜŞ;COŞKULU RALLİ;%50;1.35;1.29;1.29;1.23;1.20;1.35;;;85.0;0.4
PETKM;17.08;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;17.11;16.53;16.53;15.94;15.22;17.11;17.94;19.00;85.0;0.05
AEFES;4.88;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;5.05;4.80;4.80;4.39;3.93;5.05;5.25;5.45;75.0;1.98
AKSA;5.57;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;5.69;5.57;5.55;5.41;5.24;5.69;5.88;6.13;75.0;216.39
AKSEN;33.30;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;35.63;33.21;33.21;29.30;24.79;35.63;37.58;39.54;75.0;24.67
ALARK;67.11;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;68.32;65.77;65.77;62.61;57.52;68.32;70.86;74.49;75.0;0.9
DOAS;105.47;SAT;DÜŞÜŞ;COŞKULU RALLİ;%0;107.00;104.30;104.30;101.61;98.28;107.00;110.83;115.71;75.0;1.31
DOHOL;8.13;SAT;DÜŞÜŞ;COŞKULU RALLİ;%27;8.17;7.86;7.86;7.36;6.79;8.17;8.41;8.66;75.0;0.16
ECILC;24.03;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;24.04;23.02;23.02;21.77;19.74;24.04;25.05;26.50;75.0;0.01
ENJSA;26.97;SAT;DÜŞÜŞ;COŞKULU RALLİ;%33;27.18;26.32;26.32;25.72;25.12;27.18;28.27;;75.0;0.32
ENKAI;25.46;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%38;25.80;25.20;25.20;24.60;23.86;25.80;26.65;27.74;75.0;1.32
GUBRF;218.40;SAT;DÜŞÜŞ;COŞKULU RALLİ;%36;229.90;216.23;216.23;205.49;197.95;229.90;;;75.0;5.3
KCHOL;67.67;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%35;68.93;67.51;67.51;66.09;64.34;68.93;70.94;73.51;75.0;8.14
MAGEN;4.22;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;4.26;4.11;4.11;3.96;3.77;4.26;4.48;4.76;75.0;0.34
MPARK;89.31;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%22;90.94;87.88;87.88;85.47;83.78;90.94;;;75.0;1.14
ODAS;7.48;SAT;DÜŞÜŞ;COŞKULU RALLİ;%0;8.25;7.43;7.43;6.11;4.59;8.25;8.91;9.56;75.0;15.4
OTKAR;191.42;SAT;DÜŞÜŞ;COŞKULU RALLİ;%25;196.94;190.49;190.49;185.96;181.43;196.94;205.15;;75.0;5.93
SAHOL;35.98;SAT;DÜŞÜŞ;COŞKULU RALLİ;%0;36.55;35.75;35.75;34.96;33.98;36.55;37.68;39.12;75.0;2.54
TCELL;29.64;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%33;31.04;29.38;29.38;27.47;25.04;31.04;32.06;32.89;75.0;5.46
VESTL;59.70;SAT;DÜŞÜŞ;COŞKULU RALLİ;%22;59.97;57.17;57.17;52.65;47.44;59.97;62.23;64.48;75.0;0.11
YKBNK;7.88;SAT;DÜŞÜŞ;COŞKULU RALLİ;%0;8.23;7.72;7.72;6.89;5.93;8.23;8.64;9.05;75.0;2.17
BRSAN;71.50;SAT;DÜŞÜŞ;DÜZELTME;%0;73.26;70.05;70.05;67.80;65.55;73.26;77.35;;70.0;1.21
AKBNK;13.52;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;13.95;13.28;13.28;12.20;10.96;13.95;14.49;15.03;65.0;1.77
ANSGR;4.09;SAT;DÜŞÜŞ;COŞKULU RALLİ;%33;4.11;3.98;3.98;3.89;3.79;4.11;4.27;;65.0;0.18
EGEEN;4864.34;SAT;DÜŞÜŞ;COŞKULU RALLİ;%26;4894.98;4737.13;4737.13;4481.97;4187.88;4894.98;5022.56;5150.14;65.0;0.24
ISCTR;3.82;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;3.84;3.74;3.74;3.64;3.52;3.84;3.98;4.15;65.0;0.28
KUYAS;6.55;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%45;6.76;6.55;6.55;6.38;6.27;6.76;;;65.0;0.0
MGROS;129.99;SAT;DÜŞÜŞ;COŞKULU RALLİ;%30;134.20;129.12;129.12;125.56;121.99;134.20;140.66;;65.0;4.81
SOKM;24.55;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%28;25.17;24.20;24.20;23.44;22.90;25.17;;;65.0;1.8
