Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
MGROS;581.06;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;581.27;580.84;549.01;525.24;506.03;587.42;631.70;688.03;660.0;0.96
TABGD;161.90;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%62;162.07;161.65;161.39;156.04;151.71;170.04;180.01;192.69;640.0;0.66
HALKB;18.85;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%53;18.95;18.73;18.81;18.18;17.54;19.59;20.86;22.32;635.0;0.83
BIMAS;554.49;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%46;554.94;553.89;541.11;532.54;525.60;554.98;570.96;591.29;145.0;0.76
BSOKE;14.04;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%44;14.08;14.01;14.04;13.80;13.60;14.43;14.88;15.46;145.0;1.33
KRDMD;28.86;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%48;28.91;28.82;28.53;28.26;28.04;28.96;29.46;30.10;145.0;1.25
MAGEN;9.08;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;9.09;9.07;8.99;8.74;8.50;9.29;9.78;10.35;145.0;1.0
OYAKC;24.52;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%59;24.55;24.48;22.94;21.32;20.02;25.55;28.56;32.39;140.0;0.7
GRSEL;226.56;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%55;229.64;222.16;221.27;216.34;212.35;229.25;238.45;250.14;135.0;0.7
IZENR;4.93;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;5.01;4.79;4.91;4.88;4.84;4.95;4.98;5.02;135.0;0.57
PGSUS;238.80;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%40;238.96;238.65;234.70;231.85;229.55;239.30;244.60;251.35;135.0;1.07
TRENJ;58.30;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;58.46;58.14;57.85;57.08;56.45;59.10;60.54;62.38;135.0;1.0
AKSA;11.44;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%52;11.45;11.43;11.34;11.22;11.12;11.53;11.76;12.04;125.0;1.88
KTLEV;5.52;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%39;5.62;5.33;5.46;5.34;5.22;5.60;5.84;6.11;125.0;0.5
KUYAS;22.78;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%54;22.80;22.76;21.82;20.97;20.29;23.20;24.79;26.80;125.0;1.0
RALYH;83.15;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%62;83.21;82.98;76.33;71.68;67.92;83.86;92.53;103.56;125.0;0.36
GRTHO;183.60;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%55;185.42;176.27;169.86;158.76;149.79;187.80;208.48;234.79;120.0;0.25
QUAGR;3.42;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;3.45;3.41;3.30;3.19;3.07;3.45;3.68;3.95;120.0;3.0
THYAO;314.80;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%49;314.90;314.66;306.92;301.89;297.83;315.05;324.41;336.33;120.0;0.7
CIMSA;53.48;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;53.50;53.45;51.16;47.74;44.97;56.69;63.07;71.18;115.0;0.52
TUREX;16.70;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%60;16.77;16.52;16.66;16.58;16.47;16.73;16.82;16.97;115.0;0.39
ULKER;115.13;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%46;115.31;114.91;113.53;111.91;110.60;116.15;119.17;123.01;115.0;0.81
EFOR;11.19;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%68;11.23;10.96;9.12;7.84;6.81;13.57;16.60;19.95;110.0;0.19
TSKB;12.80;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%43;12.82;12.77;12.54;;;12.83;13.06;13.22;110.0;0.67
ASELS;85.59;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%53;85.71;85.53;82.63;77.76;73.83;90.48;99.54;111.06;105.0;1.95
EKGYO;13.87;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%55;13.92;13.83;13.25;12.72;12.19;13.91;14.96;16.19;105.0;1.02
FENER;3.75;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%52;3.78;3.72;3.62;3.44;;3.77;3.87;3.97;105.0;0.89
GENIL;115.22;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%50;115.48;114.78;114.44;111.73;;116.56;118.06;119.55;105.0;0.6
MPARK;385.50;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;385.83;384.72;383.63;376.86;368.25;388.38;393.12;399.00;105.0;0.42
TCELL;101.91;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%52;101.94;101.89;100.19;97.04;94.50;105.28;111.14;118.60;105.0;1.36
VAKBN;25.58;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%54;25.65;25.49;25.46;24.84;23.96;26.08;26.84;28.08;105.0;0.78
YEOTK;53.30;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%50;53.38;53.19;52.94;51.85;;53.80;54.40;55.00;105.0;0.73
PASEU;32.22;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%47;32.27;32.20;31.05;29.33;27.61;33.17;36.60;40.55;100.0;2.5
AEFES;16.12;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%52;16.29;15.45;15.45;14.48;13.26;16.29;16.81;17.22;95.0;0.25
ALARK;85.12;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%40;85.64;83.65;83.65;80.45;76.76;85.64;87.24;88.84;95.0;0.35
ANSGR;25.84;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%48;25.85;25.82;25.76;24.46;23.42;27.85;30.27;33.34;95.0;0.47
ASTOR;119.17;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;119.49;118.91;116.25;108.45;102.16;128.84;143.36;161.83;95.0;1.19
ENKAI;47.01;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%50;47.29;46.59;46.59;45.72;44.30;47.29;48.00;49.01;95.0;0.67
EREGL;23.20;SAT;DÜŞÜŞ;COŞKULU RALLİ;%41;23.22;22.76;22.76;22.20;21.28;23.22;23.68;24.33;95.0;0.04
GESAN;49.06;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%38;49.55;48.57;47.82;;;49.68;51.14;52.16;95.0;1.0
MAVI;34.56;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%51;34.67;32.97;32.97;31.01;28.51;34.67;35.72;36.58;95.0;0.07
SOKM;40.08;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%22;40.17;39.72;39.72;39.27;38.71;40.17;40.82;41.64;95.0;0.25
TOASO;199.18;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%36;199.59;198.80;198.34;194.46;188.95;202.21;207.01;214.76;95.0;1.08
GUBRF;278.00;SAT;DÜŞÜŞ;DÜZELTME;%50;283.00;276.85;276.85;272.02;268.63;283.00;;;90.0;4.35
AGHOL;29.79;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%52;29.79;29.20;29.20;28.12;26.88;29.86;30.40;30.94;85.0;0.0
OBAMS;10.58;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%51;10.59;10.57;10.18;9.85;9.58;10.71;11.32;12.10;85.0;1.29
