Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
RALYH;13.34;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;13.41;13.15;11.81;10.71;9.82;13.59;15.64;18.25;660.0;0.38
SAHOL;41.06;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%34;41.15;40.94;40.82;40.12;39.55;41.95;43.26;44.92;660.0;0.78
GUBRF;266.30;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%44;266.42;266.11;259.16;251.05;242.94;269.19;285.40;304.09;650.0;0.63
HEKTS;11.30;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;11.31;11.29;11.01;10.70;10.26;11.32;11.71;12.33;650.0;0.66
VAKBN;10.19;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%42;10.23;10.14;10.11;9.93;9.74;10.34;10.72;11.15;640.0;0.8
EGEEN;4892.72;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%29;4898.27;4888.98;4795.90;4716.73;4637.57;4893.85;5052.18;5234.66;625.0;1.48
SASA;6.94;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%38;6.96;6.90;6.82;6.29;5.63;7.19;7.56;8.01;625.0;0.6
TUREX;2.45;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%43;2.47;2.39;2.43;2.35;2.24;2.49;2.55;2.62;620.0;0.33
ZOREN;2.94;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%29;2.99;2.93;2.93;2.84;2.74;2.99;3.04;3.12;620.0;5.0
KTLEV;1.21;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%0;1.26;1.12;1.15;;;1.23;1.29;1.33;610.0;0.54
OYAKC;10.10;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%47;10.12;10.09;9.78;9.44;9.11;10.20;10.87;11.65;605.0;1.15
BIMAS;169.64;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%56;171.34;167.39;167.09;163.62;160.82;172.71;179.17;187.40;155.0;0.76
CANTE;3.51;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%72;3.54;3.44;3.37;3.24;3.14;3.57;3.80;4.10;150.0;0.4
AKBNK;17.71;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%46;17.87;17.56;17.50;17.28;17.07;17.76;18.20;18.69;145.0;1.1
TURSG;1.24;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%43;1.25;1.24;1.22;1.19;1.17;1.25;1.30;1.35;145.0;1.43
PASEU;8.31;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%100;12.09;7.20;7.98;7.76;7.60;8.71;9.20;9.76;140.0;3.39
DAPGM;4.79;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%52;5.04;4.49;4.68;4.44;4.25;5.08;5.53;6.10;135.0;0.85
ISCTR;5.16;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%46;5.18;5.13;5.11;5.04;4.96;5.20;5.35;5.52;135.0;0.95
MGROS;192.73;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%54;193.60;191.83;191.81;187.39;183.82;198.96;207.20;217.67;135.0;0.97
YKBNK;12.27;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%45;12.40;12.17;11.99;11.59;11.27;12.64;13.39;14.34;135.0;1.36
GARAN;27.74;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%46;28.01;27.60;27.43;27.11;26.65;27.75;28.15;28.79;130.0;1.89
CWENE;20.79;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%60;21.26;20.13;19.38;18.35;17.52;21.04;22.95;25.38;125.0;0.72
PGSUS;120.57;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;121.05;120.17;119.53;114.38;110.22;127.85;137.45;149.65;125.0;1.2
MPARK;84.24;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%27;84.99;82.48;81.39;79.63;78.20;87.53;91.72;96.33;120.0;0.42
CCOLA;21.78;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%51;21.79;21.77;21.59;21.23;;21.87;22.06;22.26;115.0;1.42
CIMSA;16.03;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%47;16.09;15.95;15.33;14.71;14.20;16.33;17.49;18.97;115.0;0.67
ECILC;31.58;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%52;31.61;31.54;31.24;30.56;30.02;32.34;33.60;35.21;115.0;0.63
FROTO;57.10;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;57.12;57.09;56.98;55.19;53.74;59.88;63.22;67.47;115.0;1.61
ISMEN;11.57;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%57;11.59;11.56;11.13;10.60;10.18;11.99;12.97;14.22;115.0;2.11
KUYAS;8.82;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%60;8.86;8.81;8.60;8.41;8.22;8.84;9.22;9.66;115.0;2.33
SOKM;30.59;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%45;30.83;30.45;30.46;30.08;29.76;31.08;31.80;32.71;115.0;1.75
TSKB;4.38;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%31;4.39;4.37;4.32;4.23;4.12;4.39;4.45;4.52;115.0;1.0
ASTOR;52.55;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%62;53.22;51.99;52.33;51.36;50.39;53.53;55.47;57.70;110.0;1.2
QUAGR;8.21;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%57;8.22;8.19;8.17;7.91;7.71;8.58;9.05;9.65;110.0;0.57
ALARK;69.11;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%51;69.24;68.94;67.91;65.83;62.88;69.98;72.55;76.69;105.0;0.78
ASELS;26.15;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;26.20;26.13;25.80;25.24;24.45;26.36;27.05;28.16;105.0;2.63
BRSAN;249.90;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%55;250.26;249.55;235.85;205.45;180.88;285.00;341.64;413.70;105.0;1.03
BTCIM;1.29;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%59;1.30;1.29;1.26;1.23;1.20;1.31;1.37;1.45;105.0;5.2
EKGYO;7.01;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%50;7.08;6.95;6.96;6.73;6.41;7.18;7.46;7.92;105.0;1.16
EREGL;18.02;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%50;18.02;18.01;17.68;17.32;16.81;18.04;18.48;19.19;105.0;0.44
KRDMD;21.01;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%46;21.01;21.00;20.29;19.60;18.91;21.14;22.51;24.10;105.0;0.2
PETKM;14.51;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%61;14.54;14.48;14.43;14.06;13.58;14.70;14.96;15.28;105.0;1.0
SKBNK;2.01;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%39;2.02;2.01;1.99;1.95;1.91;2.02;2.06;2.12;105.0;1.28
TKFEN;35.61;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%44;35.66;35.54;35.19;34.13;33.06;36.51;38.64;41.09;105.0;0.67
TOASO;193.78;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%52;193.81;193.75;191.56;187.72;183.88;196.31;203.98;212.83;105.0;1.24
TTKOM;19.49;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%37;19.53;19.46;19.03;18.45;17.87;19.74;20.90;22.23;105.0;1.33
AKSA;5.07;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%35;5.08;5.06;5.00;4.82;;5.13;5.23;5.32;95.0;0.63
AKSEN;30.90;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%45;31.01;30.75;29.85;28.35;;31.03;31.85;32.68;95.0;0.72
ARCLK;109.60;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%43;109.64;109.56;108.56;105.04;100.56;111.03;113.50;116.56;95.0;0.79
BRYAT;965.24;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%40;966.10;964.37;955.72;929.16;902.60;988.58;1041.69;1102.91;95.0;1.0
DOAS;105.34;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%37;105.47;105.26;102.07;99.03;95.99;105.83;111.91;118.92;95.0;1.52
DOHOL;9.03;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%37;9.04;9.01;8.90;8.53;;9.20;9.41;9.62;95.0;0.85
ENJSA;28.97;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%37;29.00;28.94;28.57;28.13;27.50;29.01;29.55;30.43;95.0;1.06
ENKAI;25.41;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%48;25.48;25.27;24.86;;;25.58;26.14;26.53;95.0;0.55
FENER;1.89;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%45;1.92;1.85;1.77;1.62;;1.89;1.97;2.05;95.0;0.9
KCHOL;91.45;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%42;91.47;91.42;89.07;86.60;84.13;92.12;97.06;102.76;95.0;0.64
KLRHO;14.12;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%53;14.34;13.93;13.71;12.81;11.53;14.61;15.72;17.52;95.0;1.16
MAVI;15.08;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%48;15.10;15.07;14.80;14.36;13.92;15.34;16.22;17.23;95.0;1.17
OTKAR;186.41;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%39;186.60;186.05;182.87;177.40;170.43;186.71;190.55;195.30;95.0;0.52
SISE;40.87;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%37;40.92;40.83;40.19;39.00;;41.13;41.78;42.44;95.0;1.01
TCELL;32.67;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%45;32.72;32.63;32.60;31.78;30.73;33.18;33.75;34.47;95.0;1.05
THYAO;176.52;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%46;176.87;176.03;167.92;159.28;152.30;181.90;198.00;218.48;95.0;0.7
TTRAK;303.09;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%45;303.26;302.72;295.45;281.84;262.46;309.05;325.89;353.11;95.0;0.46
VESTL;48.12;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%47;48.20;48.02;47.44;45.80;43.70;48.60;49.76;51.19;95.0;0.8
AEFES;6.29;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%45;6.29;6.28;6.25;;;6.35;6.42;6.48;85.0;0.2
GRSEL;17.45;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%41;17.61;17.23;17.13;16.58;15.87;17.52;17.90;18.38;85.0;0.72
KONTR;23.19;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%54;23.25;23.06;22.93;22.33;21.48;23.54;24.28;25.48;85.0;0.47
