Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
ASELS;303.25;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;303.37;303.19;282.96;265.58;248.19;304.48;339.25;379.33;670.0;2.0
AKBNK;79.90;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;80.01;79.80;74.91;71.82;69.33;85.65;92.97;101.05;660.0;1.1
ECILC;108.70;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;108.74;108.64;105.26;101.22;97.95;111.80;119.33;128.92;660.0;0.67
FENER;3.53;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%43;3.54;3.52;3.50;3.47;;3.53;3.55;3.57;645.0;1.0
ASTOR;146.70;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%58;147.28;146.22;138.21;130.30;122.39;147.99;163.80;182.02;635.0;1.21
KLRHO;442.00;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%71;443.22;440.88;386.84;338.48;299.40;465.00;555.09;669.68;155.0;1.09
OYAKC;26.18;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;26.21;26.15;25.64;25.24;24.92;26.28;27.02;27.96;155.0;1.0
SOKM;59.60;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%65;59.81;59.48;54.28;50.96;48.28;59.65;65.84;73.71;155.0;1.75
EKGYO;22.80;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%47;22.83;22.77;22.51;22.13;21.75;22.98;23.74;24.62;145.0;1.0
TABGD;260.00;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%51;261.40;257.77;255.20;249.30;244.53;264.75;275.75;289.75;145.0;0.63
ALARK;106.90;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%62;106.97;106.81;101.49;97.40;94.10;108.10;115.72;125.40;140.0;0.78
CWENE;30.50;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%53;30.64;30.31;28.42;26.23;24.47;31.96;36.04;41.22;140.0;0.74
MPARK;423.75;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%61;424.02;423.10;416.86;400.69;387.63;443.00;473.12;511.44;140.0;0.42
GARAN;151.00;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%45;151.03;150.98;146.59;143.80;141.55;151.10;156.30;162.90;135.0;1.5
TRENJ;118.10;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;118.51;117.69;108.06;100.67;94.70;120.00;133.76;151.27;135.0;1.0
TRMET;128.80;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%55;129.11;128.56;119.61;113.12;107.88;130.10;142.19;157.57;135.0;1.29
VAKBN;34.58;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;34.68;34.46;32.22;30.63;29.34;34.80;37.77;41.55;135.0;0.83
BSOKE;26.94;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%47;26.97;26.91;25.11;23.32;21.87;28.00;31.33;35.58;130.0;1.0
GRSEL;380.75;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%42;383.20;377.59;368.60;359.07;351.38;384.00;401.75;424.32;130.0;0.78
KRDMD;28.80;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%50;28.81;28.45;28.45;28.07;27.69;28.93;29.70;30.59;130.0;0.03
TTKOM;63.00;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;63.09;62.93;61.04;59.43;58.13;63.65;66.66;70.48;130.0;1.29
GUBRF;412.25;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%48;413.08;410.94;394.50;379.50;367.38;418.75;446.70;482.25;125.0;0.63
HALKB;42.96;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;42.98;42.94;40.76;37.89;35.57;45.40;50.75;57.55;125.0;1.0
