Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
CCOLA;19.67;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;19.81;19.51;19.03;18.55;18.17;19.79;20.67;21.80;670.0;0.87
RALYH;8.04;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;8.13;7.81;7.57;7.28;7.05;8.58;9.27;10.03;670.0;0.39
TTRAK;251.82;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%40;252.73;249.91;250.99;249.57;248.43;253.27;255.91;259.26;660.0;0.47
GESAN;74.35;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%40;74.99;73.73;70.86;68.71;66.96;78.37;83.48;89.13;640.0;1.03
BIMAS;146.56;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%53;147.12;145.81;143.26;139.40;136.28;149.49;156.68;165.83;140.0;0.76
TOASO;174.23;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%51;174.69;173.80;166.13;159.20;153.60;177.34;190.26;206.68;140.0;1.09
FROTO;50.93;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;50.97;50.90;46.52;42.84;39.88;52.45;59.29;68.00;130.0;1.57
OTKAR;193.31;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%20;193.70;192.59;192.13;191.23;190.49;193.59;195.28;197.42;130.0;0.53
TCELL;31.01;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%33;31.13;30.90;30.98;30.57;30.04;31.27;31.57;31.93;130.0;1.11
ENJSA;26.97;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%31;27.97;26.04;26.89;;;27.04;27.16;27.25;125.0;1.07
KUYAS;6.71;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;6.80;6.67;6.71;6.67;6.63;6.74;6.78;6.85;120.0;1.89
MGROS;164.74;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%53;165.17;164.28;160.44;154.33;149.39;170.30;181.68;196.15;120.0;0.96
ASTOR;54.59;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%66;56.51;52.99;53.43;46.28;40.50;64.99;78.31;95.25;110.0;1.2
TAVHL;80.25;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%33;80.72;79.99;79.97;79.54;79.20;80.65;81.44;82.44;110.0;1.81
ALARK;66.17;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%52;67.74;65.90;65.90;64.61;63.31;67.74;70.09;;105.0;5.92
ANSGR;4.31;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%25;4.33;4.27;4.26;;;4.31;4.35;4.38;105.0;0.67
ENKAI;27.20;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%46;27.21;27.18;;;;27.39;27.54;27.65;105.0;0.52
AEFES;5.99;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%50;6.01;5.97;5.95;5.77;5.61;6.26;6.61;7.06;95.0;0.67
AKSEN;28.83;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;30.31;25.50;25.50;19.96;12.92;30.31;33.28;35.68;95.0;0.45
CIMSA;12.73;SAT;DÜŞÜŞ;COŞKULU RALLİ;%33;13.16;12.68;12.68;11.91;11.02;13.16;13.55;13.94;95.0;8.88
DOAS;89.64;SAT;DÜŞÜŞ;COŞKULU RALLİ;%22;90.37;86.53;86.53;80.33;73.19;90.37;93.47;96.56;95.0;0.23
ECILC;27.37;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%47;28.00;27.24;27.24;26.64;26.22;28.00;;;95.0;4.88
EKGYO;6.30;SAT;DÜŞÜŞ;COŞKULU RALLİ;%44;6.38;6.11;6.11;5.67;5.16;6.38;6.60;6.82;95.0;0.42
KCHOL;71.35;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%31;71.42;71.24;70.93;;;71.73;72.36;72.80;95.0;0.67
KLRHO;11.15;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%60;11.31;11.02;11.04;10.78;10.51;11.38;11.91;12.53;95.0;1.2
TTKOM;18.11;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%37;18.65;17.72;17.72;16.20;14.45;18.65;19.41;20.17;95.0;1.38
TURSG;1.15;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%25;1.17;1.15;1.14;1.13;1.12;1.17;1.19;1.22;95.0;4.12
AKBNK;15.78;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%44;15.86;15.70;15.50;14.98;14.33;15.86;16.22;16.66;85.0;1.09
AKSA;5.42;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%29;5.52;5.42;5.42;5.30;5.11;5.52;5.62;5.76;85.0;21.05
GUBRF;215.50;SAT;DÜŞÜŞ;COŞKULU RALLİ;%36;227.94;214.70;214.70;205.40;196.10;227.94;244.80;;85.0;15.55
MAGEN;5.08;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%50;5.12;4.98;4.98;4.89;4.79;5.12;5.29;;85.0;0.39
TKFEN;32.54;SAT;DÜŞÜŞ;COŞKULU RALLİ;%23;32.96;32.07;32.07;31.45;30.82;32.96;34.10;;85.0;0.91
BRSAN;95.10;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%43;95.97;94.25;93.63;89.64;83.97;97.61;102.54;110.50;75.0;1.02
GARAN;23.38;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%44;23.62;23.24;22.85;22.31;21.54;23.39;24.06;25.14;75.0;1.81
GRSEL;16.14;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%45;16.79;15.21;15.79;15.25;14.46;16.34;17.02;18.12;75.0;0.7
MAVI;12.34;SAT;DÜŞÜŞ;COŞKULU RALLİ;%33;12.54;12.25;12.25;12.03;11.87;12.54;;;75.0;2.12
ODAS;6.65;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%37;6.79;6.62;6.62;6.44;6.23;6.79;7.04;7.35;75.0;4.67
PGSUS;99.86;SAT;DÜŞÜŞ;COŞKULU RALLİ;%43;100.48;98.08;98.08;96.40;94.71;100.48;103.53;;75.0;0.34
QUAGR;6.57;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%42;6.58;6.57;6.55;6.52;6.48;6.59;6.66;6.74;75.0;2.67
SKBNK;1.91;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%0;1.92;1.89;1.90;;;1.93;1.95;1.97;75.0;0.73
SOKM;26.97;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%40;27.17;26.86;26.94;26.29;25.36;27.60;28.41;29.72;75.0;1.8
THYAO;124.45;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%27;125.48;122.59;122.59;119.01;113.22;125.48;128.37;132.49;75.0;0.55
TRMET;40.86;SAT;DÜŞÜŞ;COŞKULU RALLİ;%33;41.67;39.35;39.35;35.60;31.28;41.67;43.55;45.43;75.0;0.54
