Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
AKSEN;39.56;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;39.66;39.43;38.45;37.31;36.39;40.30;42.43;45.13;670.0;0.77
ECILC;50.25;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;50.35;50.09;49.39;48.09;46.24;50.69;52.30;54.90;660.0;0.63
GRSEL;294.25;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;295.45;292.54;290.56;286.39;280.45;294.74;299.90;308.25;660.0;0.7
ZOREN;3.35;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;3.44;3.34;3.34;3.27;3.22;3.44;3.56;3.71;660.0;9.0
AGHOL;27.95;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%45;27.96;27.94;27.56;27.19;26.82;28.01;28.75;29.60;650.0;1.0
CANTE;1.90;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%40;1.93;1.82;1.81;1.68;1.52;1.91;2.00;2.11;650.0;0.38
ALARK;93.20;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%50;93.23;93.17;91.03;89.66;88.55;93.25;95.81;99.06;645.0;1.0
ODAS;5.54;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%44;5.59;5.49;5.50;5.35;5.13;5.64;5.83;6.13;645.0;1.0
TUPRS;158.66;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%57;158.69;158.63;153.60;147.49;142.56;163.47;174.85;189.32;635.0;0.71
ALTNY;19.22;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%53;19.87;18.89;18.08;;;19.43;20.49;21.23;615.0;1.94
VESTL;38.20;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%47;38.22;38.18;38.00;37.32;36.64;38.84;40.20;41.77;615.0;1.0
DAPGM;12.95;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%57;13.26;12.59;12.41;11.74;11.20;13.50;14.75;16.35;155.0;0.86
MPARK;375.00;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;375.59;373.60;374.85;367.95;362.38;386.00;398.85;415.20;155.0;0.42
OTKAR;547.00;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;547.68;545.82;522.51;499.62;481.13;559.50;602.14;656.37;155.0;0.58
TOASO;226.70;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;226.92;226.50;221.17;216.02;211.85;229.50;239.10;251.32;155.0;1.1
GENIL;183.65;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;184.92;181.51;171.35;163.49;157.14;184.05;198.69;217.31;145.0;0.59
BIMAS;511.48;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%50;512.24;510.48;506.65;500.62;495.75;516.40;527.64;541.93;140.0;0.75
GSRAY;1.41;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%52;1.42;1.40;1.40;1.38;1.35;1.42;1.46;1.51;140.0;1.0
HEKTS;4.00;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%53;4.02;3.97;3.82;3.68;3.56;4.06;4.33;4.68;140.0;0.67
