Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
RALYH;7.92;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;7.94;7.85;7.69;7.38;7.13;8.20;8.78;9.53;670.0;0.3
HALKB;11.41;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%36;11.48;11.33;11.39;11.21;;11.53;11.64;11.74;660.0;0.88
KUYAS;7.65;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;7.81;7.57;7.48;7.30;7.16;7.76;8.09;8.50;660.0;2.0
MIATK;8.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%42;8.33;7.72;7.93;7.79;;8.05;8.12;8.20;640.0;1.18
SOKM;29.76;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%44;30.36;29.41;28.94;28.03;27.29;30.42;32.12;34.28;640.0;1.75
KLRHO;11.13;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;11.20;11.07;10.85;10.32;9.64;11.23;11.60;12.07;620.0;1.24
AKSEN;30.53;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%0;30.58;30.45;30.50;30.10;29.58;30.78;31.07;31.42;145.0;0.68
BIMAS;153.47;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;154.03;152.74;149.77;144.67;140.54;158.02;167.53;179.62;140.0;0.76
MAGEN;5.33;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%56;5.38;5.26;5.29;5.24;5.17;5.33;5.39;5.49;135.0;0.75
TCELL;33.57;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%48;33.72;33.43;33.38;32.74;32.23;34.41;35.60;37.11;130.0;1.07
GSRAY;1.24;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%46;1.25;1.23;1.24;1.24;1.23;1.25;1.25;1.26;125.0;0.35
QUAGR;7.28;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%48;7.30;7.22;7.10;6.96;6.85;7.32;7.58;7.90;125.0;0.4
TOASO;184.69;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%52;185.02;184.40;174.20;165.72;158.88;187.89;203.68;223.76;125.0;1.11
TRALT;23.25;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%48;23.40;23.05;22.58;21.60;;23.35;23.89;24.44;125.0;0.72
TRENJ;30.98;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%28;31.25;30.70;30.97;29.89;28.52;31.73;32.49;33.42;125.0;0.96
TRMET;46.52;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%40;47.38;45.85;46.25;44.32;41.86;47.61;48.96;50.64;125.0;1.28
BRYAT;887.83;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%28;890.32;885.33;876.04;863.14;852.71;896.91;920.95;951.54;115.0;1.0
FROTO;50.28;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%56;50.30;50.28;46.52;42.84;39.88;52.45;59.29;68.00;115.0;4.67
ULKER;31.15;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%44;31.30;30.98;31.13;30.99;30.84;31.31;31.60;31.93;115.0;0.86
VAKBN;9.37;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%20;9.42;9.31;9.32;;;9.37;9.42;9.45;115.0;0.83
