Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
ALARK;104.70;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;104.86;104.50;101.61;99.17;97.19;105.57;110.12;115.91;670.0;0.83
TAVHL;137.10;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;137.37;136.95;133.56;129.77;126.70;139.70;146.77;155.77;670.0;1.8
TSKB;8.31;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;8.32;8.29;8.14;7.95;7.80;8.44;8.79;9.24;670.0;0.5
TTKOM;32.62;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;32.81;32.48;30.25;28.38;26.86;33.28;36.77;41.22;670.0;1.36
AKSEN;34.91;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%39;34.96;34.83;34.49;33.81;33.26;35.59;36.85;38.46;660.0;0.69
SAHOL;68.76;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;68.77;68.74;66.41;64.82;63.53;68.99;71.96;75.74;660.0;0.79
TUPRS;121.11;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%51;121.19;121.04;120.81;119.64;118.69;122.71;124.89;127.67;660.0;1.01
AKSA;6.97;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%41;6.97;6.96;6.96;6.90;6.84;7.03;7.14;7.27;650.0;0.85
ASELS;51.25;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%49;51.30;51.23;50.26;49.46;48.82;51.55;53.04;54.93;650.0;2.37
CCOLA;49.40;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%52;49.41;49.39;46.59;44.09;42.06;50.63;55.30;61.23;650.0;1.03
FROTO;75.70;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%37;75.75;75.68;74.82;73.71;72.81;76.62;78.70;81.34;650.0;2.02
RALYH;16.26;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%54;16.31;16.14;16.26;15.77;15.15;16.60;16.94;17.37;650.0;0.41
TKFEN;39.73;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;39.87;39.54;39.69;39.35;39.08;40.23;40.86;41.66;650.0;0.71
AGHOL;22.73;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;22.73;22.72;22.21;21.72;21.33;23.00;23.91;25.06;640.0;0.89
THYAO;267.67;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;267.79;267.50;262.69;257.65;253.57;270.84;280.23;292.18;640.0;0.75
TUKAS;2.52;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;2.57;2.52;2.51;2.48;2.45;2.57;2.64;2.72;640.0;18.55
KONTR;39.67;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%46;39.70;39.61;38.98;38.33;37.67;39.80;41.11;42.63;635.0;0.49
ECILC;44.55;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%46;44.59;44.49;44.14;43.45;42.89;45.25;46.53;48.17;630.0;0.61
ENERY;2.30;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;2.30;2.29;2.27;2.24;2.21;2.32;2.38;2.45;630.0;0.86
GESAN;75.75;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;75.83;75.67;74.67;73.54;72.63;76.50;78.61;81.29;630.0;1.0
GRSEL;71.27;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;71.76;70.57;70.13;68.84;67.79;72.22;74.62;77.68;630.0;0.69
ZOREN;4.70;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%45;4.71;4.69;4.69;4.66;4.64;4.74;4.80;4.87;630.0;1.0
