Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
TRMET;52.05;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;52.41;51.77;51.74;51.35;50.96;52.22;53.00;53.90;650.0;1.29
PGSUS;226.00;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%58;227.20;225.02;222.32;218.19;214.85;229.00;236.70;246.49;645.0;1.22
CCOLA;68.28;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%58;68.33;68.22;67.86;65.13;62.91;72.29;77.38;83.87;635.0;0.84
MAVI;48.29;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%55;48.30;48.27;43.55;39.76;36.69;49.68;56.75;65.74;635.0;0.96
TOASO;273.35;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%58;273.44;273.26;262.11;249.13;236.15;278.17;304.13;334.06;635.0;1.08
MAGEN;9.62;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%50;9.75;9.43;9.43;8.76;8.09;10.26;11.60;13.14;615.0;0.72
AKSEN;47.60;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%57;47.65;47.53;44.88;42.97;41.43;47.96;51.51;56.03;155.0;0.71
BSOKE;7.98;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%65;8.05;7.91;7.58;7.31;7.10;8.01;8.51;9.14;155.0;1.15
MPARK;349.61;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%59;351.37;345.48;308.19;279.54;256.38;354.51;407.89;475.80;155.0;0.43
BTCIM;4.84;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%39;4.85;4.82;4.74;4.68;4.63;4.95;5.10;5.25;145.0;0.6
AEFES;22.05;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;22.07;22.02;20.37;19.21;18.27;22.25;24.42;27.18;140.0;0.47
DOHOL;15.04;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%47;15.07;15.00;14.99;14.89;14.81;15.15;15.33;15.57;130.0;0.73
