Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
TSKB;7.22;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%57;7.23;7.20;6.77;6.26;5.85;7.59;8.54;9.75;670.0;0.5
BTCIM;1.81;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;1.82;1.81;1.71;1.59;1.50;1.90;2.12;2.41;650.0;2.44
DOAS;205.53;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;205.74;205.39;204.36;181.77;163.51;240.88;282.96;336.50;650.0;1.47
TRMET;60.85;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;61.16;60.61;60.65;60.24;59.65;61.06;61.57;62.40;650.0;1.29
VAKBN;13.80;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%53;13.84;13.75;13.24;12.45;11.82;14.51;15.97;17.83;650.0;0.8
PGSUS;182.50;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%61;183.28;181.87;174.96;159.22;146.49;200.41;229.73;267.04;625.0;1.23
KTLEV;5.24;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%65;5.27;5.18;5.14;4.40;3.80;6.34;7.73;9.49;620.0;0.52
ASTOR;131.86;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%56;132.19;131.58;118.95;105.25;94.18;141.10;166.63;199.10;605.0;1.2
ASELS;39.17;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%59;39.34;39.09;36.38;33.91;31.91;40.38;44.99;50.85;155.0;2.06
BRSAN;631.40;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%60;634.18;628.70;512.65;429.35;362.03;647.30;802.49;999.90;155.0;1.03
ENJSA;46.36;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%51;46.58;46.16;44.03;40.72;38.04;49.38;55.55;63.39;155.0;1.08
SISE;51.63;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%50;51.67;51.58;50.77;49.97;49.16;51.76;53.37;55.22;155.0;0.97
YKBNK;15.98;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%51;16.07;15.91;14.95;13.99;13.21;16.51;18.31;20.60;155.0;1.41
ISCTR;7.84;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;7.93;7.73;7.14;6.68;6.31;7.89;8.75;9.85;145.0;0.74
AKBNK;27.93;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%51;28.11;27.78;25.73;23.94;22.15;27.94;31.52;35.64;140.0;1.13
CCOLA;34.22;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%61;34.31;34.13;31.61;29.63;28.02;34.81;38.51;43.21;140.0;0.94
ENERY;2.08;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%100;2.32;1.50;1.96;1.89;1.83;2.23;2.40;2.60;140.0;0.4
GARAN;48.65;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%50;49.05;48.43;47.48;43.38;40.08;54.09;61.72;71.41;140.0;1.82
IZENR;10.51;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%100;10.95;9.73;9.19;8.37;7.71;12.03;13.96;16.10;140.0;0.57
SAHOL;57.69;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%50;57.78;57.60;53.77;50.60;48.03;58.91;64.82;72.35;140.0;0.91
SOKM;55.46;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%60;56.23;55.02;49.61;45.37;41.94;56.47;64.37;74.43;140.0;1.73
TKFEN;44.89;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%60;45.07;44.63;44.41;43.89;43.38;45.05;46.08;47.27;140.0;0.7
TURSG;3.12;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%56;3.14;3.09;2.73;2.44;2.20;3.21;3.75;4.45;140.0;0.74
ULKER;54.19;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%60;54.73;53.55;51.04;47.21;44.11;57.24;64.38;73.47;140.0;0.85
VESTL;65.90;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%50;65.99;65.79;62.27;58.72;55.85;68.00;74.61;83.02;140.0;0.82
BIMAS;245.49;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;245.69;245.23;238.82;221.64;207.76;266.59;298.59;339.30;130.0;0.77
FENER;3.04;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%61;3.05;3.03;2.76;2.55;2.37;3.12;3.53;4.05;130.0;1.02
GSRAY;2.20;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%60;2.22;2.18;1.94;1.78;1.66;2.49;2.87;3.28;130.0;1.15
MPARK;135.81;AL (TAKİP);YÜKSELİŞ;DÜZELTME;%60;135.93;135.55;126.45;116.07;107.69;143.22;162.55;187.14;130.0;0.44
TTKOM;26.64;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%49;27.22;26.21;26.30;25.32;24.53;27.88;29.70;32.02;130.0;1.35
EUPWR;63.77;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%60;64.19;63.48;61.83;55.00;49.48;72.87;85.59;101.77;125.0;1.48
ANSGR;9.24;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%45;9.29;9.16;8.24;7.40;6.72;9.59;11.15;13.14;120.0;0.55
