Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
MPARK;67.04;SAT;DÜŞÜŞ;VOLATİLİTE;%15;68.66;66.65;66.65;64.34;61.40;68.66;69.90;70.90;50.0;4.21
SISE;35.03;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%32;35.95;33.58;33.58;30.86;27.40;35.95;37.41;38.59;50.0;0.63
SKBNK;1.70;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%16;1.72;1.70;1.66;1.55;1.43;1.72;1.77;1.82;50.0;22.15
TAVHL;67.10;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%33;69.16;67.07;67.07;63.70;59.81;69.16;70.85;72.54;50.0;68.67
TCELL;29.09;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%42;29.49;28.28;28.28;26.89;25.12;29.49;30.24;30.84;50.0;0.5
TSPOR;1.95;SAT;DÜŞÜŞ;VOLATİLİTE;%0;2.05;1.95;1.81;1.53;1.18;2.05;2.19;2.31;50.0;67.26
YKBNK;8.35;SAT;DÜŞÜŞ;VOLATİLİTE;%43;8.53;8.14;8.14;7.87;7.58;8.53;8.64;8.73;50.0;0.88
ARCLK;85.62;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%38;94.08;85.37;85.37;75.33;62.56;94.08;99.47;103.83;40.0;33.93
FENER;1.40;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%30;1.45;1.40;1.40;1.34;1.27;1.45;1.48;1.50;40.0;20.03
GSRAY;1.09;SAT;DÜŞÜŞ;VOLATİLİTE;%42;1.10;1.08;1.08;1.06;1.03;1.10;1.12;1.13;40.0;1.44
OTKAR;152.88;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%32;159.22;151.69;151.69;139.52;125.50;159.22;165.30;171.39;40.0;5.35
SAHOL;33.44;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%27;34.09;32.69;32.69;31.73;30.68;34.09;34.50;34.82;40.0;0.87
SOKM;27.37;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%45;27.55;27.17;27.17;26.55;25.84;27.55;27.86;28.17;40.0;0.91
TSKB;3.62;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%23;3.73;3.49;3.49;3.34;3.16;3.73;3.80;3.85;40.0;0.85
AEFES;5.64;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%44;5.68;5.62;5.62;5.55;5.47;5.68;5.72;5.75;30.0;2.6
GRTHO;16.27;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%40;16.36;15.65;15.65;14.82;13.77;16.36;16.81;17.16;30.0;0.15
TUPRS;48.56;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%44;51.76;48.03;48.03;43.73;38.25;51.76;54.07;55.94;20.0;6.04
VAKBN;8.50;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%20;8.58;8.31;8.31;7.88;7.38;8.58;8.79;9.00;20.0;0.42
