Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
BSOKE;1.50;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;1.53;1.48;1.37;1.26;1.14;1.52;1.76;2.03;660.0;1.01
CIMSA;14.32;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%25;14.71;13.71;13.71;13.34;13.03;15.02;15.92;16.90;145.0;0.63
FROTO;44.64;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%56;44.79;44.57;40.91;38.31;36.21;45.11;49.96;56.12;140.0;2.03
OYAKC;6.70;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%21;6.87;6.44;6.37;6.16;5.99;7.09;7.58;8.12;125.0;0.63
RALYH;6.83;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%41;6.86;6.74;6.74;6.61;6.51;6.96;7.20;7.52;115.0;0.34
ASTOR;25.96;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%71;26.16;25.78;25.91;23.49;21.53;29.83;34.34;40.08;100.0;1.16
ASELS;28.96;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%38;30.08;28.88;28.88;27.93;27.27;30.08;;;95.0;13.86
BIMAS;125.05;SAT;DÜŞÜŞ;COŞKULU RALLİ;%22;131.30;121.54;121.54;118.79;116.86;;;;95.0;1.78
ECILC;23.49;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;24.04;23.02;23.02;21.77;19.74;24.04;25.05;26.50;95.0;1.18
SAHOL;36.44;SAT;DÜŞÜŞ;COŞKULU RALLİ;%0;36.74;35.81;35.81;35.08;34.57;36.74;;;95.0;0.48
TTRAK;242.03;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%27;243.55;235.91;235.91;229.90;225.69;243.55;;;95.0;0.25
BTCIM;1.15;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%50;1.16;1.11;1.11;1.04;0.95;1.16;1.20;1.23;85.0;0.15
EREGL;20.22;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;20.46;19.81;19.81;19.29;18.93;20.46;;;85.0;0.59
MGROS;129.90;SAT;DÜŞÜŞ;COŞKULU RALLİ;%30;132.45;127.74;127.74;124.05;121.45;132.45;;;85.0;1.18
DOAS;107.26;SAT;DÜŞÜŞ;DÜZELTME;%0;108.95;105.52;105.52;103.11;100.70;108.95;113.32;;80.0;0.97
GENIL;50.17;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%42;50.32;49.91;49.29;47.44;44.81;51.15;53.44;57.14;75.0;0.59
GSRAY;1.16;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%42;1.17;1.14;1.11;1.03;;1.18;1.22;1.27;75.0;0.98
KRDMD;17.32;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%20;17.54;16.84;16.84;16.36;15.88;17.54;18.41;;75.0;0.47
KUYAS;6.36;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%47;6.51;6.29;6.12;5.25;4.55;7.52;9.13;11.18;75.0;2.14
PGSUS;103.22;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%45;103.35;103.12;102.40;99.65;95.73;105.15;108.56;114.06;75.0;1.29
QUAGR;6.00;SAT;DÜŞÜŞ;COŞKULU RALLİ;%0;6.01;5.83;5.83;5.66;5.45;6.01;6.25;6.56;75.0;0.03
TUPRS;57.89;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%47;57.97;57.81;57.00;52.42;48.73;64.39;72.91;83.75;75.0;1.1
TUREX;2.50;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%47;2.59;2.49;2.49;2.42;2.37;2.59;;;75.0;7.33
YEOTK;16.06;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%0;16.98;15.63;15.63;13.44;10.92;16.98;18.07;19.16;75.0;2.12
CCOLA;16.62;SAT;DÜŞÜŞ;DÜZELTME;%0;16.86;16.39;16.39;16.02;15.76;16.86;;;70.0;1.03
AEFES;4.89;SAT;DÜŞÜŞ;VOLATİLİTE;%0;4.89;4.80;4.80;4.39;3.93;5.05;5.25;5.45;60.0;0.02
AGHOL;8.20;SAT;DÜŞÜŞ;VOLATİLİTE;%0;8.41;8.04;8.04;7.46;6.79;8.41;8.70;8.99;60.0;1.29
HEKTS;11.00;SAT;DÜŞÜŞ;VOLATİLİTE;%0;11.19;10.74;10.74;10.00;9.15;11.19;11.56;11.93;60.0;0.73
SASA;5.52;SAT;DÜŞÜŞ;VOLATİLİTE;%16;5.58;5.46;5.46;5.35;5.21;5.58;5.74;5.94;60.0;1.13
SISE;40.65;SAT (PANİK);DÜŞÜŞ;PANİK/SESSİZ;%21;41.29;40.15;40.15;39.26;38.63;41.29;;;60.0;1.29
TURSG;1.07;SAT;DÜŞÜŞ;DÜZELTME;%0;1.13;1.06;1.06;0.96;0.84;1.13;1.18;1.23;60.0;3.72
