Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
BRYAT;1810.81;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;1813.13;1808.33;1797.24;;;1863.59;1915.68;1952.26;670.0;0.94
EGEEN;9366.17;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%51;9387.42;9351.70;;;;9638.53;9852.34;10002.52;670.0;1.47
ISMEN;41.53;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%59;41.62;41.49;41.49;39.80;;42.81;43.74;44.67;670.0;2.54
CANTE;1.44;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%41;1.45;1.40;;;;1.49;1.53;1.56;660.0;0.25
DOAS;198.44;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;198.76;198.23;193.64;188.18;180.41;199.09;205.85;216.77;660.0;1.55
DOHOL;13.93;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%51;13.93;13.92;13.87;13.55;;14.13;14.30;14.48;660.0;0.93
GESAN;51.05;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%40;51.92;50.18;50.35;48.60;;51.73;52.70;53.67;660.0;1.0
OTKAR;461.25;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;461.96;460.03;451.61;433.97;411.50;464.00;476.39;491.72;660.0;0.58
YEOTK;54.15;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;54.28;53.98;53.65;;;55.24;56.50;57.38;660.0;0.76
ARCLK;143.50;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%40;143.59;143.39;142.55;140.32;137.14;144.78;147.54;152.00;650.0;0.82
GRTHO;339.50;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%62;341.44;331.66;323.00;282.63;250.01;388.25;463.45;559.11;650.0;0.25
GSRAY;1.38;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%38;1.38;1.37;;;;1.42;1.46;1.49;650.0;0.27
GUBRF;279.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;279.21;278.65;;;;287.40;293.99;298.63;650.0;0.6
TCELL;94.51;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%49;94.52;94.49;;;;97.20;99.32;100.81;650.0;0.65
TSPOR;2.13;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%30;2.15;2.11;;;;2.19;2.23;2.26;650.0;0.89
CIMSA;49.78;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%53;49.80;49.74;49.09;;;50.07;50.84;51.38;645.0;0.54
GENIL;130.78;AL (GÜÇLÜ);YÜKSELİŞ;DÜZELTME;%55;131.39;129.75;123.52;111.92;;132.62;139.01;145.40;635.0;0.6
PETKM;16.40;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%59;16.44;16.37;16.27;;;16.77;17.16;17.44;635.0;1.33
TRENJ;54.50;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%55;54.68;54.31;53.80;;;55.88;57.51;58.65;630.0;0.95
EFOR;13.23;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%66;13.27;12.95;11.38;9.67;8.29;14.15;17.34;21.40;625.0;0.16
SAHOL;91.56;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%44;91.68;91.42;;;;94.65;97.07;98.77;625.0;0.84
THYAO;294.29;AL (GÜÇLÜ);YÜKSELİŞ;PANİK/SESSİZ;%45;294.58;293.87;288.18;;;297.48;304.79;309.92;625.0;0.71
TRALT;24.38;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%45;24.43;24.31;23.60;;;24.49;25.18;25.67;620.0;0.71
TRMET;74.00;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%47;74.12;73.91;71.50;;;74.51;76.87;78.53;620.0;1.33
EUPWR;34.94;AL (GÜÇLÜ);YÜKSELİŞ;VOLATİLİTE;%43;35.14;34.81;34.92;;;35.83;36.54;37.04;615.0;1.54
ENKAI;55.81;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%54;56.00;55.48;55.14;53.84;51.98;56.45;58.06;60.67;155.0;0.58
FROTO;93.50;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%56;93.59;93.45;92.94;91.31;88.98;94.58;96.60;99.87;155.0;1.95
OYAKC;29.73;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%61;29.77;29.67;27.28;24.84;22.86;31.24;35.80;41.59;155.0;0.65
TKFEN;106.70;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%59;107.67;105.28;103.92;96.66;90.80;115.65;129.18;146.38;155.0;0.69
