Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
GRTHO;90.80;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;93.04;82.22;85.22;80.80;77.24;92.35;100.57;111.02;650.0;0.26
TRMET;67.45;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%50;68.08;66.96;63.34;60.73;58.63;67.55;72.41;78.58;650.0;1.29
TRALT;24.38;AL (GÜÇLÜ);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%43;24.50;24.20;23.89;23.31;22.85;24.82;25.89;27.25;640.0;0.67
KUYAS;13.38;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%51;13.45;13.34;13.16;12.91;12.66;13.47;13.98;14.56;155.0;2.14
MPARK;410.06;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%58;410.88;408.11;363.94;324.64;292.87;427.48;500.71;593.87;155.0;0.42
EKGYO;10.81;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%48;10.83;10.78;10.55;10.17;9.61;10.94;11.42;12.20;145.0;0.82
TUREX;7.65;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%58;7.67;7.60;7.51;7.31;7.11;7.75;8.15;8.60;145.0;0.4
PASEU;19.62;AL (TAKİP);YÜKSELİŞ;COŞKULU RALLİ;%54;20.11;19.48;19.04;18.33;17.62;19.92;21.34;22.97;135.0;3.34
BSOKE;12.58;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%66;12.60;12.57;11.08;10.14;9.39;12.59;14.33;16.55;125.0;1.15
ENERY;3.17;AL (TAKİP);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%51;3.19;3.11;3.11;3.07;3.04;3.18;3.25;3.35;125.0;0.41
OYAKC;18.24;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%54;18.26;18.20;17.97;17.36;16.75;18.72;19.94;21.34;125.0;0.56
ENKAI;43.52;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%54;43.54;43.49;42.74;41.04;39.66;45.49;48.65;52.68;115.0;0.5
RALYH;43.29;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%61;43.30;43.24;38.31;33.88;30.29;45.48;53.74;64.25;115.0;0.29
TSPOR;4.05;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%46;4.08;4.01;3.95;3.85;3.70;4.05;4.18;4.38;115.0;0.98
TUKAS;3.01;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%45;3.02;3.01;2.92;2.84;2.75;3.03;3.21;3.41;115.0;2.01
ALTNY;28.49;AL (ZAYIF);YÜKSELİŞ;GÜÇLÜ YÜKSELİŞ;%57;28.90;28.29;26.99;25.68;24.37;28.61;31.22;34.24;110.0;1.99
GENIL;75.68;AL (ZAYIF);YÜKSELİŞ;COŞKULU RALLİ;%48;76.88;73.66;72.26;69.49;67.26;76.72;81.87;88.41;110.0;0.6
BTCIM;5.48;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%50;5.66;5.48;5.43;5.24;5.04;5.66;6.05;6.49;105.0;278.07
GUBRF;163.30;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%25;163.47;163.02;159.01;152.20;;164.35;168.10;171.85;105.0;0.61
TTKOM;51.10;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%59;51.30;50.95;50.96;50.83;50.69;51.13;51.40;51.71;105.0;1.33
DOAS;200.19;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%53;207.04;197.81;197.81;182.88;165.68;207.04;214.51;221.97;95.0;2.87
EFOR;4.16;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%66;4.18;4.05;4.11;3.79;3.53;4.63;5.23;5.99;95.0;0.16
ENJSA;62.50;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%55;62.84;62.46;62.46;62.01;61.45;62.84;63.07;63.27;95.0;7.76
FENER;4.73;SAT;DÜŞÜŞ;COŞKULU RALLİ;%55;4.82;4.70;4.70;4.58;4.43;4.82;4.99;5.21;95.0;3.78
THYAO;295.02;SAT;DÜŞÜŞ;COŞKULU RALLİ;%36;299.17;291.85;291.85;286.11;282.08;299.17;;;95.0;1.31
TRENJ;46.08;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%44;46.27;45.88;45.92;44.43;43.22;48.34;51.13;54.67;95.0;0.95
DOHOL;16.43;SAT;DÜŞÜŞ;DÜZELTME;%51;16.57;16.35;16.35;16.17;16.05;16.57;;;90.0;1.6
QUAGR;3.18;SAT;DÜŞÜŞ;DÜZELTME;%52;3.23;3.18;3.18;3.11;3.00;3.23;3.28;3.36;90.0;0.0
TCELL;98.82;SAT;DÜŞÜŞ;DÜZELTME;%60;99.48;97.16;97.16;95.34;94.07;99.48;;;90.0;0.4
AGHOL;38.18;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%58;38.22;37.69;37.69;36.83;35.83;38.22;38.65;39.08;85.0;0.09
OBAMS;6.24;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%47;6.34;6.16;6.18;6.11;6.01;6.26;6.35;6.49;85.0;1.32
AKSA;9.63;SAT;DÜŞÜŞ;DÜZELTME;%52;9.66;9.45;9.45;9.11;8.72;9.66;9.84;10.01;80.0;0.19
AKSEN;38.86;SAT;DÜŞÜŞ;VOLATİLİTE;%50;39.03;37.81;37.81;35.84;33.57;39.03;40.01;40.99;80.0;0.16
ECILC;51.38;SAT;DÜŞÜŞ;VOLATİLİTE;%45;52.15;51.29;51.29;50.61;50.14;52.15;;;80.0;9.0
ISMEN;33.94;SAT;DÜŞÜŞ;DÜZELTME;%43;34.59;33.86;33.86;33.35;32.83;34.59;35.52;;80.0;8.55
